Parameter	Estimate	SE	z	pval	CI_Leftlim	CI_Rightlim	CONVERGED	GO_term	term_size	prop_rep
1	a1	2.04385725900043	0.751386061251896	2.72011601545433	0.00652590158034893	0.571167640461306	3.51654687753955	1	GO:2001140	7	0.714285714285714
2	a1	1.9899741062172	0.744909686701991	2.67143002936048	0.00755288172392162	0.529977948546285	3.44997026388812	1	GO:0046323	8	0.75
3	a1	1.98749163118378	0.745075301101093	2.66750438277394	0.00764168924568049	0.527170875255303	3.44781238711226	1	GO:1902254	6	1
4	a1	1.93428637660248	0.776667574381903	2.49049456988319	0.0127565445092291	0.412045902853866	3.45652685035109	1	GO:0046500	4	1
5	a1	1.79934872215165	0.732498164760119	2.45645492195998	0.0140315404778011	0.363678700480127	3.23501874382317	1	GO:0090181	14	0.714285714285714
6	a1	1.9953070353083	0.819624080275976	2.43441729364083	0.0149157881454745	0.388873357105621	3.60174071351098	1	GO:0061515	2	1
7	a1	1.72237667145583	0.729502058230917	2.36103058520861	0.0182242275164562	0.292578910675393	3.15217443223627	1	GO:0006895	16	0.75
8	a1	1.93048750227043	0.823814995755901	2.34335076712107	0.0191114060493557	0.315839780664847	3.54513522387601	1	GO:0046498	2	1
9	a1	1.68760215684496	0.728360612327377	2.31698711913108	0.0205044334469182	0.260041588925756	3.11516272476416	1	GO:0006622	18	0.722222222222222
10	a1	1.66848677836023	0.821252336492392	2.03163717681025	0.0421904001657847	0.0588617766157669	3.27811178010468	1	GO:0016561	4	0.75
11	a1	0.71598556120603	0.927464221016637	0.771981867312579	0.440125167120398	-1.10181090893607	2.53378203134813	1	GO:0036509	2	1
12	a1	0.71598556120603	0.927464221016637	0.771981867312579	0.440125167120398	-1.10181090893607	2.53378203134813	1	GO:0036511	2	1
13	a1	0.71598556120603	0.927464221016637	0.771981867312579	0.440125167120398	-1.10181090893607	2.53378203134813	1	GO:0036512	2	1
14	a1	0.00140111193347709	0.999954461816305	0.00140117574047535	0.998882023875522	-1.95847361940661	1.96127584327357	0	GO:0021999	1	1
15	a1	0.00140111193329163	0.999954461816317	0.00140117574028987	0.99888202387567	-1.95847361940682	1.96127584327341	0	GO:0010189	1	1
16	a1	0.00140111193329163	0.999954461816317	0.00140117574028987	0.99888202387567	-1.95847361940682	1.96127584327341	0	GO:0034373	1	1
17	a1	0.00140111102292115	0.999954461817232	0.00140117482987664	0.998882024602074	-1.95847362031899	1.96127584236483	0	GO:0090321	1	1
18	a1	0.00139894736142577	0.99995446188859	0.00139901106974773	0.998883751031182	-1.95847578412034	1.96127367884319	0	GO:0060232	1	1
19	a1	0.00139894736142577	0.99995446188859	0.00139901106974773	0.998883751031182	-1.95847578412034	1.96127367884319	0	GO:0060234	1	1
20	a1	0.00137489695156343	0.999955197668643	0.00137495855291213	0.998902942144554	-1.95850127663261	1.96125107053573	0	GO:1901052	1	1
21	a1	-0.000538263607002496	0.999954450246476	-0.000538288125893955	0.999570508235827	-1.96041297227064	1.95933644505664	0	GO:0042176	19	0.736842105263158
22	a1	-0.00053826360700251	0.999954450246476	-0.00053828812589397	0.999570508235827	-1.96041297227064	1.95933644505664	0	GO:0070584	20	0.7
23	a1	-0.000538263607002496	0.999954450246476	-0.000538288125893955	0.999570508235827	-1.96041297227064	1.95933644505664	0	GO:0030206	18	0.777777777777778
24	a1	-0.000524199957043453	0.999954450395287	-0.000524223835231929	0.999581729914621	-1.96039890891235	1.95935050899826	0	GO:1903830	17	0.705882352941177
25	a1	-0.000524199957043453	0.999954450395287	-0.000524223835231929	0.999581729914621	-1.96039890891235	1.95935050899826	0	GO:2001034	16	0.75
26	a1	-0.000516262732498966	0.999954450496675	-0.000516286249081185	0.999588063191204	-1.96039097188652	1.95935844642152	0	GO:0048489	15	0.733333333333333
27	a1	-0.000516262732498966	0.999954450496675	-0.000516286249081185	0.999588063191204	-1.96039097188652	1.95935844642152	0	GO:0080009	15	0.733333333333333
