Parameter	Estimate	SE	z	pval	CI_Leftlim	CI_Rightlim	CONVERGED	GO_term	term_size	prop_rep
1	a1	2.20325941233531	0.760992378810264	2.89524504276887	0.00378862655456693	0.711741757357731	3.69477706731289	1	GO:0051055	5	0.8
2	a1	2.20325941233531	0.760992378810264	2.89524504276887	0.00378862655456693	0.711741757357731	3.69477706731289	1	GO:0032962	5	0.8
3	a1	2.15876889099065	0.750832243215723	2.87516806916137	0.00403812484598509	0.687164735856418	3.63037304612489	1	GO:2001140	7	0.714285714285714
4	a1	2.15876889096147	0.750832243219165	2.87516806910933	0.00403812484665074	0.687164735820492	3.63037304610245	1	GO:0046456	6	0.833333333333333
5	a1	2.15770488400711	0.750886693961821	2.87354257487591	0.00405896366221355	0.685994007371591	3.62941576064263	1	GO:0001956	6	0.833333333333333
6	a1	2.19616432192652	0.780133304186597	2.81511417361722	0.00487599073290475	0.667131142580563	3.72519750127248	1	GO:0051972	4	0.75
7	a1	2.0565396476659	0.739794211759688	2.77988069516546	0.00543788726537854	0.606569636645719	3.50650965868609	1	GO:0016254	9	0.777777777777778
8	a1	2.05525184571013	0.73988055878849	2.77781571808763	0.00547256457490541	0.605112597623316	3.50539109379694	1	GO:0070474	8	0.875
9	a1	2.15977554363308	0.783171049724555	2.75773158927756	0.00582039680270587	0.624788492438519	3.69476259482763	1	GO:1905098	4	0.75
10	a1	2.08185855024042	0.75774340339565	2.74744529732764	0.00600615270929701	0.596708770062139	3.5670083304187	1	GO:0030854	6	0.833333333333333
11	a1	2.00918328756912	0.744169147445106	2.69990135235662	0.00693600388123138	0.550638560170831	3.4677280149674	1	GO:1902570	8	0.875
12	a1	1.98299198375491	0.738697709063326	2.6844431212185	0.00726507440182131	0.535171078528548	3.43081288898128	1	GO:0071481	11	0.727272727272727
13	a1	1.92124717248583	0.731854634996605	2.62517593059276	0.00866042061408055	0.486838445973781	3.35565589899788	1	GO:0090181	14	0.714285714285714
14	a1	1.9531164684735	0.750496411185601	2.60243278896971	0.00925649569162321	0.482170532023161	3.42406240492384	1	GO:1903214	8	0.875
15	a1	2.08231878842655	0.819327226593468	2.54149834259048	0.0110378469530104	0.476466932750266	3.68817064410284	1	GO:0061515	2	1
16	a1	2.08180887545075	0.819334162999954	2.5408544760642	0.0110581935040869	0.475943424667568	3.68767432623393	1	GO:0002695	2	1
17	a1	1.81083883752927	0.72770315000038	2.48843067056714	0.0128308251115699	0.384566872092172	3.23711080296636	1	GO:0097502	15	0.866666666666667
18	a1	1.81116554401043	0.732507559706935	2.47255542964641	0.0134150908260151	0.37547710858151	3.24685397943934	1	GO:0043923	17	0.705882352941177
19	a1	1.91853362295283	0.788670218011832	2.43261832276269	0.0149900928966614	0.372768399970285	3.46429884593537	1	GO:0099562	5	0.8
20	a1	1.80704737806567	0.816063613845169	2.21434621934819	0.0268049714518009	0.207592085835534	3.4065026702958	1	GO:0022027	4	0.75
21	a1	1.53309301850835	0.721506006888573	2.12485135795289	0.0335990178412008	0.118967230377438	2.94721880663926	1	GO:0006506	31	0.774193548387097
22	a1	1.47710140018519	0.729442094997768	2.02497416904588	0.0428700167104142	0.0474211651821186	2.90678163518826	1	GO:0031297	33	0.727272727272727
23	a1	1.43627544119797	0.729604698525654	1.96856660065419	0.0490028810940857	0.00627650913648381	2.86627437325945	1	GO:0036297	36	0.722222222222222
24	a1	1.32336658013981	0.803366630469394	1.64727601315303	0.0995013259198007	-0.251203081961503	2.89793624224112	1	GO:0006515	13	0.846153846153846
25	a1	0.813507014385876	0.922138711033599	0.882195926330909	0.377670864507929	-0.993851647990165	2.62086567676192	1	GO:2000740	2	1
26	a1	0.813507014385876	0.922138711033599	0.882195926330909	0.377670864507929	-0.993851647990165	2.62086567676192	1	GO:1905240	2	1
27	a1	0.00649124097779752	0.999761311610951	0.00649279073155767	0.994819538916998	-1.95300492291619	1.96598740487179	0	GO:0106027	1	1
28	a1	0.00649124097779752	0.999761311610951	0.00649279073155767	0.994819538916998	-1.95300492291619	1.96598740487179	0	GO:0150101	1	1
29	a1	0.00103820043898908	0.999967504598047	0.00103823417682598	0.999171609128637	-1.95886209428357	1.96093849516155	0	GO:0010948	1	1
30	a1	0.00103820043898908	0.999967504598047	0.00103823417682598	0.999171609128637	-1.95886209428357	1.96093849516155	0	GO:0030264	1	1
31	a1	0.0010372108719963	0.999967504604983	0.00103724457766858	0.999172398714101	-1.95886308386416	1.96093750560815	0	GO:0035822	1	1
32	a1	0.0010372108719963	0.999967504604983	0.00103724457766858	0.999172398714101	-1.95886308386416	1.96093750560815	0	GO:0060382	1	1
33	a1	0.0010372108719963	0.999967504604983	0.00103724457766858	0.999172398714101	-1.95886308386416	1.96093750560815	0	GO:1990968	1	1
34	a1	0.0010372108719963	0.999967504604983	0.00103724457766858	0.999172398714101	-1.95886308386416	1.96093750560815	0	GO:1990969	1	1
35	a1	0.00103659663421376	0.999967504812955	0.0010366303197099	0.999172888820779	-1.95886369850956	1.96093689177799	0	GO:1904744	1	1
36	a1	-0.000471764175183787	0.999967498540998	-0.000471779508706147	0.999623574427864	-1.96037204702615	1.95942851867578	0	GO:0006302	72	0.708333333333333
37	a1	-0.000448849600823881	0.99996749843985	-0.000448864189610339	0.999641858205239	-1.96034913225354	1.9594514330519	0	GO:0030148	50	0.7
38	a1	-0.000446960490047614	0.999967498440789	-0.000446975017432609	0.999643365546401	-1.96034724314461	1.95945332216451	0	GO:0006259	48	0.708333333333333
39	a1	-0.000446960490047614	0.999967498440789	-0.000446975017432609	0.999643365546401	-1.96034724314461	1.95945332216451	0	GO:0000723	45	0.755555555555556
40	a1	-0.000438804873689384	0.999967498467973	-0.000438819135983587	0.999649872997651	-1.96033908758153	1.95946147783415	0	GO:0016266	42	0.714285714285714
41	a1	-0.000436596264245348	0.999967498475068	-0.000436610454750928	0.999651635270137	-1.96033687898599	1.9594636864575	0	GO:0030032	37	0.783783783783784
42	a1	-0.000436596264245348	0.999967498475068	-0.000436610454750928	0.999651635270137	-1.96033687898599	1.9594636864575	0	GO:0019216	41	0.707317073170732
43	a1	-0.000431941357997357	0.999967498493335	-0.000431955397198578	0.999655349468338	-1.96033222411554	1.95946834139955	0	GO:0048678	35	0.771428571428571
44	a1	-0.000429483211209089	0.999967498501549	-0.000429497170510712	0.999657310849277	-1.96032976598485	1.95947079956244	0	GO:0030488	37	0.702702702702703
45	a1	-0.000426928858174296	0.999967498508271	-0.000426942734450048	0.999659348994184	-1.960327211645	1.95947335392865	0	GO:0046513	35	0.714285714285714
46	a1	-0.000426928858174296	0.999967498508271	-0.000426942734450048	0.999659348994184	-1.960327211645	1.95947335392865	0	GO:0045454	35	0.714285714285714
47	a1	-0.00042427038424557	0.999967498517787	-0.000424284174110108	0.999661470218241	-1.96032455318972	1.95947601242123	0	GO:0042073	31	0.774193548387097
48	a1	-0.000423223519370756	0.999967498519953	-0.000423237275208612	0.999662305522637	-1.96032350632909	1.95947705929035	0	GO:0090503	34	0.705882352941177
49	a1	-0.000421498918862286	0.999967498530801	-0.000421512618641678	0.999663681599361	-1.96032178174984	1.95947878391212	0	GO:0036258	32	0.71875
50	a1	-0.000421498918862286	0.999967498530801	-0.000421512618641678	0.999663681599361	-1.96032178174984	1.95947878391212	0	GO:0006997	30	0.766666666666667
51	a1	-0.000420913378483934	0.999967498529498	-0.000420927059232333	0.999664148808132	-1.96032119620691	1.95947936944994	0	GO:0006261	32	0.71875
52	a1	-0.000418604451109704	0.999967498544783	-0.00041861805680573	0.999665991125357	-1.96031888730949	1.95948167840727	0	GO:0006082	29	0.758620689655172
53	a1	-0.000418604451109704	0.999967498544783	-0.00041861805680573	0.999665991125357	-1.96031888730949	1.95948167840727	0	GO:0006893	27	0.814814814814815
54	a1	-0.000409059869928398	0.999967498590266	-0.000409073165382957	0.999673606846205	-1.96030934281746	1.9594912230776	0	GO:0016540	26	0.730769230769231
55	a1	-0.000409059869928398	0.999967498590266	-0.000409073165382957	0.999673606846205	-1.96030934281746	1.9594912230776	0	GO:0006904	27	0.703703703703704
56	a1	-0.000409059869928398	0.999967498590266	-0.000409073165382957	0.999673606846205	-1.96030934281746	1.9594912230776	0	GO:0035458	23	0.826086956521739
57	a1	-0.00040811072156811	0.999967498584531	-0.000408123986175348	0.999674364181577	-1.96030839365786	1.95949217221472	0	GO:0070372	27	0.703703703703704
58	a1	-0.000401819845536757	0.999967498630346	-0.000401832905656563	0.999679383737182	-1.96030210287162	1.95949846318055	0	GO:0045022	24	0.708333333333333
59	a1	-0.000401819845536757	0.999967498630346	-0.000401832905656563	0.999679383737182	-1.96030210287162	1.95949846318055	0	GO:0006687	23	0.739130434782609
60	a1	-0.000401819845536757	0.999967498630346	-0.000401832905656563	0.999679383737182	-1.96030210287162	1.95949846318055	0	GO:0000038	22	0.772727272727273
61	a1	-0.000401819845536757	0.999967498630346	-0.000401832905656563	0.999679383737182	-1.96030210287162	1.95949846318055	0	GO:0007031	24	0.708333333333333
62	a1	-0.000401819845536757	0.999967498630346	-0.000401832905656563	0.999679383737182	-1.96030210287162	1.95949846318055	0	GO:0032874	23	0.739130434782609
63	a1	-0.000397874004305704	0.999967498655546	-0.00039788693616607	0.999682532165065	-1.96029815707978	1.95950240907117	0	GO:0008154	22	0.727272727272727
64	a1	-0.000397874004305704	0.999967498655546	-0.00039788693616607	0.999682532165065	-1.96029815707978	1.95950240907117	0	GO:0010824	21	0.761904761904762
65	a1	-0.000397874004305704	0.999967498655546	-0.00039788693616607	0.999682532165065	-1.96029815707978	1.95950240907117	0	GO:0007099	22	0.727272727272727
66	a1	-0.000393673787567989	0.999967498678629	-0.00039368658290214	0.999685883561821	-1.96029395690828	1.95950660933315	0	GO:0002098	19	0.789473684210526
67	a1	-0.000393673787567989	0.999967498678629	-0.00039368658290214	0.999685883561821	-1.96029395690828	1.95950660933315	0	GO:0050730	21	0.714285714285714
68	a1	-0.000393673787567989	0.999967498678629	-0.00039368658290214	0.999685883561821	-1.96029395690828	1.95950660933315	0	GO:0006801	20	0.75
69	a1	-0.000393673787567989	0.999967498678629	-0.00039368658290214	0.999685883561821	-1.96029395690828	1.95950660933315	0	GO:0046328	19	0.789473684210526
70	a1	-0.000393673787567989	0.999967498678629	-0.00039368658290214	0.999685883561821	-1.96029395690828	1.95950660933315	0	GO:0002526	20	0.75
71	a1	-0.000393673787567989	0.999967498678629	-0.00039368658290214	0.999685883561821	-1.96029395690828	1.95950660933315	0	GO:0048278	21	0.714285714285714
72	a1	-0.000393673787567989	0.999967498678629	-0.00039368658290214	0.999685883561821	-1.96029395690828	1.95950660933315	0	GO:0006165	19	0.789473684210526
73	a1	-0.000393673787567989	0.999967498678629	-0.00039368658290214	0.999685883561821	-1.96029395690828	1.95950660933315	0	GO:0019373	19	0.789473684210526
74	a1	-0.000389183893337005	0.999967498713961	-0.000389196542725165	0.999689466095281	-1.9602894670833	1.95951109929663	0	GO:0002720	17	0.823529411764706
75	a1	-0.000389183893337005	0.999967498713961	-0.000389196542725165	0.999689466095281	-1.9602894670833	1.95951109929663	0	GO:0006103	18	0.777777777777778
76	a1	-0.000389183893337005	0.999967498713961	-0.000389196542725165	0.999689466095281	-1.9602894670833	1.95951109929663	0	GO:0030050	20	0.7
77	a1	-0.000389183893337005	0.999967498713961	-0.000389196542725165	0.999689466095281	-1.9602894670833	1.95951109929663	0	GO:0006939	20	0.7
78	a1	-0.000389183893337005	0.999967498713961	-0.000389196542725165	0.999689466095281	-1.9602894670833	1.95951109929663	0	GO:0042176	19	0.736842105263158
79	a1	-0.000389183893337005	0.999967498713961	-0.000389196542725165	0.999689466095281	-1.9602894670833	1.95951109929663	0	GO:0051604	20	0.7
80	a1	-0.000389183893337005	0.999967498713961	-0.000389196542725165	0.999689466095281	-1.9602894670833	1.95951109929663	0	GO:0000712	18	0.777777777777778
81	a1	-0.000389183893337005	0.999967498713961	-0.000389196542725165	0.999689466095281	-1.9602894670833	1.95951109929663	0	GO:2000649	18	0.777777777777778
82	a1	-0.000389183893337005	0.999967498713961	-0.000389196542725165	0.999689466095281	-1.9602894670833	1.95951109929663	0	GO:0006622	18	0.777777777777778
83	a1	-0.000389183893337005	0.999967498713961	-0.000389196542725165	0.999689466095281	-1.9602894670833	1.95951109929663	0	GO:0008340	19	0.736842105263158
84	a1	-0.000388455088061014	0.99996749870452	-0.000388467713764963	0.999690047616612	-1.96028873825952	1.9595118280834	0	GO:0090201	20	0.7
85	a1	-0.000388455088061014	0.99996749870452	-0.000388467713764963	0.999690047616612	-1.96028873825952	1.9595118280834	0	GO:0005978	19	0.736842105263158
86	a1	-0.000386674320786268	0.999967838364447	-0.000386686757264829	0.9996914686142	-1.96028762321347	1.9595142745719	0	GO:1901214	22	0.727272727272727
87	a1	-0.000384361554924676	0.999967498746623	-0.000384374047562988	0.999693313889428	-1.96028464480891	1.95951592169906	0	GO:0080009	15	0.866666666666667
88	a1	-0.000384361554924676	0.999967498746623	-0.000384374047562988	0.999693313889428	-1.96028464480891	1.95951592169906	0	GO:1903204	14	0.928571428571429
89	a1	-0.000384361554924676	0.999967498746623	-0.000384374047562988	0.999693313889428	-1.96028464480891	1.95951592169906	0	GO:0006518	16	0.8125
90	a1	-0.000384361554924676	0.999967498746623	-0.000384374047562988	0.999693313889428	-1.96028464480891	1.95951592169906	0	GO:0045869	16	0.8125
91	a1	-0.000384361554924676	0.999967498746623	-0.000384374047562988	0.999693313889428	-1.96028464480891	1.95951592169906	0	GO:0071318	18	0.722222222222222
92	a1	-0.000384361554924676	0.999967498746623	-0.000384374047562988	0.999693313889428	-1.96028464480891	1.95951592169906	0	GO:1902230	16	0.8125
93	a1	-0.000384361554924676	0.999967498746623	-0.000384374047562988	0.999693313889428	-1.96028464480891	1.95951592169906	0	GO:0006488	17	0.764705882352941
94	a1	-0.000384361554924676	0.999967498746623	-0.000384374047562988	0.999693313889428	-1.96028464480891	1.95951592169906	0	GO:0045190	17	0.764705882352941
95	a1	-0.000384361554924676	0.999967498746623	-0.000384374047562988	0.999693313889428	-1.96028464480891	1.95951592169906	0	GO:0045824	16	0.8125
96	a1	-0.000384361554924676	0.999967498746623	-0.000384374047562988	0.999693313889428	-1.96028464480891	1.95951592169906	0	GO:0048268	18	0.722222222222222
97	a1	-0.00037915337757735	0.999967498786724	-0.000379165700922663	0.999697469548497	-1.96027943671016	1.959521129955	0	GO:0031167	15	0.8
98	a1	-0.00037915337757735	0.999967498786724	-0.000379165700922663	0.999697469548497	-1.96027943671016	1.959521129955	0	GO:0046855	17	0.705882352941177
99	a1	-0.00037915337757735	0.999967498786724	-0.000379165700922663	0.999697469548497	-1.96027943671016	1.959521129955	0	GO:0048489	15	0.8
100	a1	-0.00037915337757735	0.999967498786724	-0.000379165700922663	0.999697469548497	-1.96027943671016	1.959521129955	0	GO:0006900	16	0.75
101	a1	-0.00037915337757735	0.999967498786724	-0.000379165700922663	0.999697469548497	-1.96027943671016	1.959521129955	0	GO:0046512	13	0.923076923076923
102	a1	-0.00037915337757735	0.999967498786724	-0.000379165700922663	0.999697469548497	-1.96027943671016	1.959521129955	0	GO:0071425	16	0.75
103	a1	-0.00037915337757735	0.999967498786724	-0.000379165700922663	0.999697469548497	-1.96027943671016	1.959521129955	0	GO:0019985	14	0.857142857142857
104	a1	-0.00037915337757735	0.999967498786724	-0.000379165700922663	0.999697469548497	-1.96027943671016	1.959521129955	0	GO:0043069	15	0.8
105	a1	-0.00037915337757735	0.999967498786724	-0.000379165700922663	0.999697469548497	-1.96027943671016	1.959521129955	0	GO:0045292	16	0.75
106	a1	-0.00037915337757735	0.999967498786724	-0.000379165700922663	0.999697469548497	-1.96027943671016	1.959521129955	0	GO:0051403	16	0.75
107	a1	-0.00037915337757735	0.999967498786724	-0.000379165700922663	0.999697469548497	-1.96027943671016	1.959521129955	0	GO:0006744	15	0.8
108	a1	-0.00037915337757735	0.999967498786724	-0.000379165700922663	0.999697469548497	-1.96027943671016	1.959521129955	0	GO:0001522	16	0.75
109	a1	-0.00037915337757735	0.999967498786724	-0.000379165700922663	0.999697469548497	-1.96027943671016	1.959521129955	0	GO:0035269	17	0.705882352941177
110	a1	-0.00037915337757735	0.999967498786724	-0.000379165700922663	0.999697469548497	-1.96027943671016	1.959521129955	0	GO:0010469	17	0.705882352941177
111	a1	-0.000373492158977943	0.999967498834384	-0.000373504298303	0.99970198669392	-1.96027377558497	1.95952679126701	0	GO:0009086	12	0.916666666666667
112	a1	-0.000373492158977943	0.999967498834384	-0.000373504298303	0.99970198669392	-1.96027377558497	1.95952679126701	0	GO:0007398	14	0.785714285714286
113	a1	-0.000373492158977943	0.999967498834384	-0.000373504298303	0.99970198669392	-1.96027377558497	1.95952679126701	0	GO:0032801	13	0.846153846153846
114	a1	-0.000373492158977943	0.999967498834384	-0.000373504298303	0.99970198669392	-1.96027377558497	1.95952679126701	0	GO:0046655	14	0.785714285714286
115	a1	-0.000373492158977943	0.999967498834384	-0.000373504298303	0.99970198669392	-1.96027377558497	1.95952679126701	0	GO:0090110	14	0.785714285714286
116	a1	-0.000373492158977943	0.999967498834384	-0.000373504298303	0.99970198669392	-1.96027377558497	1.95952679126701	0	GO:0006734	11	1
117	a1	-0.000373492158977943	0.999967498834384	-0.000373504298303	0.99970198669392	-1.96027377558497	1.95952679126701	0	GO:0007625	15	0.733333333333333
118	a1	-0.000373492158977943	0.999967498834384	-0.000373504298303	0.99970198669392	-1.96027377558497	1.95952679126701	0	GO:0000731	14	0.785714285714286
119	a1	-0.000373492158977943	0.999967498834384	-0.000373504298303	0.99970198669392	-1.96027377558497	1.95952679126701	0	GO:0043249	15	0.733333333333333
