Parameter	Estimate	SE	z	pval	CI_Leftlim	CI_Rightlim	CONVERGED	GO_term	term_size	prop_rep
1	a1	2.49321486819529	0.698126614753422	3.57129325183497	0.000355222895285843	1.12491184662971	3.86151788976086	1	GO:0006069	9	0.777777777777778
2	a1	2.09451682856462	0.778234911862759	2.69136837301638	0.00711595726880029	0.569204429801909	3.61982922732733	1	GO:0033326	3	1
3	a1	2.09451666997697	0.778234918951791	2.69136814472176	0.00711596213889844	0.569204257320012	3.61982908263393	1	GO:0006505	4	0.75
4	a1	2.09450827729398	0.778235294152744	2.69135606291699	0.00711621987843376	0.569195129256664	3.61982142533129	1	GO:0010454	4	0.75
5	a1	2.00453945782712	0.751282073892424	2.66815824240491	0.00762683271571405	0.532053650767412	3.47702526488683	1	GO:0030854	6	0.833333333333333
6	a1	1.99706648146667	0.751976641562627	2.65575600502259	0.00791308454833066	0.52321934678853	3.4709136161448	1	GO:0000154	6	0.833333333333333
7	a1	1.99028227917926	0.75264046576425	2.64439977613783	0.00818359379213919	0.515134072973875	3.46543048538464	1	GO:0006004	7	0.714285714285714
8	a1	1.96561637410543	0.743461976339004	2.64386940645522	0.00819642729454324	0.508457676606013	3.42277507160485	1	GO:2001140	7	0.857142857142857
9	a1	1.95044906061682	0.744793629796432	2.61877785011389	0.00882453941476141	0.490680370300953	3.41021775093268	1	GO:0044829	8	0.75
10	a1	1.94742421821384	0.745086863345432	2.61368749607251	0.0089570921967949	0.487080800702878	3.4077676357248	1	GO:1903214	8	0.75
11	a1	1.91254310849984	0.738895654440059	2.58838050678371	0.00964283966788739	0.464334237464172	3.36075197953551	1	GO:0043117	10	0.7
12	a1	1.79556811600372	0.735162376086605	2.44241024079855	0.0145895571226215	0.354676336085084	3.23645989592236	1	GO:0071481	11	0.818181818181818
13	a1	1.77305085623468	0.730902154181889	2.4258388706205	0.0152730495785536	0.340508957815439	3.20559275465393	1	GO:0032480	14	0.714285714285714
14	a1	1.77305085623468	0.730902154181889	2.4258388706205	0.0152730495785536	0.340508957815439	3.20559275465393	1	GO:0050687	11	0.909090909090909
15	a1	1.77278389192206	0.730929902535698	2.42538153901219	0.0152923056229247	0.340187607728721	3.2053801761154	1	GO:0090161	13	0.769230769230769
16	a1	1.97790122586808	0.818901261428182	2.415311001498	0.0157217793221725	0.372884246574418	3.58291820516173	1	GO:0061515	2	1
17	a1	1.97790053192322	0.818901279617648	2.41531010043936	0.0157218182191462	0.372883516978869	3.58291754686758	1	GO:0060282	2	1
18	a1	1.93142273094633	0.821901548346453	2.34994414456582	0.018776228403819	0.320525297349574	3.54232016454308	1	GO:0019427	2	1
19	a1	1.86339925617565	0.799705544862928	2.33010671008295	0.0198005118745043	0.296005190007334	3.43079332234397	1	GO:0036508	4	0.75
20	a1	1.69545813759242	0.727868573191922	2.32934653320355	0.0198407150839916	0.268861948657693	3.12205432652714	1	GO:0006287	14	0.857142857142857
21	a1	1.68973527980763	0.734499210737055	2.3005270190992	0.0214183803535592	0.250143280089909	3.12932727952535	1	GO:0031167	15	0.733333333333333
22	a1	1.6604151729088	0.726713253959713	2.28482852605417	0.0223228843023931	0.236083368059856	3.08474697775775	1	GO:0043116	16	0.8125
23	a1	1.66040877592937	0.726714005203566	2.2848173614932	0.0223235392141779	0.236075498669526	3.08474205318921	1	GO:0080009	15	0.866666666666667
24	a1	1.77738177336844	0.790605519509165	2.24812720061947	0.0245680800697748	0.227823429151897	3.32694011758498	1	GO:0048752	5	0.8
25	a1	1.58709692331415	0.762531640527142	2.08135222063307	0.0374016785795784	0.0925623708087056	3.08163147581959	1	GO:0098761	12	0.75
26	a1	1.53195959507413	0.777609944265396	1.97008745370581	0.0488283485664002	0.00787211029375756	3.05604707985451	1	GO:0030497	10	0.8
27	a1	1.37410257358297	0.721193631300134	1.90531712143076	0.0567388611900475	-0.0394109696449534	2.78761611681089	1	GO:0006261	32	0.75
28	a1	1.3755288402587	0.767846540077883	1.79141113290577	0.0732273437062674	-0.129422723947645	2.88048040446504	1	GO:0001732	17	0.764705882352941
29	a1	1.27732142991332	0.727229456995215	1.75642146729175	0.0790164699768371	-0.148022114293922	2.70266497412056	1	GO:0036297	36	0.75
30	a1	1.32473243311499	0.770473885011352	1.71937356850903	0.0855463718735246	-0.185368632535917	2.83483349876589	1	GO:0002183	18	0.777777777777778
31	a1	1.39593825977347	0.846258288895136	1.64954160933063	0.0990367261027827	-0.262697508079491	3.05457402762643	1	GO:0051409	4	0.75
32	a1	1.15787698191883	0.70399271766219	1.64472863549483	0.100025784798269	-0.221923390077537	2.5376773539152	1	GO:0031398	76	0.710526315789474
33	a1	1.29451804647804	0.790749911986653	1.63707643447691	0.101614499830187	-0.255323301794015	2.8443593947501	1	GO:0042761	13	0.846153846153846
34	a1	1.3325486020254	0.852642696828459	1.5628452656453	0.118088994316553	-0.338600375439484	3.00369757949028	1	GO:0046898	3	1
35	a1	1.24358764894973	0.809688973584195	1.5358831471359	0.124567042167176	-0.343373577954493	2.83054887585396	1	GO:0002084	10	0.9
36	a1	1.15513657620803	0.821935338591282	1.40538619277257	0.15990647023509	-0.455827085051614	2.76610023746768	1	GO:0010457	12	0.75
37	a1	1.10199530341722	0.84819522682104	1.29922365579373	0.193867185488106	-0.560436793010796	2.76442739984524	1	GO:1902254	6	1
