Parameter	Estimate	SE	z	pval	CI_Leftlim	CI_Rightlim	CONVERGED	GO_term	term_size	prop_rep
1	a1	3.02760095050257	0.713255967949415	4.24476076829306	2.18826756447052e-05	1.62964494156346	4.42555695944168	1	GO:0034653	5	0.8
2	a1	2.88604286341643	0.723599369868617	3.98845408605102	6.65052711495335e-05	1.46781415923807	4.3042715675948	1	GO:0016576	5	0.8
3	a1	2.5115188628985	0.655552995207684	3.8311454318088	0.000127548082490739	1.22665860233408	3.79637912346291	1	GO:0031529	15	0.8
4	a1	2.13360558816734	0.759967109408547	2.80749727422788	0.00499281023896633	0.644097424291573	3.6231137520431	1	GO:2000672	4	1
5	a1	2.12320628191679	0.760649022280368	2.7913087636024	0.00524953684164124	0.632361593371666	3.61405097046192	1	GO:0071504	5	0.8
6	a1	2.08546105785136	0.74975681877059	2.78151662731256	0.00541055590110588	0.615964695897683	3.55495741980504	1	GO:0031670	5	1
7	a1	2.08545928747469	0.749756935301182	2.78151383372927	0.00541060246733322	0.615962697125251	3.55495587782414	1	GO:0003006	6	0.833333333333333
8	a1	2.15331208285792	0.778034485108	2.7676306437227	0.00564654090669757	0.628392513316072	3.67823165239976	1	GO:0002158	4	0.75
9	a1	2.15331208285792	0.778034485108	2.7676306437227	0.00564654090669757	0.628392513316072	3.67823165239976	1	GO:0060763	4	0.75
10	a1	2.15331208285792	0.778034485108	2.7676306437227	0.00564654090669757	0.628392513316072	3.67823165239976	1	GO:0032946	4	0.75
11	a1	2.10421469339133	0.76225137465474	2.76052594112334	0.00577083747515479	0.610229451901896	3.59819993488077	1	GO:0032962	5	0.8
12	a1	2.13827293117724	0.778920411242108	2.74517511714379	0.00604786161443632	0.611616978319581	3.6649288840349	1	GO:0007621	4	0.75
13	a1	2.03221284014232	0.743192169439625	2.73443790678612	0.00624868796994048	0.575582954448471	3.48884272583618	1	GO:0061518	8	0.75
14	a1	2.04963301928697	0.752898799273461	2.72232207205648	0.00648249308089572	0.57397848870753	3.5252875498664	1	GO:0001956	6	0.833333333333333
15	a1	2.0775074716603	0.764832337061093	2.71629136346826	0.00660177903883101	0.578463636808954	3.57655130651164	1	GO:0051972	4	1
16	a1	2.11171775878462	0.781112879007599	2.70347323099773	0.00686189748471762	0.580764648069328	3.6426708694999	1	GO:1904751	4	0.75
17	a1	2.00468749720187	0.745691322291453	2.68836103797161	0.00718037149603623	0.543159361926572	3.46621563247717	1	GO:0071314	8	0.75
18	a1	2.02675849422347	0.755280425242981	2.68345163794156	0.00728665132160071	0.546436062519136	3.50708092592781	1	GO:0010040	6	0.833333333333333
19	a1	1.98010912655671	0.738615761062017	2.68083790103478	0.00734380800736058	0.532448836461512	3.4277694166519	1	GO:0045657	10	0.7
20	a1	1.96394688848601	0.74009654858062	2.65363605904193	0.00796296604646113	0.513384308185594	3.41450946878642	1	GO:0009308	8	0.875
21	a1	2.06517541588991	0.785412776714798	2.62941408278086	0.00855321418844654	0.525794660531303	3.60455617124851	1	GO:0006853	4	0.75
22	a1	2.06517541588991	0.785412776714798	2.62941408278086	0.00855321418844654	0.525794660531303	3.60455617124851	1	GO:0010876	4	0.75
23	a1	2.06517541588991	0.785412776714798	2.62941408278086	0.00855321418844654	0.525794660531303	3.60455617124851	1	GO:1904772	4	0.75
