Parameter	Estimate	SE	z	pval	CI_Leftlim	CI_Rightlim	CONVERGED	GO_term	term_size	prop_rep
1	a1	1.96851509952137	0.751898246774904	2.6180604994956	0.00884311250949631	0.49482161580375	3.44220858323899	1	GO:0150093	7	0.714285714285714
2	a1	1.95214539996991	0.753069960806557	2.59224972654482	0.00953505298011775	0.476155398950074	3.42813540098976	1	GO:0010040	6	0.833333333333333
3	a1	1.89146430006631	0.747225964521547	2.53131501028264	0.0113635741737497	0.426928321290877	3.35600027884175	1	GO:1903214	8	0.75
4	a1	1.93911564921772	0.819882595292333	2.36511381062592	0.0180245309145722	0.332175290893515	3.54605600754192	1	GO:0061515	2	1
5	a1	1.80872258256982	0.783195374825225	2.30941427989593	0.0209206033700121	0.273687855054031	3.34375731008561	1	GO:0046500	4	1
6	a1	1.85329920067502	0.825756212556146	2.24436603987283	0.0248088596693416	0.234846764054773	3.47175163729527	1	GO:0046498	2	1
7	a1	1.766696770567	0.805907399330994	2.19218333524867	0.0283662712712955	0.187147293003914	3.34624624813009	1	GO:0019626	3	1
8	a1	1.65196626774446	0.800474331183974	2.0637342178119	0.0390429231450548	0.0830654080750846	3.22086712741384	1	GO:0035655	5	0.8
9	a1	1.65196626774446	0.800474331183974	2.0637342178119	0.0390429231450548	0.0830654080750846	3.22086712741384	1	GO:2000074	4	1
10	a1	1.58007395149195	0.824688804903045	1.91596386673117	0.0553696951057069	-0.0362864045714006	3.1964343075553	1	GO:0002093	4	0.75
11	a1	1.47733866768869	0.835102874546907	1.7690499131502	0.076885545376976	-0.159432889809119	3.1141102251865	1	GO:0043137	4	0.75
12	a1	1.22020315205818	0.814776810053551	1.49759190124469	0.134239312209809	-0.376730051085213	2.81713635520157	1	GO:0071481	11	0.727272727272727
13	a1	0.416892491795196	0.947024456082263	0.440213015743897	0.659782833689527	-1.43924133460467	2.27302631819507	1	GO:1904751	4	0.75
14	a1	0.00165418075766473	0.999944969077607	0.00165427179376743	0.998680082678399	-1.95820194515646	1.96151030667179	0	GO:0021999	1	1
15	a1	0.001612187361338	0.999946208313899	0.00161227408827967	0.9987135919545	-1.95824636741129	1.96147074213397	0	GO:1901052	1	1
16	a1	0.00159673097663028	0.999946719105716	0.00159681605641777	0.998725925663586	-1.95826282492956	1.96145628688282	0	GO:0035822	1	1
17	a1	0.00159673097663028	0.999946719105716	0.00159681605641777	0.998725925663586	-1.95826282492956	1.96145628688282	0	GO:0060382	1	1
18	a1	0.00159673097663028	0.999946719105716	0.00159681605641777	0.998725925663586	-1.95826282492956	1.96145628688282	0	GO:1990968	1	1
19	a1	0.00159673097663028	0.999946719105716	0.00159681605641777	0.998725925663586	-1.95826282492956	1.96145628688282	0	GO:1990969	1	1
20	a1	0.00158386719680198	0.999947145917867	0.00158395091507374	0.998736190548255	-1.95827652524583	1.96144425963944	0	GO:0100002	1	1
21	a1	0.00158386719680198	0.999947145917867	0.00158395091507374	0.998736190548255	-1.95827652524583	1.96144425963944	0	GO:0060709	1	1
22	a1	0.00156976517584202	0.999946819970393	0.00156984866044026	0.99874744250551	-1.95828998842149	1.96142951877317	0	GO:1904744	1	1
23	a1	-0.000655874983861862	0.999944952096663	-0.000655911090392163	0.999476658705242	-1.96051196761595	1.95920021764823	0	GO:2000249	21	0.714285714285714
24	a1	-0.000631260437983371	0.999944952401426	-0.000631295189267531	0.999496299348631	-1.9604873536674	1.95922483279143	0	GO:0043968	16	0.75
25	a1	-0.000631260437983371	0.999944952401426	-0.000631295189267531	0.999496299348631	-1.9604873536674	1.95922483279143	0	GO:1902230	16	0.75
26	a1	-0.000631260437983371	0.999944952401426	-0.000631295189267531	0.999496299348631	-1.9604873536674	1.95922483279143	0	GO:0043129	16	0.75
27	a1	-0.000611155325949922	0.999944952699342	-0.000611188970252926	0.999512341787263	-1.96046724913927	1.95924493848737	0	GO:0019985	14	0.714285714285714
