Parameter	Estimate	SE	z	pval	CI_Leftlim	CI_Rightlim	CONVERGED	GO_term	term_size	prop_rep
1	a1	1.29298612449488	0.879672165470266	1.46984999099484	0.141602386320432	-0.431139638029196	3.01711188701897	1	GO:0061515	2	1
2	a1	0.00218032554892506	0.999925943343939	0.00218048702850297	0.998260224443561	-1.95763851061243	1.96199916171028	0	GO:1904744	1	1
3	a1	0.00182265860849465	0.999940375572503	0.00182276728995078	0.998545642926757	-1.95802446420107	1.96166978141806	0	GO:0090321	1	1
4	a1	-0.000588638858497931	0.999940356861918	-0.000588673968860741	0.999530306156027	-1.96043572499599	1.95925844727899	0	GO:0051315	11	0.727272727272727
5	a1	-0.000588638858497931	0.999940356861918	-0.000588673968860741	0.999530306156027	-1.96043572499599	1.95925844727899	0	GO:0097267	11	0.727272727272727
6	a1	-0.000572690564912698	0.999940357238423	-0.000572724723796849	0.999543031810274	-1.96041977744034	1.95927439631051	0	GO:0006264	10	0.7
7	a1	-0.000572690564912698	0.999940357238423	-0.000572724723796849	0.999543031810274	-1.96041977744034	1.95927439631051	0	GO:0016926	10	0.7
8	a1	-0.000572690564912698	0.999940357238423	-0.000572724723796849	0.999543031810274	-1.96041977744034	1.95927439631051	0	GO:0071044	10	0.7
9	a1	-0.000554281828695997	0.999940357748046	-0.000554314889284285	0.999557720730666	-1.96040136970296	1.95929280604557	0	GO:0003356	7	0.857142857142857
10	a1	-0.000554281828695997	0.999940357748046	-0.000554314889284285	0.999557720730666	-1.96040136970296	1.95929280604557	0	GO:0000055	7	0.857142857142857
11	a1	-0.000554281828695997	0.999940357748046	-0.000554314889284285	0.999557720730666	-1.96040136970296	1.95929280604557	0	GO:0010430	7	0.857142857142857
12	a1	-0.000532511501973558	0.999940358461785	-0.000532543263672969	0.99957509197204	-1.96037960077514	1.9593145777712	0	GO:1903546	7	0.714285714285714
13	a1	-0.000532511501973558	0.999940358461785	-0.000532543263672969	0.99957509197204	-1.96037960077514	1.9593145777712	0	GO:0006004	7	0.714285714285714
14	a1	-0.000532511501973558	0.999940358461785	-0.000532543263672969	0.99957509197204	-1.96037960077514	1.9593145777712	0	GO:0042276	7	0.714285714285714
15	a1	-0.000532511501973558	0.999940358461785	-0.000532543263672969	0.99957509197204	-1.96037960077514	1.9593145777712	0	GO:0070997	7	0.714285714285714
16	a1	-0.000532511501973558	0.999940358461785	-0.000532543263672969	0.99957509197204	-1.96037960077514	1.9593145777712	0	GO:0032466	7	0.714285714285714
17	a1	-0.000532511501973558	0.999940358461785	-0.000532543263672969	0.99957509197204	-1.96037960077514	1.9593145777712	0	GO:0009838	6	0.833333333333333
18	a1	-0.000532511501973558	0.999940358461785	-0.000532543263672969	0.99957509197204	-1.96037960077514	1.9593145777712	0	GO:0044528	7	0.714285714285714
19	a1	-0.000532511501973558	0.999940358461785	-0.000532543263672969	0.99957509197204	-1.96037960077514	1.9593145777712	0	GO:0000963	6	0.833333333333333
20	a1	-0.000532511501973558	0.999940358461785	-0.000532543263672969	0.99957509197204	-1.96037960077514	1.9593145777712	0	GO:0002735	6	0.833333333333333
21	a1	-0.000532511501973558	0.999940358461785	-0.000532543263672969	0.99957509197204	-1.96037960077514	1.9593145777712	0	GO:0150093	7	0.714285714285714
22	a1	-0.000532511501973558	0.999940358461785	-0.000532543263672969	0.99957509197204	-1.96037960077514	1.9593145777712	0	GO:0046600	7	0.714285714285714
23	a1	-0.000532511501973558	0.999940358461785	-0.000532543263672969	0.99957509197204	-1.96037960077514	1.9593145777712	0	GO:0036101	5	1
24	a1	-0.000532511501973558	0.999940358461785	-0.000532543263672969	0.99957509197204	-1.96037960077514	1.9593145777712	0	GO:0035735	7	0.714285714285714
25	a1	-0.000532511501973558	0.999940358461785	-0.000532543263672969	0.99957509197204	-1.96037960077514	1.9593145777712	0	GO:0045922	7	0.714285714285714
26	a1	-0.000532511501973558	0.999940358461785	-0.000532543263672969	0.99957509197204	-1.96037960077514	1.9593145777712	0	GO:0006032	6	0.833333333333333
27	a1	-0.000505869765862726	0.999940359529209	-0.0005058999379732	0.999596350267398	-1.96035296113115	1.95934122159942	0	GO:0035722	4	1
28	a1	-0.000505869765862726	0.999940359529209	-0.0005058999379732	0.999596350267398	-1.96035296113115	1.95934122159942	0	GO:0006248	5	0.8
29	a1	-0.000505869765862726	0.999940359529209	-0.0005058999379732	0.999596350267398	-1.96035296113115	1.95934122159942	0	GO:0090650	5	0.8
30	a1	-0.000505869765862726	0.999940359529209	-0.0005058999379732	0.999596350267398	-1.96035296113115	1.95934122159942	0	GO:0048549	5	0.8
31	a1	-0.000505869765862726	0.999940359529209	-0.0005058999379732	0.999596350267398	-1.96035296113115	1.95934122159942	0	GO:0044878	4	1
32	a1	-0.000505869765862726	0.999940359529209	-0.0005058999379732	0.999596350267398	-1.96035296113115	1.95934122159942	0	GO:0010572	5	0.8
33	a1	-0.000505869765862726	0.999940359529209	-0.0005058999379732	0.999596350267398	-1.96035296113115	1.95934122159942	0	GO:0051984	5	0.8
34	a1	-0.000505869765862726	0.999940359529209	-0.0005058999379732	0.999596350267398	-1.96035296113115	1.95934122159942	0	GO:0003406	5	0.8
35	a1	-0.000505869765862726	0.999940359529209	-0.0005058999379732	0.999596350267398	-1.96035296113115	1.95934122159942	0	GO:0042361	4	1
36	a1	-0.000505869765862726	0.999940359529209	-0.0005058999379732	0.999596350267398	-1.96035296113115	1.95934122159942	0	GO:0042376	4	1
37	a1	-0.000505869765862726	0.999940359529209	-0.0005058999379732	0.999596350267398	-1.96035296113115	1.95934122159942	0	GO:0042377	4	1
38	a1	-0.000505869765862726	0.999940359529209	-0.0005058999379732	0.999596350267398	-1.96035296113115	1.95934122159942	0	GO:1902416	5	0.8
39	a1	-0.000505869765862726	0.999940359529209	-0.0005058999379732	0.999596350267398	-1.96035296113115	1.95934122159942	0	GO:0032410	5	0.8
40	a1	-0.000505869765862726	0.999940359529209	-0.0005058999379732	0.999596350267398	-1.96035296113115	1.95934122159942	0	GO:0007006	5	0.8
41	a1	-0.000505869765862726	0.999940359529209	-0.0005058999379732	0.999596350267398	-1.96035296113115	1.95934122159942	0	GO:1904354	5	0.8
42	a1	-0.000505869765862726	0.999940359529209	-0.0005058999379732	0.999596350267398	-1.96035296113115	1.95934122159942	0	GO:0042780	4	1
43	a1	-0.000505869765862726	0.999940359529209	-0.0005058999379732	0.999596350267398	-1.96035296113115	1.95934122159942	0	GO:0051552	5	0.8
44	a1	-0.000471526053148778	0.99994036129963	-0.00047155417602699	0.99962375421731	-1.96031862088839	1.95937556878209	0	GO:0046642	4	0.75
45	a1	-0.000471526053148778	0.99994036129963	-0.00047155417602699	0.99962375421731	-1.96031862088839	1.95937556878209	0	GO:0010638	4	0.75
46	a1	-0.000471526053148778	0.99994036129963	-0.00047155417602699	0.99962375421731	-1.96031862088839	1.95937556878209	0	GO:0006021	3	1
47	a1	-0.000471526053148778	0.99994036129963	-0.00047155417602699	0.99962375421731	-1.96031862088839	1.95937556878209	0	GO:0001996	4	0.75
48	a1	-0.000471526053148778	0.99994036129963	-0.00047155417602699	0.99962375421731	-1.96031862088839	1.95937556878209	0	GO:0097068	3	1
49	a1	-0.000471526053148778	0.99994036129963	-0.00047155417602699	0.99962375421731	-1.96031862088839	1.95937556878209	0	GO:0039534	4	0.75
50	a1	-0.000471526053148778	0.99994036129963	-0.00047155417602699	0.99962375421731	-1.96031862088839	1.95937556878209	0	GO:0099179	4	0.75
51	a1	-0.000471526053148778	0.99994036129963	-0.00047155417602699	0.99962375421731	-1.96031862088839	1.95937556878209	0	GO:0140361	4	0.75
52	a1	-0.000471526053148778	0.99994036129963	-0.00047155417602699	0.99962375421731	-1.96031862088839	1.95937556878209	0	GO:0036071	4	0.75
53	a1	-0.000471526053148778	0.99994036129963	-0.00047155417602699	0.99962375421731	-1.96031862088839	1.95937556878209	0	GO:0006844	4	0.75
54	a1	-0.000471526053148778	0.99994036129963	-0.00047155417602699	0.99962375421731	-1.96031862088839	1.95937556878209	0	GO:1903553	4	0.75
55	a1	-0.000471526053148778	0.99994036129963	-0.00047155417602699	0.99962375421731	-1.96031862088839	1.95937556878209	0	GO:0010574	4	0.75
