Parameter	Estimate	SE	z	pval	CI_Leftlim	CI_Rightlim	CONVERGED	GO_term	term_size	prop_rep
1	a1	2.17585653083807	0.760666952780754	2.86045886821275	0.00423028424287218	0.684976699157966	3.66673636251818	1	GO:0031670	5	0.8
2	a1	2.12937337891323	0.750518808942877	2.83720188427057	0.00455108251862625	0.658383543665295	3.60036321416117	1	GO:0044770	7	0.714285714285714
3	a1	2.19274655349218	0.77863121372668	2.81615547236704	0.00486021404749835	0.666657417349177	3.71883568963518	1	GO:0090188	4	0.75
4	a1	2.04682163319438	0.746563530195915	2.74165767601485	0.00611300132141456	0.583584001839302	3.51005926454945	1	GO:0044829	8	0.75
5	a1	1.97740548944861	0.736097913272016	2.68633486632081	0.00722406474520469	0.534680090340371	3.42013088855685	1	GO:0034145	11	0.727272727272727
6	a1	1.85021544087979	0.729838249676148	2.53510341736788	0.0112414133575969	0.41975875697479	3.28067212478479	1	GO:0007097	15	0.733333333333333
7	a1	2.06012180892307	0.819164141343205	2.51490721449921	0.0119063714172711	0.454589594463713	3.66565402338243	1	GO:1900077	2	1
8	a1	2.06012180591028	0.819164141391513	2.51490721067301	0.0119063715464831	0.454589591356243	3.66565402046433	1	GO:0061515	2	1
9	a1	2.05980117439713	0.81916952419591	2.51449927463917	0.0119201547796738	0.454258409740331	3.66534393905392	1	GO:0031649	2	1
10	a1	1.92089765156304	0.802976282187252	2.39222215422185	0.0167467024299647	0.347093058036159	3.49470224508993	1	GO:0046338	4	0.75
11	a1	1.86148796743787	0.791810170521551	2.35092707411392	0.0187267036560309	0.309568550623113	3.41340738425263	1	GO:0071681	5	0.8
12	a1	1.9139721771203	0.829757595452449	2.30666424460586	0.0210735450108421	0.287677174134942	3.54026718010566	1	GO:0001923	2	1
13	a1	1.82694000351938	0.836696856660954	2.18351484050058	0.028997917281065	0.187044298486036	3.46683570855272	1	GO:0006436	2	1
14	a1	1.48533370559555	0.811442788740435	1.83048481816095	0.0671774749087991	-0.105064935850446	3.07573234704155	1	GO:0046473	8	0.75
15	a1	1.19419679618583	0.833156434731765	1.43334042252258	0.151760575379698	-0.438759809376222	2.82715340174789	1	GO:0051967	10	0.8
16	a1	0.773581435334972	0.891395085134959	0.867832286979516	0.385486152055964	-0.973520827525564	2.52068369819551	1	GO:0032483	7	1
17	a1	0.655675742196325	0.926231499847336	0.707896181790832	0.479009731011456	-1.15970463885097	2.47105612324362	1	GO:0045876	4	0.75
18	a1	0.302387226767783	0.945361993740292	0.319863955574729	0.749071462778097	-1.55048823331617	2.15526268685174	1	GO:0043928	13	0.846153846153846
19	a1	0.15813223636752	0.979208508950107	0.161489851162616	0.871707604047704	-1.76108117452986	2.0773456472649	1	GO:0051409	4	0.75
20	a1	0.157192833798916	0.977388785954233	0.160829381365827	0.872227783479818	-1.75845398556471	2.07283965316254	1	GO:0032201	5	0.8
21	a1	0.0010184981144497	0.999968009806403	0.00101853069744389	0.999187330222317	-1.95888278679829	1.96091978302719	0	GO:0090341	1	1
22	a1	0.00101849408116253	0.999968009806317	0.00101852666402778	0.999187333440516	-1.95888279083141	1.96091977899374	0	GO:0090321	1	1
23	a1	0.00101721680520963	0.999968009839161	0.00101724934717986	0.99918835259138	-1.95888406817174	1.96091850178216	0	GO:0035822	1	1
24	a1	0.00101721680520963	0.999968009839161	0.00101724934717986	0.99918835259138	-1.95888406817174	1.96091850178216	0	GO:0060382	1	1
25	a1	0.00101721680520963	0.999968009839161	0.00101724934717986	0.99918835259138	-1.95888406817174	1.96091850178216	0	GO:1990968	1	1
26	a1	0.00101721680520963	0.999968009839161	0.00101724934717986	0.99918835259138	-1.95888406817174	1.96091850178216	0	GO:1990969	1	1
27	a1	0.00101572201427332	0.999968030765878	0.00101575448716633	0.999189545316489	-1.95888560397829	1.96091704800683	0	GO:1900148	1	1
28	a1	0.00101572201427332	0.999968030765878	0.00101575448716633	0.999189545316489	-1.95888560397829	1.96091704800683	0	GO:1905045	1	1
