Parameter	Estimate	SE	z	pval	CI_Leftlim	CI_Rightlim	CONVERGED	GO_term	term_size	prop_rep
1	a1	2.0342485752199	0.758883892969597	2.68057945894682	0.00734948136312847	0.546863476551938	3.52163367388786	1	GO:0006766	7	0.714285714285714
2	a1	1.9845778041498	0.75895389501606	2.61488585430846	0.00892572792673798	0.49705550399193	3.47210010430767	1	GO:0034435	4	1
3	a1	1.98457614350482	0.758954024158217	2.61488322129391	0.00892579673217428	0.497053590232969	3.47209869677666	1	GO:1905167	4	1
4	a1	2.01166682383756	0.777337217995393	2.58789464503613	0.00965645102819669	0.488113872724029	3.53521977495109	1	GO:0042631	3	1
5	a1	2.00806019311116	0.777594297710682	2.58240087282417	0.00981155438780437	0.484003375014512	3.53211701120782	1	GO:0019626	3	1
6	a1	1.98660092495296	0.779413366474905	2.54884123162767	0.0108081492804358	0.458978797593034	3.5142230523129	1	GO:0046642	4	0.75
7	a1	1.98660092495296	0.779413366474905	2.54884123162767	0.0108081492804358	0.458978797593034	3.5142230523129	1	GO:2000646	4	0.75
8	a1	1.87386066572115	0.742028192775369	2.52532273566648	0.0115592080448999	0.419512132368083	3.32820919907422	1	GO:0150093	7	0.857142857142857
9	a1	1.87783969886013	0.746078897170625	2.51694519973895	0.0118377239525431	0.415551930780344	3.34012746693992	1	GO:0048387	10	0.7
10	a1	1.81914207892906	0.737408692057733	2.4669387525834	0.0136273664411459	0.373847600609118	3.26443655724901	1	GO:2001140	7	1
11	a1	1.81914207599082	0.737408692366041	2.46693874756744	0.0136273666320357	0.373847597066607	3.26443655491504	1	GO:2000008	10	0.7
12	a1	1.8191328688101	0.737409662338329	2.46692301676875	0.0136279653019759	0.37383648877513	3.26442924884506	1	GO:0016254	9	0.777777777777778
13	a1	1.76798374523479	0.73400360282388	2.4086853776098	0.0160100931724114	0.329363119177343	3.20660437129224	1	GO:0033572	10	0.8
14	a1	1.72052920235229	0.731389596203372	2.35241137047002	0.0186521341913819	0.287031935126384	3.15402646957819	1	GO:0001881	11	0.818181818181818
15	a1	1.91043934236005	0.818196439576076	2.3349396916832	0.0195465714748209	0.30680378851204	3.51407489620806	1	GO:0099575	2	1
16	a1	1.91043934164484	0.818196439607508	2.33493969071936	0.0195465715251787	0.306803787735222	3.51407489555446	1	GO:0061515	2	1
17	a1	1.67654525903503	0.729319643392026	2.29877979322963	0.0215174468088341	0.247105024769064	3.105985493301	1	GO:0090150	12	0.833333333333333
18	a1	1.67627119417934	0.729353435802052	2.29829752201824	0.0215448613985652	0.246764728006774	3.10577766035191	1	GO:0090161	13	0.769230769230769
19	a1	1.69851835493952	0.742764880041011	2.28675103061649	0.0222103592463639	0.24272594107792	3.15431076880111	1	GO:0050687	11	0.727272727272727
20	a1	1.82661829818491	0.824645814548072	2.21503373443537	0.0267577491322964	0.210342201668995	3.44289439470083	1	GO:0099044	2	1
21	a1	1.59764833778251	0.726249474228712	2.1998616101984	0.0278167151655298	0.174225524503087	3.02107115106194	1	GO:0046688	15	0.8
22	a1	1.59302012706536	0.74071412792584	2.1506544387457	0.0315034850281911	0.141247113490716	3.04479314064	1	GO:0032480	14	0.714285714285714
23	a1	1.77653508083224	0.8288684917999	2.14332562813972	0.0320869603406724	0.151982688984407	3.40108747268008	1	GO:0099180	2	1
24	a1	1.49352238726281	0.755168707294882	1.97773341616976	0.0479587884201353	0.0134189187131668	2.97362585581244	1	GO:0006515	13	0.769230769230769
25	a1	1.54703561464735	0.782693490999595	1.97655357101744	0.0480921146659927	0.0129845613542228	3.08108666794048	1	GO:0032483	7	0.857142857142857
26	a1	1.08158571766576	0.860920199284599	1.25631355677858	0.209002308648179	-0.605786866495104	2.76895830182661	1	GO:2000074	4	1
27	a1	1.08158571766576	0.860920199284599	1.25631355677858	0.209002308648179	-0.605786866495104	2.76895830182661	1	GO:0010748	4	1
28	a1	0.786624177405819	0.888160431382665	0.885678025738236	0.375791052759634	-0.954138280597762	2.5273866354094	1	GO:0072656	5	1
29	a1	0.521510563847353	0.917651629412838	0.568309963314774	0.569824514894804	-1.27705358015631	2.32007470785101	1	GO:0072655	7	0.857142857142857
30	a1	0.521510563847353	0.917651629412838	0.568309963314774	0.569824514894804	-1.27705358015631	2.32007470785101	1	GO:0034405	8	0.75
31	a1	0.416270224943744	0.926873137120725	0.449112406296359	0.653350571246624	-1.40036774205053	2.23290819193802	1	GO:0090331	12	0.75
32	a1	0.00160349761945637	0.998599256185657	0.00160574685943713	0.998718799922877	-1.95561507949292	1.95882207473183	1	GO:0048009	14	0.714285714285714
33	a1	0.00103544684183598	0.999966349851786	0.00103548168594819	0.999173805297432	-1.95886258461965	1.96093347830332	0	GO:0140367	1	1
34	a1	0.0010353726919211	0.999966349850903	0.00103540753353898	0.999173864462463	-1.95886265876783	1.96093340415167	0	GO:0090321	1	1
35	a1	0.00103422668217872	0.999966351431323	0.00103426148359728	0.999174778877527	-1.95886380787514	1.96093226123949	0	GO:0090085	1	1
36	a1	0.00102873237066086	0.999966517954353	0.00102876681587835	0.999179162985735	-1.9588696285658	1.96092709330712	0	GO:0000709	1	1
37	a1	0.00102873237066086	0.999966517954353	0.00102876681587835	0.999179162985735	-1.9588696285658	1.96092709330712	0	GO:0010774	1	1
38	a1	0.00093568736402002	0.999969544166091	0.000935715862026901	0.999253406869339	-1.95896860483845	1.96083997956649	0	GO:0100002	1	1
39	a1	0.00093568736402002	0.999969544166091	0.000935715862026901	0.999253406869339	-1.95896860483845	1.96083997956649	0	GO:0060709	1	1
40	a1	-0.000498742674668024	0.99996634325471	-0.000498759461288173	0.999602047542783	-1.96039676120612	1.95939927585678	0	GO:0008277	50	0.7
41	a1	-0.000498742674668024	0.99996634325471	-0.000498759461288173	0.999602047542783	-1.96039676120612	1.95939927585678	0	GO:0030148	50	0.7
42	a1	-0.000497691295704372	0.999966343259799	-0.000497708046934804	0.999602886449958	-1.96039570983713	1.95940032724572	0	GO:0006635	49	0.714285714285714
43	a1	-0.000492694834872193	0.999966343266169	-0.000492711417929242	0.999606873182609	-1.96039071338878	1.95940532371904	0	GO:0071466	45	0.711111111111111
44	a1	-0.000488339983898985	0.999966343277978	-0.000488356420375274	0.999610347967502	-1.96038635856095	1.95940967859315	0	GO:0043967	37	0.810810810810811
45	a1	-0.000481231787093109	0.999966343311595	-0.000481247984306562	0.999616019678226	-1.96037925043003	1.95941678685585	0	GO:0030488	37	0.72972972972973
46	a1	-0.000477107014200777	0.999966343393259	-0.000477123072544397	0.999619310881258	-1.9603751258172	1.9594209117888	0	GO:0030100	37	0.702702702702703
47	a1	-0.000476040764394603	0.999966343323531	-0.00047605678688386	0.999620161654027	-1.96037405943073	1.95942197790194	0	GO:0046513	35	0.714285714285714
48	a1	-0.000470417359926822	0.999966343350255	-0.000470433193132032	0.999624648632155	-1.96036843607864	1.95942760135879	0	GO:0051881	32	0.71875
49	a1	-0.000470417359926822	0.999966343350255	-0.000470433193132032	0.999624648632155	-1.96036843607864	1.95942760135879	0	GO:0008089	31	0.741935483870968
50	a1	-0.000470417359926822	0.999966343350255	-0.000470433193132032	0.999624648632155	-1.96036843607864	1.95942760135879	0	GO:0050772	31	0.741935483870968
51	a1	-0.000470417359926822	0.999966343350255	-0.000470433193132032	0.999624648632155	-1.96036843607864	1.95942760135879	0	GO:0007288	28	0.821428571428571
52	a1	-0.000467419867620307	0.999966343359947	-0.000467435599932042	0.999627040365226	-1.96036543860533	1.95943059887009	0	GO:0042073	31	0.709677419354839
53	a1	-0.000462455502036012	0.999966343525292	-0.000462471067181787	0.999631001488831	-1.96036047456382	1.95943556355974	0	GO:0045739	30	0.7
54	a1	-0.000460993401731339	0.999966343397203	-0.000461008917725368	0.999632168115184	-1.96035901221246	1.959437025409	0	GO:0006893	27	0.740740740740741
55	a1	-0.000453890480985477	0.999966343432005	-0.000453905757895481	0.999637835616152	-1.96035190935993	1.95944412839795	0	GO:0045740	25	0.72
56	a1	-0.000450037525088776	0.999966343454663	-0.000450052672306946	0.99964090993334	-1.96034805644844	1.95944798139826	0	GO:0018279	24	0.708333333333333
57	a1	-0.000450037525088776	0.999966343454663	-0.000450052672306946	0.99964090993334	-1.96034805644844	1.95944798139826	0	GO:0061001	21	0.80952380952381
58	a1	-0.000450037525088776	0.999966343454663	-0.000450052672306946	0.99964090993334	-1.96034805644844	1.95944798139826	0	GO:0001825	21	0.80952380952381
59	a1	-0.000450037525088776	0.999966343454663	-0.000450052672306946	0.99964090993334	-1.96034805644844	1.95944798139826	0	GO:0000038	22	0.772727272727273
60	a1	-0.000445951236973263	0.999966343479021	-0.0004459662466456	0.999644170428957	-1.96034397020806	1.95945206773412	0	GO:0001836	20	0.8
61	a1	-0.000436951745405168	0.999966343543727	-0.000436966452147458	0.999651351225338	-1.96033497084332	1.95946106735251	0	GO:0048024	20	0.7
62	a1	-0.000436951745405168	0.999966343543727	-0.000436966452147458	0.999651351225338	-1.96033497084332	1.95946106735251	0	GO:0043923	17	0.823529411764706
63	a1	-0.000436951745405168	0.999966343543727	-0.000436966452147458	0.999651351225338	-1.96033497084332	1.95946106735251	0	GO:0006939	20	0.7
64	a1	-0.000436951745405168	0.999966343543727	-0.000436966452147458	0.999651351225338	-1.96033497084332	1.95946106735251	0	GO:0050775	20	0.7
65	a1	-0.000436951745405168	0.999966343543727	-0.000436966452147458	0.999651351225338	-1.96033497084332	1.95946106735251	0	GO:0060384	19	0.736842105263158
66	a1	-0.000436951745405168	0.999966343543727	-0.000436966452147458	0.999651351225338	-1.96033497084332	1.95946106735251	0	GO:1902230	16	0.875
67	a1	-0.000436951745405168	0.999966343543727	-0.000436966452147458	0.999651351225338	-1.96033497084332	1.95946106735251	0	GO:0010039	20	0.7
68	a1	-0.000436951745405168	0.999966343543727	-0.000436966452147458	0.999651351225338	-1.96033497084332	1.95946106735251	0	GO:0006165	19	0.736842105263158
69	a1	-0.000436951745405168	0.999966343543727	-0.000436966452147458	0.999651351225338	-1.96033497084332	1.95946106735251	0	GO:0045862	20	0.7
70	a1	-0.000436951745405168	0.999966343543727	-0.000436966452147458	0.999651351225338	-1.96033497084332	1.95946106735251	0	GO:0008272	17	0.823529411764706
71	a1	-0.000436951745405168	0.999966343543727	-0.000436966452147458	0.999651351225338	-1.96033497084332	1.95946106735251	0	GO:0006622	18	0.777777777777778
72	a1	-0.000431957800993884	0.999966343575739	-0.000431972339638216	0.999655335950228	-1.96032997696165	1.95946606135966	0	GO:0043968	16	0.8125
73	a1	-0.000431957800993884	0.999966343575739	-0.000431972339638216	0.999655335950228	-1.96032997696165	1.95946606135966	0	GO:0007178	18	0.722222222222222
74	a1	-0.000431957800993884	0.999966343575739	-0.000431972339638216	0.999655335950228	-1.96032997696165	1.95946606135966	0	GO:0006488	17	0.764705882352941
75	a1	-0.000431957800993884	0.999966343575739	-0.000431972339638216	0.999655335950228	-1.96032997696165	1.95946606135966	0	GO:0045292	16	0.8125
76	a1	-0.000431957800993884	0.999966343575739	-0.000431972339638216	0.999655335950228	-1.96032997696165	1.95946606135966	0	GO:1902358	16	0.8125
77	a1	-0.000426564244381662	0.999966343619536	-0.000426578601473371	0.999659639530238	-1.96032458349088	1.95947145500211	0	GO:0019395	17	0.705882352941177
78	a1	-0.000426564244381662	0.999966343619536	-0.000426578601473371	0.999659639530238	-1.96032458349088	1.95947145500211	0	GO:0046855	17	0.705882352941177
79	a1	-0.000426564244381662	0.999966343619536	-0.000426578601473371	0.999659639530238	-1.96032458349088	1.95947145500211	0	GO:0090110	14	0.857142857142857
80	a1	-0.000426564244381662	0.999966343619536	-0.000426578601473371	0.999659639530238	-1.96032458349088	1.95947145500211	0	GO:1903204	14	0.857142857142857
81	a1	-0.000426564244381662	0.999966343619536	-0.000426578601473371	0.999659639530238	-1.96032458349088	1.95947145500211	0	GO:0071425	16	0.75
82	a1	-0.000426564244381662	0.999966343619536	-0.000426578601473371	0.999659639530238	-1.96032458349088	1.95947145500211	0	GO:0003407	16	0.75
83	a1	-0.000426564244381662	0.999966343619536	-0.000426578601473371	0.999659639530238	-1.96032458349088	1.95947145500211	0	GO:0036092	17	0.705882352941177
84	a1	-0.000426564244381662	0.999966343619536	-0.000426578601473371	0.999659639530238	-1.96032458349088	1.95947145500211	0	GO:0050910	17	0.705882352941177
85	a1	-0.000426564244381662	0.999966343619536	-0.000426578601473371	0.999659639530238	-1.96032458349088	1.95947145500211	0	GO:0006111	17	0.705882352941177
86	a1	-0.000426564244381662	0.999966343619536	-0.000426578601473371	0.999659639530238	-1.96032458349088	1.95947145500211	0	GO:0045824	16	0.75
87	a1	-0.000426564244381662	0.999966343619536	-0.000426578601473371	0.999659639530238	-1.96032458349088	1.95947145500211	0	GO:2000772	13	0.923076923076923
88	a1	-0.000420701426161991	0.999966343680087	-0.000420715585900342	0.999664317539424	-1.96031872079133	1.95947731793901	0	GO:0031167	15	0.733333333333333
89	a1	-0.000420701426161991	0.999966343680087	-0.000420715585900342	0.999664317539424	-1.96031872079133	1.95947731793901	0	GO:0031529	15	0.733333333333333
90	a1	-0.000420701426161991	0.999966343680087	-0.000420715585900342	0.999664317539424	-1.96031872079133	1.95947731793901	0	GO:0051489	15	0.733333333333333
91	a1	-0.000420701426161991	0.999966343680087	-0.000420715585900342	0.999664317539424	-1.96031872079133	1.95947731793901	0	GO:0018095	13	0.846153846153846
92	a1	-0.000420701426161991	0.999966343680087	-0.000420715585900342	0.999664317539424	-1.96031872079133	1.95947731793901	0	GO:0030948	14	0.785714285714286
93	a1	-0.000420701426161991	0.999966343680087	-0.000420715585900342	0.999664317539424	-1.96031872079133	1.95947731793901	0	GO:0061462	14	0.785714285714286
94	a1	-0.000420701426161991	0.999966343680087	-0.000420715585900342	0.999664317539424	-1.96031872079133	1.95947731793901	0	GO:0010633	14	0.785714285714286
95	a1	-0.000420701426161991	0.999966343680087	-0.000420715585900342	0.999664317539424	-1.96031872079133	1.95947731793901	0	GO:0006744	15	0.733333333333333
96	a1	-0.000420701426161991	0.999966343680087	-0.000420715585900342	0.999664317539424	-1.96031872079133	1.95947731793901	0	GO:0030194	15	0.733333333333333
97	a1	-0.000420701426161991	0.999966343680087	-0.000420715585900342	0.999664317539424	-1.96031872079133	1.95947731793901	0	GO:1903358	13	0.846153846153846
98	a1	-0.000420701426161991	0.999966343680087	-0.000420715585900342	0.999664317539424	-1.96031872079133	1.95947731793901	0	GO:0009083	13	0.846153846153846
99	a1	-0.000414280104870622	0.999966343734745	-0.000414294048461011	0.999669441184557	-1.96031229957717	1.95948373936743	0	GO:0010863	11	0.909090909090909
100	a1	-0.000414280104870622	0.999966343734745	-0.000414294048461011	0.999669441184557	-1.96031229957717	1.95948373936743	0	GO:0060042	14	0.714285714285714
101	a1	-0.000414280104870622	0.999966343734745	-0.000414294048461011	0.999669441184557	-1.96031229957717	1.95948373936743	0	GO:0009435	14	0.714285714285714
102	a1	-0.000414280104870622	0.999966343734745	-0.000414294048461011	0.999669441184557	-1.96031229957717	1.95948373936743	0	GO:0071168	14	0.714285714285714
103	a1	-0.000414280104870622	0.999966343734745	-0.000414294048461011	0.999669441184557	-1.96031229957717	1.95948373936743	0	GO:0071875	13	0.769230769230769
104	a1	-0.000414280104870622	0.999966343734745	-0.000414294048461011	0.999669441184557	-1.96031229957717	1.95948373936743	0	GO:0010996	13	0.769230769230769
105	a1	-0.000414280104870622	0.999966343734745	-0.000414294048461011	0.999669441184557	-1.96031229957717	1.95948373936743	0	GO:0090309	11	0.909090909090909
106	a1	-0.000414280104870622	0.999966343734745	-0.000414294048461011	0.999669441184557	-1.96031229957717	1.95948373936743	0	GO:0000288	12	0.833333333333333
107	a1	-0.000414280104870622	0.999966343734745	-0.000414294048461011	0.999669441184557	-1.96031229957717	1.95948373936743	0	GO:0032968	14	0.714285714285714
108	a1	-0.000414280104870622	0.999966343734745	-0.000414294048461011	0.999669441184557	-1.96031229957717	1.95948373936743	0	GO:0051168	12	0.833333333333333
109	a1	-0.000414280104870622	0.999966343734745	-0.000414294048461011	0.999669441184557	-1.96031229957717	1.95948373936743	0	GO:0001946	12	0.833333333333333
110	a1	-0.000414280104870622	0.999966343734745	-0.000414294048461011	0.999669441184557	-1.96031229957717	1.95948373936743	0	GO:0090136	13	0.769230769230769
111	a1	-0.000414280104870622	0.999966343734745	-0.000414294048461011	0.999669441184557	-1.96031229957717	1.95948373936743	0	GO:0044849	14	0.714285714285714
112	a1	-0.000414280104870622	0.999966343734745	-0.000414294048461011	0.999669441184557	-1.96031229957717	1.95948373936743	0	GO:0000012	11	0.909090909090909
113	a1	-0.000414280104870622	0.999966343734745	-0.000414294048461011	0.999669441184557	-1.96031229957717	1.95948373936743	0	GO:0035721	13	0.769230769230769
114	a1	-0.000414280104870622	0.999966343734745	-0.000414294048461011	0.999669441184557	-1.96031229957717	1.95948373936743	0	GO:0061621	11	0.909090909090909
115	a1	-0.000414280104870622	0.999966343734745	-0.000414294048461011	0.999669441184557	-1.96031229957717	1.95948373936743	0	GO:0002687	14	0.714285714285714
116	a1	-0.000414280104870622	0.999966343734745	-0.000414294048461011	0.999669441184557	-1.96031229957717	1.95948373936743	0	GO:0043928	13	0.769230769230769
117	a1	-0.000414280104870622	0.999966343734745	-0.000414294048461011	0.999669441184557	-1.96031229957717	1.95948373936743	0	GO:0031123	13	0.769230769230769
118	a1	-0.000414280104870622	0.999966343734745	-0.000414294048461011	0.999669441184557	-1.96031229957717	1.95948373936743	0	GO:0000722	11	0.909090909090909
119	a1	-0.000414280104870622	0.999966343734745	-0.000414294048461011	0.999669441184557	-1.96031229957717	1.95948373936743	0	GO:0033147	14	0.714285714285714
120	a1	-0.00040718198922807	0.999966343816156	-0.000407195693881204	0.999675104851605	-1.96030520162109	1.95949083764263	0	GO:0006569	10	0.9
121	a1	-0.00040718198922807	0.999966343816156	-0.000407195693881204	0.999675104851605	-1.96030520162109	1.95949083764263	0	GO:0098911	12	0.75
122	a1	-0.00040718198922807	0.999966343816156	-0.000407195693881204	0.999675104851605	-1.96030520162109	1.95949083764263	0	GO:0016558	12	0.75
123	a1	-0.00040718198922807	0.999966343816156	-0.000407195693881204	0.999675104851605	-1.96030520162109	1.95949083764263	0	GO:0140289	12	0.75
124	a1	-0.00040718198922807	0.999966343816156	-0.000407195693881204	0.999675104851605	-1.96030520162109	1.95949083764263	0	GO:0009404	9	1
125	a1	-0.00040718198922807	0.999966343816156	-0.000407195693881204	0.999675104851605	-1.96030520162109	1.95949083764263	0	GO:0034204	11	0.818181818181818
126	a1	-0.00040718198922807	0.999966343816156	-0.000407195693881204	0.999675104851605	-1.96030520162109	1.95949083764263	0	GO:0018401	11	0.818181818181818
127	a1	-0.00040718198922807	0.999966343816156	-0.000407195693881204	0.999675104851605	-1.96030520162109	1.95949083764263	0	GO:0006734	11	0.818181818181818
128	a1	-0.00040718198922807	0.999966343816156	-0.000407195693881204	0.999675104851605	-1.96030520162109	1.95949083764263	0	GO:0002260	11	0.818181818181818
129	a1	-0.00040718198922807	0.999966343816156	-0.000407195693881204	0.999675104851605	-1.96030520162109	1.95949083764263	0	GO:0034501	12	0.75
130	a1	-0.00040718198922807	0.999966343816156	-0.000407195693881204	0.999675104851605	-1.96030520162109	1.95949083764263	0	GO:0090160	11	0.818181818181818
131	a1	-0.00040718198922807	0.999966343816156	-0.000407195693881204	0.999675104851605	-1.96030520162109	1.95949083764263	0	GO:0042770	10	0.9
132	a1	-0.00040718198922807	0.999966343816156	-0.000407195693881204	0.999675104851605	-1.96030520162109	1.95949083764263	0	GO:0000338	10	0.9
133	a1	-0.00040718198922807	0.999966343816156	-0.000407195693881204	0.999675104851605	-1.96030520162109	1.95949083764263	0	GO:1904357	11	0.818181818181818
134	a1	-0.00040718198922807	0.999966343816156	-0.000407195693881204	0.999675104851605	-1.96030520162109	1.95949083764263	0	GO:0051974	12	0.75
135	a1	-0.00040718198922807	0.999966343816156	-0.000407195693881204	0.999675104851605	-1.96030520162109	1.95949083764263	0	GO:2001214	12	0.75
136	a1	-0.00040718198922807	0.999966343816156	-0.000407195693881204	0.999675104851605	-1.96030520162109	1.95949083764263	0	GO:0045820	12	0.75
137	a1	-0.000405961763987107	0.999966941336503	-0.000405975184984136	0.99967607867673	-1.96030515251421	1.95949322898624	0	GO:0006287	14	0.785714285714286
138	a1	-0.000399247666626374	0.999966343904403	-0.000399261104196265	0.999681435737696	-1.96029726747145	1.9594987721382	0	GO:0001188	11	0.727272727272727
139	a1	-0.000399247666626374	0.999966343904403	-0.000399261104196265	0.999681435737696	-1.96029726747145	1.9594987721382	0	GO:1901838	11	0.727272727272727
140	a1	-0.000399247666626374	0.999966343904403	-0.000399261104196265	0.999681435737696	-1.96029726747145	1.9594987721382	0	GO:0001960	11	0.727272727272727
141	a1	-0.000399247666626374	0.999966343904403	-0.000399261104196265	0.999681435737696	-1.96029726747145	1.9594987721382	0	GO:0046940	11	0.727272727272727
142	a1	-0.000399247666626374	0.999966343904403	-0.000399261104196265	0.999681435737696	-1.96029726747145	1.9594987721382	0	GO:0006625	11	0.727272727272727
143	a1	-0.000399247666626374	0.999966343904403	-0.000399261104196265	0.999681435737696	-1.96029726747145	1.9594987721382	0	GO:0045050	11	0.727272727272727
144	a1	-0.000399247666626374	0.999966343904403	-0.000399261104196265	0.999681435737696	-1.96029726747145	1.9594987721382	0	GO:0002084	10	0.8
145	a1	-0.000399247666626374	0.999966343904403	-0.000399261104196265	0.999681435737696	-1.96029726747145	1.9594987721382	0	GO:1990961	11	0.727272727272727
146	a1	-0.000399247666626374	0.999966343904403	-0.000399261104196265	0.999681435737696	-1.96029726747145	1.9594987721382	0	GO:1904871	11	0.727272727272727
147	a1	-0.000399247666626374	0.999966343904403	-0.000399261104196265	0.999681435737696	-1.96029726747145	1.9594987721382	0	GO:0051247	10	0.8
148	a1	-0.000399247666626374	0.999966343904403	-0.000399261104196265	0.999681435737696	-1.96029726747145	1.9594987721382	0	GO:1900242	9	0.888888888888889
149	a1	-0.000399247666626374	0.999966343904403	-0.000399261104196265	0.999681435737696	-1.96029726747145	1.9594987721382	0	GO:0097186	11	0.727272727272727
150	a1	-0.000399247666626374	0.999966343904403	-0.000399261104196265	0.999681435737696	-1.96029726747145	1.9594987721382	0	GO:0071985	11	0.727272727272727
151	a1	-0.000399247666626374	0.999966343904403	-0.000399261104196265	0.999681435737696	-1.96029726747145	1.9594987721382	0	GO:0051561	11	0.727272727272727
152	a1	-0.000399247666626374	0.999966343904403	-0.000399261104196265	0.999681435737696	-1.96029726747145	1.9594987721382	0	GO:2000035	10	0.8
153	a1	-0.000399247666626374	0.999966343904403	-0.000399261104196265	0.999681435737696	-1.96029726747145	1.9594987721382	0	GO:0030953	10	0.8
154	a1	-0.000399247666626374	0.999966343904403	-0.000399261104196265	0.999681435737696	-1.96029726747145	1.9594987721382	0	GO:0051315	11	0.727272727272727
155	a1	-0.000399247666626374	0.999966343904403	-0.000399261104196265	0.999681435737696	-1.96029726747145	1.9594987721382	0	GO:0007042	11	0.727272727272727
