Parameter	Estimate	SE	z	pval	CI_Leftlim	CI_Rightlim	CONVERGED	GO_term	term_size	prop_rep
1	a1	1.28743700372909	0.674770177913378	1.90796369767006	0.0563959084377513	-0.0350882428228121	2.609962250281	1	GO:0036006	5	1
2	a1	1.14334685298994	0.699862624814871	1.63367325593702	0.102327476823027	-0.228358685772876	2.51505239175275	1	GO:0015872	7	0.714285714285714
3	a1	0.918448191410498	0.739446026829447	1.24207603812352	0.214208508524381	-0.530839389686456	2.36773577250745	1	GO:0071286	7	0.714285714285714
4	a1	0.921531411295155	0.816672106853506	1.12839829297667	0.259151748387913	-0.679116505316164	2.52217932790647	1	GO:1903305	2	1
5	a1	0.921531411295155	0.816672106853506	1.12839829297667	0.259151748387913	-0.679116505316164	2.52217932790647	1	GO:0043933	2	1
6	a1	0.921531411295155	0.816672106853506	1.12839829297667	0.259151748387913	-0.679116505316164	2.52217932790647	1	GO:0097355	2	1
7	a1	0.921531411295155	0.816672106853506	1.12839829297667	0.259151748387913	-0.679116505316164	2.52217932790647	1	GO:0014866	2	1
8	a1	0.921531410618965	0.816672107002672	1.12839829194258	0.259151748824435	-0.679116506284714	2.52217932752264	1	GO:0044334	2	1
9	a1	0.921531410618965	0.816672107002672	1.12839829194258	0.259151748824435	-0.679116506284714	2.52217932752264	1	GO:0045976	2	1
10	a1	0.921531410618965	0.816672107002672	1.12839829194258	0.259151748824435	-0.679116506284714	2.52217932752264	1	GO:0051884	2	1
11	a1	0.921531410193238	0.816672107070473	1.12839829132761	0.259151749084037	-0.679116506843328	2.5221793272298	1	GO:0090222	2	1
12	a1	0.921531046267171	0.816672158916407	1.12839777407117	0.259151967435581	-0.679116972385559	2.5221790649199	1	GO:0070813	2	1
13	a1	0.921530528923552	0.81667223257703	1.12839703881647	0.25915227781183	-0.679117634101345	2.52217869194845	1	GO:0090230	2	1
14	a1	0.921529934793211	0.816672317180705	1.12839619441797	0.259152634261739	-0.679118394051843	2.52217826363827	1	GO:0097359	2	1
