Parameter	Estimate	SE	z	pval	CI_Leftlim	CI_Rightlim	CONVERGED	GO_term	term_size	prop_rep
1	a1	1.37483296264884	0.655709036716083	2.09671193420525	0.036019083417854	0.0896668663478619	2.65999905894981	1	GO:1905146	8	0.75
2	a1	1.51710502452425	0.775010390313864	1.95752862604829	0.050285349588057	-0.001887428135257	3.03609747718375	1	GO:0010847	4	0.75
3	a1	1.03258102251828	0.816768162861883	1.26422780596664	0.20614827326438	-0.568255160409954	2.63341720544652	1	GO:0043933	2	1
4	a1	1.03258102251828	0.816768162861883	1.26422780596664	0.20614827326438	-0.568255160409954	2.63341720544652	1	GO:0097355	2	1
5	a1	1.03258100680191	0.816768164922119	1.26422778353558	0.20614828131315	-0.568255180164309	2.63341719376814	1	GO:0090222	2	1
6	a1	1.03257954299087	0.816768356772075	1.26422569438377	0.206149030948924	-0.568257019994361	2.63341610597609	1	GO:1904956	2	1
7	a1	1.03257954299087	0.816768356772075	1.26422569438377	0.206149030948924	-0.568257019994361	2.63341610597609	1	GO:2000041	2	1
8	a1	1.03257954299087	0.816768356772075	1.26422569438377	0.206149030948924	-0.568257019994361	2.63341610597609	1	GO:2000054	2	1
9	a1	1.03250405839803	0.816778250026204	1.26411796392094	0.206187689803065	-0.568351895008979	2.63336001180504	1	GO:0006581	2	1
10	a1	1.0232904604296	0.817989297552619	1.25098270049648	0.210940789087735	-0.579939102512753	2.62652002337195	1	GO:1904219	2	1
11	a1	1.0232904604296	0.817989297552619	1.25098270049648	0.210940789087735	-0.579939102512753	2.62652002337195	1	GO:1904222	2	1
12	a1	0.961882600031657	0.775008748169475	1.24112482898234	0.21455963862259	-0.557106634083986	2.4808718341473	1	GO:1903899	4	0.75
13	a1	0.961882600031657	0.775008748169475	1.24112482898234	0.21455963862259	-0.557106634083986	2.4808718341473	1	GO:1903566	4	0.75
14	a1	0.961882599454361	0.775008748321889	1.24112482799337	0.214559638987874	-0.557106634960008	2.48087183386873	1	GO:1903053	4	0.75
15	a1	0.961882599403161	0.775008748337618	1.24112482790212	0.21455963902158	-0.557106635042037	2.48087183384836	1	GO:0051142	4	0.75
16	a1	1.00911763710127	0.819864389392237	1.2308348187306	0.218384650065409	-0.597787038314437	2.61602231251698	1	GO:0045069	2	1
17	a1	1.00911763710127	0.819864389392237	1.2308348187306	0.218384650065409	-0.597787038314437	2.61602231251698	1	GO:0061944	2	1
18	a1	0.996260499446722	0.821576707961595	1.21262018481334	0.225275068026003	-0.614000258694985	2.60652125758843	1	GO:1904674	2	1
19	a1	0.9015713410096	0.785648334620481	1.14755075684736	0.251154068264631	-0.638271099360415	2.44141378137962	1	GO:0071659	4	0.75
20	a1	0.856923697349874	0.756413619493007	1.13287713926176	0.257265851434536	-0.625619754272004	2.33946714897175	1	GO:0045053	5	0.8
21	a1	0.842545993105651	0.759393581627782	1.10949843860891	0.267215217641917	-0.645838076975679	2.33093006318698	1	GO:0031664	4	1
22	a1	0.798126474810727	0.768695680700171	1.03828666512572	0.299136615000375	-0.708489374433109	2.30474232405456	1	GO:0051984	5	0.8
23	a1	0.760821288989785	0.745902316625274	1.02000124149233	0.307727871950843	-0.701120387580744	2.22276296556031	1	GO:0006266	7	0.714285714285714
24	a1	0.760751267726371	0.745918716862971	1.01988494259238	0.307783031522788	-0.701222552719382	2.22272508817212	1	GO:0050882	7	0.714285714285714
25	a1	0.760687733941156	0.745933598035826	1.01977942265127	0.307833084388312	-0.701315253067439	2.22269072094975	1	GO:0001919	5	1
26	a1	0.735590194565324	0.751840633064676	0.978385793764415	0.327883551718765	-0.737990368355235	2.20917075748588	1	GO:0009597	6	0.833333333333333
27	a1	0.634370369689295	0.738109259612383	0.859453206185807	0.390090526073505	-0.8122971958065	2.08103793518509	1	GO:0042775	10	0.7
28	a1	0.60274287314349	0.734495328149389	0.820621793010095	0.41186173031459	-0.836841516842241	2.04232726312922	1	GO:0070613	10	0.7
29	a1	0.648163268608138	0.801152277338711	0.809038789431173	0.418492834816891	-0.92206634110798	2.21839287832426	1	GO:0086003	5	0.8
30	a1	0.517448739558335	0.737191424834947	0.701919097436854	0.482729618382021	-0.927419902829928	1.9623173819466	1	GO:0048066	11	0.727272727272727
31	a1	0.534339484308402	0.801346283072551	0.666802224700686	0.50489847152024	-1.03627036965884	2.10494933827564	1	GO:0050667	7	0.714285714285714
32	a1	0.511061915404336	0.807345398379161	0.633015208150504	0.526723711690725	-1.07130598850296	2.09342981931163	1	GO:0003015	7	0.714285714285714
33	a1	0.464560364565166	0.843436857884892	0.550794478830527	0.581774569406666	-1.18854550012285	2.11766622925318	1	GO:1905279	4	1
34	a1	0.056615984987075	0.994997963537976	0.056900603882406	0.954624373265537	-1.89354418823805	2.00677615821221	1	GO:0014866	2	1
35	a1	0.0346914688789403	0.997776045296903	0.0347687930998757	0.972264105077552	-1.92091364453979	1.99029658229768	0	GO:1901557	1	1
36	a1	0.00176720047945927	0.999925857308128	0.00176733151417516	0.998589874205098	-1.95805146705481	1.96158586801373	0	GO:0060697	1	1
37	a1	0.0017672003957475	0.999925857314089	0.00176733143044665	0.998589874271904	-1.9580514671502	1.9615858679417	0	GO:1901346	1	1
38	a1	0.00176720039563279	0.999925857314079	0.00176733143033195	0.998589874271995	-1.9580514671503	1.96158586794157	0	GO:0031937	1	1
39	a1	0.00176720039529579	0.999925857314108	0.00176733142999487	0.998589874272264	-1.95805146715069	1.96158586794128	0	GO:0045186	1	1
40	a1	0.00176720039529579	0.999925857314108	0.00176733142999487	0.998589874272264	-1.95805146715069	1.96158586794128	0	GO:0097699	1	1
41	a1	0.00176720039529579	0.999925857314108	0.00176733142999487	0.998589874272264	-1.95805146715069	1.96158586794128	0	GO:1904708	1	1
42	a1	0.00176720039529579	0.999925857314108	0.00176733142999487	0.998589874272264	-1.95805146715069	1.96158586794128	0	GO:2000689	1	1
43	a1	0.00176720039529579	0.999925857314108	0.00176733142999487	0.998589874272264	-1.95805146715069	1.96158586794128	0	GO:2000983	1	1
44	a1	0.00176720039529579	0.999925857314108	0.00176733142999487	0.998589874272264	-1.95805146715069	1.96158586794128	0	GO:0035822	1	1
45	a1	0.00176720039529579	0.999925857314108	0.00176733142999487	0.998589874272264	-1.95805146715069	1.96158586794128	0	GO:0060382	1	1
46	a1	0.00176720039529579	0.999925857314108	0.00176733142999487	0.998589874272264	-1.95805146715069	1.96158586794128	0	GO:1990968	1	1
47	a1	0.00176720039529579	0.999925857314108	0.00176733142999487	0.998589874272264	-1.95805146715069	1.96158586794128	0	GO:1990969	1	1
48	a1	0.00176720037070691	0.999925857314957	0.00176733140540267	0.998589874291886	-1.95805146717695	1.96158586791836	0	GO:1905090	1	1
49	a1	0.0017672000425794	0.999925857328906	0.00176733107722617	0.998589874553732	-1.95805146753241	1.96158586761757	0	GO:0048635	1	1
50	a1	0.0017671999133799	0.999925857329485	0.00176733094801607	0.998589874656827	-1.95805146766275	1.96158586748951	0	GO:0044345	1	1
51	a1	0.0017671999133799	0.999925857329485	0.00176733094801607	0.998589874656827	-1.95805146766275	1.96158586748951	0	GO:0090246	1	1
52	a1	0.0017671999133799	0.999925857329485	0.00176733094801607	0.998589874656827	-1.95805146766275	1.96158586748951	0	GO:2000080	1	1
53	a1	0.00176719977900145	0.999925857330556	0.00176733081362576	0.998589874764055	-1.95805146779922	1.96158586735723	0	GO:0032056	1	1
54	a1	0.00176719929715396	0.999925857345928	0.00176733033171537	0.998589875148563	-1.9580514683112	1.96158586690551	0	GO:0036292	1	1
55	a1	0.00176719898204074	0.999925857326715	0.00176733001661275	0.998589875399978	-1.95805146858866	1.96158586655274	0	GO:0060035	1	1
56	a1	0.00176719731085247	0.999925857308428	0.00176732834533289	0.998589876733464	-1.958051470224	1.96158586484571	0	GO:0035445	1	1
57	a1	0.00176719731085247	0.999925857308428	0.00176732834533289	0.998589876733464	-1.958051470224	1.96158586484571	0	GO:0046713	1	1
58	a1	0.0017671966302464	0.999925857313108	0.00176732766466808	0.998589877276556	-1.95805147091378	1.96158586417427	0	GO:1904414	1	1
59	a1	0.0017671966302464	0.999925857313108	0.00176732766466808	0.998589877276556	-1.95805147091378	1.96158586417427	0	GO:1905285	1	1
60	a1	0.0017671966302464	0.999925857313108	0.00176732766466808	0.998589877276556	-1.95805147091378	1.96158586417427	0	GO:0021998	1	1
61	a1	0.0017671966302464	0.999925857313108	0.00176732766466808	0.998589877276556	-1.95805147091378	1.96158586417427	0	GO:0048352	1	1
62	a1	0.0017671966302464	0.999925857313108	0.00176732766466808	0.998589877276556	-1.95805147091378	1.96158586417427	0	GO:0048378	1	1
63	a1	0.0017671966302464	0.999925857313108	0.00176732766466808	0.998589877276556	-1.95805147091378	1.96158586417427	0	GO:0060896	1	1
64	a1	0.00176719631941708	0.999925857309542	0.00176732735382201	0.998589877524574	-1.95805147121762	1.96158586385646	0	GO:1904877	1	1
65	a1	0.00176719450179038	0.999925857309362	0.00176732553606085	0.998589878974936	-1.9580514730349	1.96158586203848	0	GO:0032223	1	1
66	a1	0.001767190315006	0.999925857345147	0.00176732134890279	0.998589882315799	-1.95805147729182	1.96158585792183	0	GO:0035752	1	1
67	a1	0.001767190315006	0.999925857345147	0.00176732134890279	0.998589882315799	-1.95805147729182	1.96158585792183	0	GO:0090384	1	1
68	a1	0.001767190315006	0.999925857345147	0.00176732134890279	0.998589882315799	-1.95805147729182	1.96158585792183	0	GO:0106049	1	1
69	a1	0.001767190315006	0.999925857345147	0.00176732134890279	0.998589882315799	-1.95805147729182	1.96158585792183	0	GO:1900079	1	1
70	a1	0.00176716329924618	0.999925857339491	0.00176729433114979	0.998589903872814	-1.95805150429649	1.96158583089498	0	GO:0008617	1	1
71	a1	0.00176716329924618	0.999925857339491	0.00176729433114979	0.998589903872814	-1.95805150429649	1.96158583089498	0	GO:0046122	1	1
72	a1	0.00176716329924618	0.999925857339491	0.00176729433114979	0.998589903872814	-1.95805150429649	1.96158583089498	0	GO:0046070	1	1
73	a1	0.0017671537472937	0.999925857328368	0.00176728477850872	0.998589911494707	-1.95805151382664	1.96158582132123	0	GO:0002566	1	1
74	a1	0.0017671537472937	0.999925857328368	0.00176728477850872	0.998589911494707	-1.95805151382664	1.96158582132123	0	GO:1900369	1	1
75	a1	0.00176695909637804	0.999925857389531	0.00176709011305195	0.998590066815026	-1.95805170859744	1.96158562679019	0	GO:0035787	1	1
76	a1	0.00176677297304331	0.999925857448087	0.00176690397581306	0.998590215330824	-1.95805189483554	1.96158544078163	0	GO:0034263	1	1
77	a1	0.00176676592184778	0.999925857424093	0.0017668969241371	0.998590220957238	-1.95805190183971	1.9615854336834	0	GO:1900753	1	1
78	a1	0.00176632320655634	0.999925857632139	0.00176645417565164	0.998590574218868	-1.95805234496276	1.96158499137587	0	GO:0010813	1	1
79	a1	0.00176632320655634	0.999925857632139	0.00176645417565164	0.998590574218868	-1.95805234496276	1.96158499137587	0	GO:0060448	1	1
