Parameter	Estimate	SE	z	pval	CI_Leftlim	CI_Rightlim	CONVERGED	GO_term	term_size	prop_rep
1	a1	1.1510679581577	0.775315372839641	1.48464482774519	0.137637933959819	-0.368522249268237	2.67065816558364	1	GO:0009994	4	0.75
2	a1	1.14792555393499	0.775793633947383	1.47967900702424	0.138958930607073	-0.372602028037333	2.66845313590731	1	GO:0051823	4	0.75
3	a1	1.19034036400972	0.816958904826037	1.45703823898363	0.145105825091228	-0.410869666298595	2.79155039431804	1	GO:0043933	2	1
4	a1	1.19034036400972	0.816958904826037	1.45703823898363	0.145105825091228	-0.410869666298595	2.79155039431804	1	GO:0014866	2	1
5	a1	1.19034025443373	0.816958917554701	1.45703808215549	0.145105868379384	-0.410869800822312	2.79155030968977	1	GO:0044334	2	1
6	a1	1.19034025443373	0.816958917554701	1.45703808215549	0.145105868379384	-0.410869800822312	2.79155030968977	1	GO:0051884	2	1
7	a1	1.19034025443373	0.816958917554701	1.45703808215549	0.145105868379384	-0.410869800822312	2.79155030968977	1	GO:0072033	2	1
8	a1	1.0976445413936	0.755855716828345	1.45218792020181	0.146449360583554	-0.383805441098661	2.57909452388586	1	GO:2000304	6	0.833333333333333
9	a1	1.05847600514419	0.756993440032099	1.3982631145381	0.162034070005939	-0.425203873851803	2.54215588414019	1	GO:0061732	5	0.8
10	a1	0.892215627805724	0.739498217455401	1.20651491341767	0.227619012305327	-0.557174245038431	2.34160550064988	1	GO:0006999	8	0.75
11	a1	0.796503822125505	0.832237079435921	0.957063608203283	0.338535150508104	-0.8346508801677	2.42765852441871	1	GO:1905448	4	0.75
12	a1	0.660135739464063	0.885173409540363	0.745769961398689	0.455806388579952	-1.07477226330757	2.3950437422357	1	GO:0043970	2	1
13	a1	0.577472912483649	0.896805248316536	0.64392231598518	0.519625810008282	-1.18023307536326	2.33517890033056	1	GO:0036492	2	1
14	a1	0.160322866177455	0.951414660883752	0.168509980735985	0.866182092453704	-1.70441560351809	2.025061335873	1	GO:0010998	4	0.75
15	a1	0.160322866177455	0.951414660883752	0.168509980735985	0.866182092453704	-1.70441560351809	2.025061335873	1	GO:0032057	4	0.75
16	a1	0.0139229128184345	0.99927125727003	0.0139330664393084	0.988883381083435	-1.94461276221688	1.97245858785375	0	GO:0046041	1	1
17	a1	0.0139229128184345	0.99927125727003	0.0139330664393084	0.988883381083435	-1.94461276221688	1.97245858785375	0	GO:0046051	1	1
18	a1	0.0019874318303778	0.999919273544585	0.00198759228165751	0.998414131849463	-1.95781833176446	1.96179319542522	0	GO:0061324	1	1
19	a1	0.0019874318303778	0.999919273544585	0.00198759228165751	0.998414131849463	-1.95781833176446	1.96179319542522	0	GO:0072497	1	1
20	a1	0.0019874318303778	0.999919273544585	0.00198759228165751	0.998414131849463	-1.95781833176446	1.96179319542522	0	GO:0001840	1	1
21	a1	0.0019874318303778	0.999919273544585	0.00198759228165751	0.998414131849463	-1.95781833176446	1.96179319542522	0	GO:0007403	1	1
22	a1	0.0019874318303778	0.999919273544585	0.00198759228165751	0.998414131849463	-1.95781833176446	1.96179319542522	0	GO:0060479	1	1
23	a1	0.0019874318303778	0.999919273544585	0.00198759228165751	0.998414131849463	-1.95781833176446	1.96179319542522	0	GO:0061550	1	1
24	a1	0.0019874318303778	0.999919273544585	0.00198759228165751	0.998414131849463	-1.95781833176446	1.96179319542522	0	GO:1904796	1	1
25	a1	0.00198743166440473	0.999919273551711	0.00198759211565687	0.998414131981912	-1.9578183319444	1.96179319527321	0	GO:0015850	1	1
26	a1	0.00198743166440473	0.999919273551711	0.00198759211565687	0.998414131981912	-1.9578183319444	1.96179319527321	0	GO:0051608	1	1
27	a1	0.00198743166440473	0.999919273551711	0.00198759211565687	0.998414131981912	-1.9578183319444	1.96179319527321	0	GO:2000689	1	1
28	a1	0.00198743166440473	0.999919273551711	0.00198759211565687	0.998414131981912	-1.9578183319444	1.96179319527321	0	GO:2000983	1	1
29	a1	0.00198743166440473	0.999919273551711	0.00198759211565687	0.998414131981912	-1.9578183319444	1.96179319527321	0	GO:0035822	1	1
30	a1	0.00198743166440473	0.999919273551711	0.00198759211565687	0.998414131981912	-1.9578183319444	1.96179319527321	0	GO:0060382	1	1
31	a1	0.00198743166440473	0.999919273551711	0.00198759211565687	0.998414131981912	-1.9578183319444	1.96179319527321	0	GO:1990968	1	1
32	a1	0.00198743166440473	0.999919273551711	0.00198759211565687	0.998414131981912	-1.9578183319444	1.96179319527321	0	GO:1990969	1	1
33	a1	0.0019874314015825	0.999919273560802	0.00198759185279535	0.998414132191645	-1.95781833222504	1.96179319502821	0	GO:0060697	1	1
34	a1	0.00198740304085194	0.999919273561489	0.00198756348977379	0.998414154822017	-1.95781836058712	1.96179316666882	0	GO:1902553	1	1
35	a1	0.00198726985564856	0.99991927359372	0.0019874302937539	0.998414261096855	-1.95781849383549	1.96179303354679	0	GO:0014722	1	1
36	a1	0.00198726985564856	0.99991927359372	0.0019874302937539	0.998414261096855	-1.95781849383549	1.96179303354679	0	GO:0014853	1	1
37	a1	0.00198726985564856	0.99991927359372	0.0019874302937539	0.998414261096855	-1.95781849383549	1.96179303354679	0	GO:0010657	1	1
38	a1	0.0019824401150252	0.999919371420807	0.00198259996924382	0.998418115130612	-1.95782351531369	1.96178839554374	0	GO:1905597	1	1
39	a1	0.00186758811454832	0.999924112963674	0.00186772985103137	0.998509768054536	-1.95794766056741	1.96168283679651	0	GO:0051052	1	1
40	a1	0.00174950845564994	0.999928906040812	0.00174963284397594	0.998603995678963	-1.95807513448488	1.96157415139618	0	GO:1901622	1	1
41	a1	0.00161794185403181	0.999933597985574	0.00161804929576449	0.998708984011623	-1.95821589712925	1.96145178083731	0	GO:1901557	1	1
42	a1	0.00155865264738459	0.999936540094799	0.00155875156561118	0.998756296695311	-1.95828095276401	1.96139825805878	0	GO:0060734	1	1
43	a1	-0.00114758668504033	0.999919240010998	-0.00114767937161376	0.999084284549663	-1.96095328455526	1.95865811118518	0	GO:1901687	8	0.875
44	a1	-0.00109315300563865	0.999919242273769	-0.00109324129331972	0.999127719824583	-1.96089885531081	1.95871254929953	0	GO:1903215	6	0.833333333333333
45	a1	-0.00109315300563865	0.999919242273769	-0.00109324129331972	0.999127719824583	-1.96089885531081	1.95871254929953	0	GO:0006266	7	0.714285714285714
46	a1	-0.00109315300563865	0.999919242273769	-0.00109324129331972	0.999127719824583	-1.96089885531081	1.95871254929953	0	GO:1900020	7	0.714285714285714
47	a1	-0.00109315300563865	0.999919242273769	-0.00109324129331972	0.999127719824583	-1.96089885531081	1.95871254929953	0	GO:0010649	7	0.714285714285714
48	a1	-0.00109315300563865	0.999919242273769	-0.00109324129331972	0.999127719824583	-1.96089885531081	1.95871254929953	0	GO:0007198	7	0.714285714285714
49	a1	-0.00105705931952091	0.99991924421803	-0.00105714469006701	0.999156520730367	-1.96086276543537	1.95874864679633	0	GO:0001919	5	0.8
50	a1	-0.00105705931952091	0.99991924421803	-0.00105714469006701	0.999156520730367	-1.96086276543537	1.95874864679633	0	GO:0018057	5	0.8
51	a1	-0.00105705931952091	0.99991924421803	-0.00105714469006701	0.999156520730367	-1.96086276543537	1.95874864679633	0	GO:0097052	5	0.8
52	a1	-0.00105705931952091	0.99991924421803	-0.00105714469006701	0.999156520730367	-1.96086276543537	1.95874864679633	0	GO:0110104	5	0.8
