Parameter	Estimate	SE	z	pval	CI_Leftlim	CI_Rightlim	CONVERGED	GO_term	term_size	prop_rep
1	a1	1.09149343329693	0.816801344884045	1.33630219897824	0.181450518067155	-0.509407785199676	2.69239465179354	1	GO:1903518	2	1
2	a1	1.09149343320007	0.816801344906197	1.33630219882342	0.181450518117739	-0.509407785339951	2.6923946517401	1	GO:1903929	2	1
3	a1	1.09149342928833	0.816801345403848	1.33630219322015	0.181450519948452	-0.509407790227069	2.69239464880374	1	GO:0000105	2	1
4	a1	1.09149337559944	0.816801352173703	1.33630211641388	0.181450545042814	-0.509407857184633	2.69239460838352	1	GO:0090222	2	1
5	a1	1.09149122026255	0.816801622969029	1.3362990346359	0.18145155193217	-0.509410543270614	2.69239298379571	1	GO:0014866	2	1
6	a1	1.09137027566808	0.816816821194973	1.33612610238786	0.181508059610136	-0.509561275840556	2.69230182717672	1	GO:0003401	2	1
7	a1	1.09137027566808	0.816816821194973	1.33612610238786	0.181508059610136	-0.509561275840556	2.69230182717672	1	GO:0060026	2	1
8	a1	1.03199926828043	0.775154421634607	1.33134668328951	0.183074964110769	-0.487275480580373	2.55127401714124	1	GO:0009994	4	0.75
9	a1	1.07743480365199	0.818576670105372	1.31622955185529	0.188097007770411	-0.526945988339263	2.68181559564324	1	GO:0006581	2	1
10	a1	1.00986029547245	0.778844853291423	1.29661291488895	0.194764406512457	-0.516647566523126	2.53636815746802	1	GO:0072014	4	0.75
11	a1	1.02374959771992	0.825474979070406	1.24019458333286	0.214903431406684	-0.594151631397031	2.64165082683687	1	GO:1904780	2	1
12	a1	0.932679788992655	0.756472948481574	1.23293211061251	0.217601094077171	-0.549979945310054	2.41533952329536	1	GO:0051823	4	1
13	a1	0.80438408163702	0.814304705152003	0.987817062271387	0.323242249766236	-0.791623812902414	2.40039197617645	1	GO:0061092	4	0.75
14	a1	0.410552068533281	0.888791522992789	0.461921674444921	0.644137490215886	-1.33144730629709	2.15255144336365	1	GO:0010988	4	0.75
15	a1	0.15745237640522	0.932362834892534	0.168874573838379	0.865895299068721	-1.66994520050781	1.98484995331825	1	GO:1905599	5	0.8
16	a1	0.132716782400189	0.951255479039257	0.139517495903655	0.889041231416216	-1.73170969661315	1.99714326141353	1	GO:0042360	3	1
17	a1	0.0174103983923989	0.999023238821529	0.0174274208204973	0.986095633823694	-1.94063916941635	1.97545996620115	0	GO:1900480	1	1
18	a1	0.010851386345373	0.999428764876106	0.0108575885813314	0.991337067911918	-1.94799299792514	1.96969577061589	0	GO:1904708	1	1
19	a1	0.00401252058126598	0.999812518383	0.00401327299617676	0.996797880033815	-1.9555840067417	1.96360904790424	0	GO:0070861	1	1
20	a1	-0.00295611059988681	0.996579944077286	-0.00296625535909597	0.997633274116253	-1.95621690870631	1.95030468750653	1	GO:0036101	5	0.8
21	a1	-0.00295611059988681	0.996579944077286	-0.00296625535909597	0.997633274116253	-1.95621690870631	1.95030468750653	1	GO:0042361	4	1
22	a1	-0.00295611059988681	0.996579944077286	-0.00296625535909597	0.997633274116253	-1.95621690870631	1.95030468750653	1	GO:0042376	4	1
23	a1	-0.00295611059988681	0.996579944077286	-0.00296625535909597	0.997633274116253	-1.95621690870631	1.95030468750653	1	GO:0042377	4	1
24	a1	0.00180107987798872	0.999922830561651	0.0018012188770378	0.998562836044505	-1.95801165534219	1.96161381509817	0	GO:0030862	1	1
25	a1	0.00180107987798872	0.999922830561651	0.0018012188770378	0.998562836044505	-1.95801165534219	1.96161381509817	0	GO:0035844	1	1
26	a1	0.00180107987798872	0.999922830561651	0.0018012188770378	0.998562836044505	-1.95801165534219	1.96161381509817	0	GO:0039008	1	1
27	a1	0.00180107987798872	0.999922830561651	0.0018012188770378	0.998562836044505	-1.95801165534219	1.96161381509817	0	GO:0039023	1	1
28	a1	0.00180107987798872	0.999922830561651	0.0018012188770378	0.998562836044505	-1.95801165534219	1.96161381509817	0	GO:0070121	1	1
29	a1	0.00170094901258754	0.999930018585691	0.00170106805573591	0.99864274471602	-1.95812587447583	1.96152777250101	0	GO:0009070	1	1
30	a1	0.00170094901128428	0.999930018584577	0.00170106805443447	0.998642744717058	-1.95812587447495	1.96152777249752	0	GO:0014722	1	1
31	a1	0.00170094901128428	0.999930018584577	0.00170106805443447	0.998642744717058	-1.95812587447495	1.96152777249752	0	GO:0014853	1	1
32	a1	0.00170094901128428	0.999930018584577	0.00170106805443447	0.998642744717058	-1.95812587447495	1.96152777249752	0	GO:0010657	1	1
33	a1	0.00170094898394356	0.99993001858688	0.00170106802708791	0.998642744738877	-1.95812587450681	1.9615277724747	0	GO:0071036	1	1
34	a1	0.00170094898394356	0.99993001858688	0.00170106802708791	0.998642744738877	-1.95812587450681	1.9615277724747	0	GO:0071037	1	1
35	a1	0.00170094898394356	0.99993001858688	0.00170106802708791	0.998642744738877	-1.95812587450681	1.9615277724747	0	GO:0071039	1	1
36	a1	0.00170094898394356	0.99993001858688	0.00170106802708791	0.998642744738877	-1.95812587450681	1.9615277724747	0	GO:0071040	1	1
37	a1	0.00170094898393761	0.999930018586881	0.00170106802708195	0.998642744738882	-1.95812587450682	1.96152777247469	0	GO:0045186	1	1
