Parameter	Estimate	SE	z	pval	CI_Leftlim	CI_Rightlim	CONVERGED	GO_term	term_size	prop_rep
1	a1	1.666435465213	0.707987190471902	2.35376499411274	0.0185843562053674	0.278806070372368	3.05406486005362	1	GO:1905279	4	1
2	a1	1.61069942212774	0.775100798205474	2.07805155904478	0.0377046105893423	0.0915297732567617	3.12986907099872	1	GO:0060492	3	1
3	a1	1.0553263836801	0.775098351432531	1.36153867664619	0.173343519608973	-0.463838469604035	2.57449123696423	1	GO:1905166	4	0.75
4	a1	1.0553263836801	0.775098351432531	1.36153867664619	0.173343519608973	-0.463838469604035	2.57449123696423	1	GO:0010998	4	0.75
5	a1	1.0553263836801	0.775098351432531	1.36153867664619	0.173343519608973	-0.463838469604035	2.57449123696423	1	GO:0032057	4	0.75
6	a1	1.11045395890328	0.816827242039331	1.35947223813308	0.173996993858506	-0.490498017084986	2.71140593489155	1	GO:0030003	2	1
7	a1	1.11045395890328	0.816827242039331	1.35947223813308	0.173996993858506	-0.490498017084986	2.71140593489155	1	GO:0036492	2	1
8	a1	1.11045395890328	0.816827242039331	1.35947223813308	0.173996993858506	-0.490498017084986	2.71140593489155	1	GO:1905123	2	1
9	a1	1.11045395838917	0.816827242133528	1.3594722373469	0.173996994107471	-0.490498017783724	2.71140593456206	1	GO:0072182	2	1
10	a1	1.11045395838917	0.816827242133528	1.3594722373469	0.173996994107471	-0.490498017783724	2.71140593456206	1	GO:0045976	2	1
11	a1	1.11045395838917	0.816827242133528	1.3594722373469	0.173996994107471	-0.490498017783724	2.71140593456206	1	GO:0051884	2	1
12	a1	1.11045395838917	0.816827242133528	1.3594722373469	0.173996994107471	-0.490498017783724	2.71140593456206	1	GO:0072033	2	1
13	a1	1.11045395717596	0.816827242312832	1.35947223556321	0.173996994672325	-0.490498019348365	2.71140593370028	1	GO:0090222	2	1
14	a1	1.11017263558297	0.816862087126586	1.35906985166632	0.174124455153933	-0.490847635521356	2.7111929066873	1	GO:2001111	2	1
15	a1	0.9261370348242	0.762482177833584	1.21463433736327	0.22450558647474	-0.56830057258329	2.42057464223169	1	GO:0061732	5	0.8
16	a1	0.864569243337962	0.746045561777619	1.15886922680424	0.246509494218685	-0.597653188572123	2.32679167524805	1	GO:0051223	7	0.714285714285714
17	a1	0.921993158855744	0.79735713328778	1.15631141977002	0.247553798940367	-0.640798105204408	2.4847844229159	1	GO:1905448	4	0.75
18	a1	0.83456223038212	0.752550221511808	1.10897878510428	0.267439334085264	-0.640409100338663	2.3095335611029	1	GO:0010032	7	0.714285714285714
19	a1	0.783113154210775	0.739228116711747	1.05936602857348	0.289433114734975	-0.66574733090362	2.23197363932517	1	GO:0007198	7	0.857142857142857
