Parameter	Estimate	SE	z	pval	CI_Leftlim	CI_Rightlim	CONVERGED	GO_term	term_size	prop_rep
1	a1	1.07307021287784	0.816791480141241	1.31376273990062	0.18892606011065	-0.527811671078152	2.67395209683384	1	GO:0097355	2	1
2	a1	1.07307021234545	0.81679148024155	1.31376273908748	0.188926060384378	-0.527811671807144	2.67395209649805	1	GO:0072182	2	1
3	a1	1.07307021234545	0.81679148024155	1.31376273908748	0.188926060384378	-0.527811671807144	2.67395209649805	1	GO:0044336	2	1
4	a1	1.07307021234545	0.81679148024155	1.31376273908748	0.188926060384378	-0.527811671807144	2.67395209649805	1	GO:0051884	2	1
5	a1	1.07307010205428	0.816791494267324	1.31376258149804	0.188926113433358	-0.527811809588328	2.67395201369689	1	GO:0006720	2	1
6	a1	1.0667240448677	0.817601213002397	1.30469968476499	0.191995128877298	-0.535744886333261	2.66919297606866	1	GO:0032472	2	1
7	a1	1.0667240448677	0.817601213002397	1.30469968476499	0.191995128877298	-0.535744886333261	2.66919297606866	1	GO:0032468	2	1
8	a1	1.01046762698586	0.775044114778621	1.30375498338502	0.192317135811939	-0.508590924409965	2.52952617838169	1	GO:0071034	4	0.75
9	a1	1.01046759146725	0.775044120756027	1.30375492750216	0.192317154871674	-0.508590971644079	2.52952615457857	1	GO:2000124	3	1
10	a1	1.01046534113207	0.775044499893301	1.30375138623806	0.192318362678595	-0.508593965074653	2.5295246473388	1	GO:0071726	4	0.75
11	a1	1.01909074544938	0.823768625898125	1.23710798567777	0.216046995472409	-0.595466092904997	2.63364758380375	1	GO:0021740	2	1
12	a1	0.908990701159279	0.756455180387881	1.20164515324382	0.229501039364131	-0.573634208319717	2.39161561063827	1	GO:1905279	4	1
13	a1	0.867996821985186	0.754827893963394	1.14992679646161	0.250174023070514	-0.611438664709284	2.34743230867966	1	GO:0048261	7	0.714285714285714
14	a1	0.814905978121261	0.745929893008707	1.09246993016239	0.274626600411389	-0.64708974716762	2.27690170341014	1	GO:0007198	7	0.714285714285714
15	a1	0.814905973039959	0.745929894125684	1.09246992171446	0.2746266041227	-0.647089754438158	2.27690170051808	1	GO:0051649	7	0.714285714285714
16	a1	0.705110766200507	0.738550262120665	0.954722789178708	0.339717902125055	-0.742421148328612	2.15264268072963	1	GO:0070613	10	0.7
17	a1	0.374713858863157	0.918441622798771	0.407988760049104	0.683281926884103	-1.42539864372495	2.17482636145127	1	GO:0060623	2	1
18	a1	0.121163798693799	0.9412443649753	0.128727250013314	0.897573472406548	-1.72364125730906	1.96596885469666	1	GO:0061732	5	0.8
19	a1	0.0151690616159541	0.98125184237967	0.0154588872711485	0.987666083775234	-1.90804920921177	1.93838733244368	1	GO:0016447	5	0.8
20	a1	0.0136562607323571	0.999253555594613	0.0136664619864483	0.989096080406082	-1.94484471965668	1.97215724112139	0	GO:1901247	1	1
21	a1	0.0136562607323571	0.999253555594613	0.0136664619864483	0.989096080406082	-1.94484471965668	1.97215724112139	0	GO:1901251	1	1
