Parameter	Estimate	SE	z	pval	CI_Leftlim	CI_Rightlim	CONVERGED	GO_term	term_size	prop_rep
1	a1	1.09053547144464	0.816816466934288	1.33510466009297	0.1818420944773	-0.510395385725814	2.6914663286151	1	GO:0030003	2	1
2	a1	1.09053547144464	0.816816466934288	1.33510466009297	0.1818420944773	-0.510395385725814	2.6914663286151	1	GO:1905123	2	1
3	a1	1.09053547091817	0.816816467031495	1.33510465928954	0.181842094740218	-0.510395386442806	2.69146632827915	1	GO:0044336	2	1
4	a1	1.09053547091817	0.816816467031495	1.33510465928954	0.181842094740218	-0.510395386442806	2.69146632827915	1	GO:0044093	2	1
5	a1	1.09053547091817	0.816816467031495	1.33510465928954	0.181842094740218	-0.510395386442806	2.69146632827915	1	GO:0051884	2	1
6	a1	1.09053547091817	0.816816467031495	1.33510465928954	0.181842094740218	-0.510395386442806	2.69146632827915	1	GO:2000017	2	1
7	a1	1.0905354566486	0.816816468772407	1.33510463897424	0.181842101388315	-0.510395404124503	2.69146631742171	1	GO:0003408	2	1
8	a1	1.09048502997636	0.81682280299529	1.33503255048409	0.181865693182924	-0.510458245645459	2.69142830559819	1	GO:0032472	2	1
9	a1	1.09048502997636	0.81682280299529	1.33503255048409	0.181865693182924	-0.510458245645459	2.69142830559819	1	GO:0032468	2	1
10	a1	1.03142652636965	0.775082008984347	1.33073212178053	0.183277169656654	-0.487706296304617	2.55055934904392	1	GO:1905279	4	0.75
11	a1	1.03142652636965	0.775082008984347	1.33073212178053	0.183277169656654	-0.487706296304617	2.55055934904392	1	GO:1905166	4	0.75
12	a1	1.03142652636965	0.775082008984347	1.33073212178053	0.183277169656654	-0.487706296304617	2.55055934904392	1	GO:0060992	4	0.75
13	a1	1.03128105393871	0.77510614571905	1.33050300224624	0.183352597837165	-0.487899075866285	2.5504611837437	1	GO:0009994	4	0.75
14	a1	1.03105702462659	0.775143319653244	1.33015017801847	0.183468795673926	-0.488195964750584	2.55031001400377	1	GO:1902731	4	0.75
15	a1	1.08633674102805	0.817344726253385	1.32910472917308	0.183813420267133	-0.515629485382331	2.68830296743844	1	GO:0031427	2	1
16	a1	1.05856908099258	0.820873963412931	1.28956347523972	0.197202264135163	-0.550314323143412	2.66745248512858	1	GO:0043970	2	1
17	a1	0.931457438442924	0.756499737463131	1.23127265260726	0.218220906502574	-0.55125480129882	2.41416967818467	1	GO:0097325	4	1
18	a1	0.833575221137086	0.747000719824535	1.11589614175056	0.264466593524719	-0.630519286144498	2.29766972841867	1	GO:0003015	7	0.714285714285714
19	a1	0.755935882847934	0.739205995226232	1.02263224017357	0.306481760057906	-0.692881244951567	2.20475301064743	1	GO:0000904	8	0.75
20	a1	0.755935879721573	0.73920599606933	1.02263223477786	0.306481762610026	-0.69288124973037	2.20475300917352	1	GO:0007198	7	0.857142857142857
21	a1	0.750596064568636	0.740500980078907	1.01363277667594	0.310758011663027	-0.700759186902634	2.20195131603991	1	GO:0050667	7	0.857142857142857
22	a1	0.841359900809866	0.849791901745709	0.990077569674974	0.322136205917294	-0.824201620965524	2.50692142258526	1	GO:0060623	2	1
23	a1	0.683495593661108	0.734481151160864	0.930582891856146	0.35206936756896	-0.756061009937704	2.12305219725992	1	GO:0032060	10	0.7
24	a1	0.649130667397987	0.733514701695367	0.88495931424095	0.376178575329018	-0.788531730055573	2.08679306485155	1	GO:0070613	10	0.8
25	a1	0.567912283262306	0.831695495644012	0.682836790912942	0.494709978898066	-1.06218093430415	2.19800550082876	1	GO:0018916	4	1
26	a1	0.268953519166183	0.870621348847868	0.308921346257017	0.757381358514836	-1.43743296874732	1.97534000707969	1	GO:1901687	8	0.75
27	a1	0.0345893293623143	0.997187025191674	0.0346869027459174	0.972329404738301	-1.919861325864	1.98903998458863	1	GO:0016243	2	1
28	a1	0.00222331947803748	0.999902576600305	0.00222353610248392	0.998225876335352	-1.95754971870736	1.96199635766344	0	GO:0035340	1	1
29	a1	0.00199059322371152	0.999913799967408	0.00199076482770455	0.998411600528961	-1.957804442357	1.96178562880442	0	GO:1901346	1	1
30	a1	0.00178415334063359	0.999926261884747	0.00178428491043996	0.998576347373294	-1.95803530714924	1.9616036138305	0	GO:0055006	1	1
31	a1	0.00178415334063359	0.999926261884747	0.00178428491043996	0.998576347373294	-1.95803530714924	1.9616036138305	0	GO:1904690	1	1
32	a1	0.00178415333982473	0.999926261884777	0.00178428490963099	0.998576347373939	-1.9580353071501	1.96160361382975	0	GO:0021503	1	1
33	a1	0.00178415333974519	0.999926261884783	0.00178428490955143	0.998576347374003	-1.9580353071502	1.96160361382969	0	GO:0061324	1	1
34	a1	0.00178415333974519	0.999926261884783	0.00178428490955143	0.998576347374003	-1.9580353071502	1.96160361382969	0	GO:0072497	1	1
35	a1	0.00178415333974519	0.999926261884783	0.00178428490955143	0.998576347374003	-1.9580353071502	1.96160361382969	0	GO:0001840	1	1
36	a1	0.00178415333974519	0.999926261884783	0.00178428490955143	0.998576347374003	-1.9580353071502	1.96160361382969	0	GO:0007403	1	1
37	a1	0.00178415333974519	0.999926261884783	0.00178428490955143	0.998576347374003	-1.9580353071502	1.96160361382969	0	GO:0060479	1	1
38	a1	0.00178415333974519	0.999926261884783	0.00178428490955143	0.998576347374003	-1.9580353071502	1.96160361382969	0	GO:0061550	1	1
39	a1	0.00178415333974519	0.999926261884783	0.00178428490955143	0.998576347374003	-1.9580353071502	1.96160361382969	0	GO:1904796	1	1
40	a1	0.00178415299232834	0.999926261899141	0.00178428456208335	0.998576347651242	-1.95803530752575	1.96160361351041	0	GO:0002416	1	1
41	a1	0.00178415299228716	0.999926261899144	0.00178428456204216	0.998576347651275	-1.9580353075258	1.96160361351037	0	GO:1904566	1	1
42	a1	0.00178415267333074	0.999926261912327	0.00178428424303868	0.998576347905802	-1.95803530787059	1.96160361321726	0	GO:0015850	1	1
43	a1	0.00178415267333074	0.999926261912327	0.00178428424303868	0.998576347905802	-1.95803530787059	1.96160361321726	0	GO:0051608	1	1
44	a1	0.0017841526733305	0.999926261912327	0.00178428424303844	0.998576347905802	-1.95803530787059	1.96160361321726	0	GO:0045186	1	1
45	a1	0.0017841526733305	0.999926261912327	0.00178428424303844	0.998576347905802	-1.95803530787059	1.96160361321726	0	GO:1901208	1	1
46	a1	0.0017841526733305	0.999926261912327	0.00178428424303844	0.998576347905802	-1.95803530787059	1.96160361321726	0	GO:1901211	1	1
47	a1	0.0017841526733305	0.999926261912327	0.00178428424303844	0.998576347905802	-1.95803530787059	1.96160361321726	0	GO:0010424	1	1
48	a1	0.0017841526733305	0.999926261912327	0.00178428424303844	0.998576347905802	-1.95803530787059	1.96160361321726	0	GO:0036166	1	1
49	a1	0.0017841526733305	0.999926261912327	0.00178428424303844	0.998576347905802	-1.95803530787059	1.96160361321726	0	GO:2000689	1	1
50	a1	0.0017841526733305	0.999926261912327	0.00178428424303844	0.998576347905802	-1.95803530787059	1.96160361321726	0	GO:2000983	1	1
51	a1	0.0017841526733305	0.999926261912327	0.00178428424303844	0.998576347905802	-1.95803530787059	1.96160361321726	0	GO:0097734	1	1
52	a1	0.0017841526733305	0.999926261912327	0.00178428424303844	0.998576347905802	-1.95803530787059	1.96160361321726	0	GO:1902047	1	1
53	a1	0.0017841526733305	0.999926261912327	0.00178428424303844	0.998576347905802	-1.95803530787059	1.96160361321726	0	GO:1903710	1	1
54	a1	0.0017841526733305	0.999926261912327	0.00178428424303844	0.998576347905802	-1.95803530787059	1.96160361321726	0	GO:1990938	1	1
