Parameter	Estimate	SE	z	pval	CI_Leftlim	CI_Rightlim	CONVERGED	GO_term	term_size	prop_rep
1	a1	1.31812573401687	0.776054817189932	1.69849565368302	0.0894142523105819	-0.202913757704213	2.83916522573795	1	GO:0010998	4	0.75
2	a1	1.31812573401687	0.776054817189932	1.69849565368302	0.0894142523105819	-0.202913757704213	2.83916522573795	1	GO:0032057	4	0.75
3	a1	0.876178772430305	0.816665772160958	1.07287314137321	0.28332803833501	-0.724456728411767	2.47681427327238	1	GO:0070813	2	1
4	a1	0.876178772147151	0.816665772270598	1.07287314088245	0.283328038555229	-0.72445672890981	2.47681427320411	1	GO:0043933	2	1
5	a1	0.876178772147151	0.816665772270598	1.07287314088245	0.283328038555229	-0.72445672890981	2.47681427320411	1	GO:1905123	2	1
6	a1	0.876178772147151	0.816665772270598	1.07287314088245	0.283328038555229	-0.72445672890981	2.47681427320411	1	GO:0097355	2	1
7	a1	0.876178772145819	0.816665772270615	1.0728731408808	0.283328038555971	-0.724456728911175	2.47681427320281	1	GO:0051130	2	1
8	a1	0.876178770977257	0.816665772522176	1.07287313911942	0.283328039346365	-0.724456730572788	2.4768142725273	1	GO:0046098	2	1
9	a1	0.87617876981074	0.816665772773173	1.07287313736129	0.283328040135302	-0.724456732231251	2.47681427185273	1	GO:0090222	2	1
10	a1	0.876178030309541	0.816665881477578	1.07287208904122	0.283328510554898	-0.724457684789169	2.47681374540825	1	GO:0090230	2	1
11	a1	0.876176909946962	0.816666046530802	1.0728705003336	0.283329223467183	-0.724459128650121	2.47681294854404	1	GO:1905709	2	1
12	a1	0.876167711710249	0.816667400924293	1.07285745790589	0.283335076136212	-0.724470981449298	2.4768064048698	1	GO:1901382	2	1
13	a1	0.876105166072718	0.816676610867021	1.07276877336135	0.283374874678546	-0.724551578242876	2.47676191038831	1	GO:2000098	2	1
14	a1	0.876004833809193	0.816691385429993	1.07262651405092	0.283438723623089	-0.724680868117713	2.4766905357361	1	GO:0097359	2	1
15	a1	0.875890210491292	0.816708265318554	1.07246399685897	0.283511676650786	-0.724828575409256	2.47660899639184	1	GO:1903518	2	1
16	a1	0.875786950457078	0.816723472567173	1.07231759570256	0.283577406170675	-0.724961641103067	2.47653554201722	1	GO:0032472	2	1
17	a1	0.875786950457078	0.816723472567173	1.07231759570256	0.283577406170675	-0.724961641103067	2.47653554201722	1	GO:0032468	2	1
18	a1	0.874621507451155	0.816895166423344	1.07066554363463	0.284319840962203	-0.726463597883453	2.47570661278576	1	GO:0018958	2	1
19	a1	0.870796071425591	0.817459454405172	1.06524680427022	0.286764258389154	-0.731395018030309	2.47298716088149	1	GO:0006581	2	1
20	a1	0.864843740001279	0.818339651719276	1.0568273676881	0.290590381629515	-0.739072504489554	2.46875998449211	1	GO:1901407	2	1
21	a1	0.774190298096034	0.774853424401393	0.999144191295442	0.317724846388901	-0.744494507028227	2.29287510322029	1	GO:0031048	3	1
22	a1	0.774190298096034	0.774853424401393	0.999144191295442	0.317724846388901	-0.744494507028227	2.29287510322029	1	GO:0038028	4	0.75
23	a1	0.774190298095881	0.774853424401438	0.999144191295188	0.317724846389024	-0.744494507028466	2.29287510322023	1	GO:0051142	4	0.75
24	a1	0.774189062951791	0.774853673313682	0.999142276297087	0.317725773929985	-0.744496230031589	2.29287435593517	1	GO:0043550	4	0.75
25	a1	0.774189062951791	0.774853673313682	0.999142276297087	0.317725773929985	-0.744496230031589	2.29287435593517	1	GO:1904761	4	0.75
26	a1	0.774188266295234	0.774853833855132	0.999141041147611	0.317726372183077	-0.744497341343606	2.29287387393407	1	GO:0071726	4	0.75
27	a1	0.774187201618153	0.774854048201527	0.999139390721489	0.317727171579403	-0.744498826131903	2.29287322936821	1	GO:2000299	3	1
28	a1	0.774094245937203	0.774872775347935	0.998995280986117	0.317796977298167	-0.744628486345346	2.29281697821975	1	GO:1902731	4	0.75
29	a1	0.774011027560409	0.774889541137973	0.998866272506047	0.31785947660326	-0.744744565066788	2.2927666201876	1	GO:1905232	4	0.75
30	a1	0.773409953721859	0.775010656264512	0.997934605763529	0.318311069953439	-0.745583020191335	2.29240292763505	1	GO:0003093	4	0.75
31	a1	0.767198394610409	0.776264099587476	0.988321365136061	0.322995285100886	-0.754251283072458	2.28864807229328	1	GO:1905448	4	0.75
32	a1	0.809120623449782	0.826702154483841	0.978732931880362	0.327711955841196	-0.811185825280214	2.42942707217978	1	GO:1905793	2	1
33	a1	0.798481825911591	0.828323252198057	0.963973694801785	0.33505911430171	-0.825001915953688	2.42196556777687	1	GO:1904956	2	1
34	a1	0.798481825911591	0.828323252198057	0.963973694801785	0.33505911430171	-0.825001915953688	2.42196556777687	1	GO:2000041	2	1
35	a1	0.768007520828587	0.833009960999923	0.921966791257443	0.35654589797127	-0.864662001494378	2.40067704315155	1	GO:0061944	2	1
36	a1	0.655773474323768	0.756230936845706	0.867160337368698	0.385854164616947	-0.826411925888799	2.13795887453634	1	GO:1905166	4	1
37	a1	0.655773474323768	0.756230936845706	0.867160337368698	0.385854164616947	-0.826411925888799	2.13795887453634	1	GO:0022027	4	1
38	a1	0.655684098375787	0.75625274452861	0.867017148856089	0.385932613656399	-0.826544044109858	2.13791224086143	1	GO:0110104	5	0.8
39	a1	0.68361627920933	0.815637434751522	0.838137449414137	0.401953512333791	-0.91500371734629	2.28223627576495	1	GO:0046546	4	0.75
40	a1	0.607686090020347	0.768099518581996	0.791155410619457	0.428853307803767	-0.89776130294292	2.11313348298361	1	GO:0006627	5	0.8
41	a1	0.666133251384097	0.889509928963111	0.748876690067529	0.453931531015674	-1.07727417327438	2.40954067604258	1	GO:1990044	2	1
42	a1	0.552242854678571	0.745685354472813	0.740584284465393	0.458945539692207	-0.909273583887126	2.01375929324427	1	GO:0010886	7	0.714285714285714
43	a1	0.552242854678411	0.745685354472906	0.740584284465086	0.458945539692393	-0.909273583887467	2.01375929324429	1	GO:0019511	7	0.714285714285714
