Parameter	Estimate	SE	z	pval	CI_Leftlim	CI_Rightlim	CONVERGED	GO_term	term_size	prop_rep
1	a1	1.10677141311868	0.775297244595682	1.42754462347646	0.153422972415914	-0.412783263601999	2.62632608983935	1	GO:1905279	4	0.75
2	a1	1.15332155740653	0.81695841780141	1.41172614453296	0.158030612122231	-0.447887518351058	2.75453063316412	1	GO:1903518	2	1
3	a1	1.15332155713367	0.816958417851482	1.41172614411244	0.1580306122461	-0.447887518722059	2.7545306329894	1	GO:0043933	2	1
4	a1	1.15332155713367	0.816958417851482	1.41172614411244	0.1580306122461	-0.447887518722059	2.7545306329894	1	GO:2000054	2	1
5	a1	1.15332155713367	0.816958417851482	1.41172614411244	0.1580306122461	-0.447887518722059	2.7545306329894	1	GO:0014866	2	1
6	a1	1.15296667153554	0.817000712550235	1.41121868539943	0.158180142213432	-0.448325300406484	2.75425864347756	1	GO:1902957	2	1
7	a1	1.09637268408571	0.776929922755415	1.4111603273013	0.15819734512885	-0.426381983026393	2.61912735119781	1	GO:1905448	4	0.75
8	a1	1.01224324225612	0.756752793079927	1.3376141475955	0.181022250168872	-0.470964977380627	2.49545146189287	1	GO:0043570	4	1
9	a1	1.01142087605591	0.756903620992233	1.33626111436755	0.181463941715187	-0.47208296085682	2.49492471296864	1	GO:0007006	5	0.8
10	a1	0.961517576621954	0.840992479714006	1.14331293063279	0.252908688211615	-0.68679739488653	2.60983254813044	1	GO:1901382	2	1
11	a1	0.799042734889095	0.862510171336535	0.926415434209788	0.354230126187763	-0.891446137229985	2.48953160700817	1	GO:0044334	2	1
12	a1	0.799042734889095	0.862510171336535	0.926415434209788	0.354230126187763	-0.891446137229985	2.48953160700817	1	GO:0045976	2	1
13	a1	0.685208578909717	0.796840197767628	0.859907144279805	0.389840230009005	-0.876569510148609	2.24698666796804	1	GO:0050667	7	0.714285714285714
14	a1	0.601525534010788	0.795913213831868	0.755767743966438	0.449788459339518	-0.9584356999192	2.16148676794078	1	GO:1905146	8	0.75
15	a1	0.0137566422918979	0.989883645323361	0.0138972316159483	0.988911970367706	-1.92637965142711	1.95389293601091	1	GO:0010847	4	0.75
16	a1	0.00214107305637566	0.999911578864543	0.00214126238922743	0.998291521104572	-1.95764960924271	1.96193175535546	0	GO:0031937	1	1
17	a1	0.0021410730560359	0.999911578864571	0.00214126238888758	0.998291521104843	-1.9576496092431	1.96193175535518	0	GO:0010849	1	1
18	a1	0.0021410730560359	0.999911578864571	0.00214126238888758	0.998291521104843	-1.9576496092431	1.96193175535518	0	GO:0010939	1	1
19	a1	0.0021410730560359	0.999911578864571	0.00214126238888758	0.998291521104843	-1.9576496092431	1.96193175535518	0	GO:2000689	1	1
20	a1	0.0021410730560359	0.999911578864571	0.00214126238888758	0.998291521104843	-1.9576496092431	1.96193175535518	0	GO:2000983	1	1
21	a1	0.0021410730560359	0.999911578864571	0.00214126238888758	0.998291521104843	-1.9576496092431	1.96193175535518	0	GO:0034729	1	1
22	a1	0.0021410730560359	0.999911578864571	0.00214126238888758	0.998291521104843	-1.9576496092431	1.96193175535518	0	GO:0032423	1	1
23	a1	0.00214107303305116	0.999911578862041	0.00214126236590622	0.998291521123179	-1.95764960926113	1.96193175532723	0	GO:0060697	1	1
24	a1	0.00214107288245554	0.999911578871739	0.00214126221527651	0.998291521243364	-1.95764960943074	1.96193175519565	0	GO:1904877	1	1
25	a1	0.00214105311396588	0.999911578874139	0.00214124244503361	0.998291537017699	-1.95764962920393	1.96193173543186	0	GO:0006666	1	1
26	a1	0.00214104489016578	0.999911578879788	0.00214123422049419	0.998291543579917	-1.9576496374388	1.96193172721913	0	GO:0048698	1	1
27	a1	0.00214103884950004	0.999911578887944	0.00214122817927682	0.9982915484001	-1.95764964349545	1.96193172119445	0	GO:0010517	1	1
28	a1	0.00214103884950004	0.999911578887944	0.00214122817927682	0.9982915484001	-1.95764964349545	1.96193172119445	0	GO:0032769	1	1
29	a1	0.00214103884950004	0.999911578887944	0.00214122817927682	0.9982915484001	-1.95764964349545	1.96193172119445	0	GO:0035543	1	1
30	a1	0.00214103884950004	0.999911578887944	0.00214122817927682	0.9982915484001	-1.95764964349545	1.96193172119445	0	GO:0051585	1	1
31	a1	0.00214103884950004	0.999911578887944	0.00214122817927682	0.9982915484001	-1.95764964349545	1.96193172119445	0	GO:0051622	1	1
32	a1	0.00214103884950004	0.999911578887944	0.00214122817927682	0.9982915484001	-1.95764964349545	1.96193172119445	0	GO:1903284	1	1
33	a1	0.00214103884950004	0.999911578887944	0.00214122817927682	0.9982915484001	-1.95764964349545	1.96193172119445	0	GO:1903285	1	1
34	a1	0.00214103884950004	0.999911578887944	0.00214122817927682	0.9982915484001	-1.95764964349545	1.96193172119445	0	GO:0006638	1	1
35	a1	0.00214103884950004	0.999911578887944	0.00214122817927682	0.9982915484001	-1.95764964349545	1.96193172119445	0	GO:0050812	1	1
36	a1	0.00214103491335801	0.999911578879531	0.00214122424280473	0.998291551540944	-1.9576496474151	1.96193171724182	0	GO:0009309	1	1
37	a1	0.00214086021255495	0.999911578931806	0.00214104952644114	0.998291690944113	-1.95764982221836	1.96193154264347	0	GO:0070716	1	1
38	a1	0.00214068733160416	0.999911578989472	0.00214087663007921	0.998291828895135	-1.95764999521234	1.96193136987555	0	GO:0010813	1	1
39	a1	0.00214068733160416	0.999911578989472	0.00214087663007921	0.998291828895135	-1.95764999521234	1.96193136987555	0	GO:0060448	1	1
40	a1	0.00214060743155503	0.999911579008565	0.00214079672292373	0.998291892651674	-1.95765007514981	1.96193129001292	0	GO:1902153	1	1
41	a1	0.00214060743155503	0.999911579008565	0.00214079672292373	0.998291892651674	-1.95765007514981	1.96193129001292	0	GO:1903301	1	1
42	a1	0.00213941836920627	0.999911580762402	0.00213960755167475	0.998292841470881	-1.95765126764961	1.96193010438803	0	GO:0006713	1	1
43	a1	0.00213206630634675	0.999911819758724	0.00213225432904795	0.998298708480304	-1.95765908813666	1.96192322074935	0	GO:0051052	1	1
44	a1	0.00202616235871894	0.99991629484551	0.0020263319731498	0.998383222109983	-1.95777376309321	1.96182608781065	0	GO:0061078	1	1
45	a1	0.00202616235871894	0.99991629484551	0.0020263319731498	0.998383222109983	-1.95777376309321	1.96182608781065	0	GO:0061081	1	1
46	a1	0.00196544716955939	0.999918799075279	0.00196560677864745	0.998431673708608	-1.95783938648253	1.96177028082165	0	GO:1904708	1	1
47	a1	0.001830385468758	0.999924374304342	0.00183052390340161	0.998539454054966	-1.9579853754315	1.96164614636902	0	GO:0061324	1	1
48	a1	0.001830385468758	0.999924374304342	0.00183052390340161	0.998539454054966	-1.9579853754315	1.96164614636902	0	GO:0072497	1	1
49	a1	0.001830385468758	0.999924374304342	0.00183052390340161	0.998539454054966	-1.9579853754315	1.96164614636902	0	GO:0001840	1	1
50	a1	0.001830385468758	0.999924374304342	0.00183052390340161	0.998539454054966	-1.9579853754315	1.96164614636902	0	GO:0007403	1	1
51	a1	0.001830385468758	0.999924374304342	0.00183052390340161	0.998539454054966	-1.9579853754315	1.96164614636902	0	GO:0060479	1	1
52	a1	0.001830385468758	0.999924374304342	0.00183052390340161	0.998539454054966	-1.9579853754315	1.96164614636902	0	GO:0061550	1	1
53	a1	0.001830385468758	0.999924374304342	0.00183052390340161	0.998539454054966	-1.9579853754315	1.96164614636902	0	GO:1904796	1	1
54	a1	0.00170291203346817	0.999929604635443	0.00170303191902096	0.998641177782095	-1.95812310012738	1.96152892419431	0	GO:1901557	1	1
55	a1	-0.00123328846929206	0.999911539732897	-0.00123339757597108	0.999015891366317	-1.96102389407176	1.95855731713318	0	GO:0051096	7	0.857142857142857
56	a1	-0.00123328846929206	0.999911539732897	-0.00123339757597108	0.999015891366317	-1.96102389407176	1.95855731713318	0	GO:0048339	8	0.75
