Parameter	Estimate	SE	z	pval	CI_Leftlim	CI_Rightlim	CONVERGED	GO_term	term_size	prop_rep
1	a1	1.29374728156012	0.654969699002595	1.97527806787134	0.0482366007481412	0.0100302605499922	2.57746430257024	1	GO:0035137	10	0.7
2	a1	1.01193075568409	0.816737458916281	1.23899148329355	0.215348652103137	-0.588845248616588	2.61270675998476	1	GO:0014866	2	1
3	a1	1.01193075511849	0.816737459029949	1.23899148242861	0.215348652423457	-0.588845249404969	2.61270675964195	1	GO:0044336	2	1
4	a1	1.01193075511849	0.816737459029949	1.23899148242861	0.215348652423457	-0.588845249404969	2.61270675964195	1	GO:0045976	2	1
5	a1	1.01193075511849	0.816737459029949	1.23899148242861	0.215348652423457	-0.588845249404969	2.61270675964195	1	GO:0051884	2	1
6	a1	1.0119307539757	0.816737459179125	1.23899148080309	0.215348653025444	-0.588845250840136	2.61270675879154	1	GO:0090222	2	1
7	a1	1.01193013389745	0.816737541750371	1.23899059632885	0.215348980579352	-0.588846032755055	2.61270630054996	1	GO:0060830	2	1
8	a1	1.011925335683	0.816738180721501	1.23898375216042	0.21535151524315	-0.588852083329909	2.61270275469591	1	GO:0032472	2	1
9	a1	1.011925335683	0.816738180721501	1.23898375216042	0.21535151524315	-0.588852083329909	2.61270275469591	1	GO:0032468	2	1
10	a1	1.01166847240895	0.816772390662545	1.23861737244608	0.21548723138337	-0.589175996856319	2.61251294167421	1	GO:0036371	2	1
11	a1	1.01075686060773	0.816893844688436	1.23731726855309	0.215969319349378	-0.59032565417406	2.61183937538952	1	GO:1903518	2	1
12	a1	1.00929127995155	0.817089240299857	1.23522772075808	0.21674576516391	-0.592174203191366	2.61075676309446	1	GO:0060623	2	1
13	a1	1.00926662188021	0.81709252916128	1.23519257104969	0.216758843444935	-0.592205307312637	2.61073855107307	1	GO:0018958	2	1
14	a1	1.00469747648464	0.817702757824661	1.22868299864543	0.219190682976015	-0.597970478910774	2.60736543188005	1	GO:0031580	2	1
15	a1	0.937099373964369	0.774962175934977	1.2092194987888	0.22657852849044	-0.581798580248978	2.45599732817772	1	GO:0010847	4	0.75
16	a1	0.937099373959526	0.774962175947787	1.20921949876256	0.226578528500517	-0.581798580278928	2.45599732819798	1	GO:0043932	4	0.75
