Parameter	Estimate	SE	z	pval	CI_Leftlim	CI_Rightlim	CONVERGED	GO_term	term_size	prop_rep
1	a1	0.977753035239264	0.816722560962088	1.19716667810362	0.231241594936262	-0.622993769607748	2.57849984008628	1	GO:0072393	2	1
2	a1	0.977753035239264	0.816722560962088	1.19716667810362	0.231241594936262	-0.622993769607748	2.57849984008628	1	GO:0043933	2	1
3	a1	0.977753021028328	0.816722562823699	1.19716665797488	0.231241602780296	-0.622993787467373	2.57849982952403	1	GO:0060830	2	1
4	a1	0.977654572202234	0.816736000315645	1.1970264220316	0.231296256370005	-0.623118573293724	2.57842771769819	1	GO:0032472	2	1
5	a1	0.977654572202234	0.816736000315645	1.1970264220316	0.231296256370005	-0.623118573293724	2.57842771769819	1	GO:0032468	2	1
6	a1	0.977630793751989	0.816739245967617	1.19699255126862	0.231309458061764	-0.623148713104941	2.57841030060892	1	GO:0006545	2	1
7	a1	0.977324371427225	0.816781075413595	1.19655609176833	0.231479623282304	-0.623537119637315	2.57818586249176	1	GO:1902957	2	1
8	a1	0.977324371427225	0.816781075413595	1.19655609176833	0.231479623282304	-0.623537119637315	2.57818586249176	1	GO:0051621	2	1
9	a1	0.976387950785172	0.816908950107284	1.19522249163379	0.232000113197451	-0.624724170073532	2.57750007164388	1	GO:1903027	2	1
10	a1	0.976294171633026	0.816921759983126	1.19508895399382	0.23205227724077	-0.624843056120975	2.57743139938703	1	GO:0097359	2	1
11	a1	0.970270735099401	0.81774591140078	1.18651860140438	0.235417559977001	-0.632481799751009	2.57302326994981	1	GO:1903518	2	1
12	a1	0.969711556652045	0.817822554906246	1.18572366442402	0.235731445966317	-0.633191196708728	2.57261431001282	1	GO:0045069	2	1
13	a1	0.969711556652045	0.817822554906246	1.18572366442402	0.235731445966317	-0.633191196708728	2.57261431001282	1	GO:0061944	2	1
14	a1	0.966863348831274	0.818213287455721	1.1816764206284	0.237334117797404	-0.636805226254057	2.57053192391661	1	GO:1901382	2	1
15	a1	0.896086393256681	0.77493957562099	1.15633066299216	0.247545930747806	-0.622767265155213	2.41494005166858	1	GO:0010847	4	0.75
16	a1	0.896086393254763	0.7749395756225	1.15633066298743	0.24754593074974	-0.622767265160091	2.41494005166962	1	GO:0010988	4	0.75
17	a1	0.896086393254817	0.77493957562257	1.1563306629874	0.247545930749754	-0.622767265160173	2.41494005166981	1	GO:0006534	4	0.75
18	a1	0.896086393253951	0.774939575622819	1.15633066298591	0.247545930750362	-0.622767265161528	2.41494005166943	1	GO:0070105	4	0.75
19	a1	0.896086393253951	0.774939575622819	1.15633066298591	0.247545930750362	-0.622767265161528	2.41494005166943	1	GO:0038028	4	0.75
20	a1	0.896086393253951	0.774939575622819	1.15633066298591	0.247545930750362	-0.622767265161528	2.41494005166943	1	GO:0140467	4	0.75
21	a1	0.896084133984786	0.77493998964688	1.15632712978602	0.247547375396396	-0.622770335902941	2.41493860387251	1	GO:0070836	4	0.75
22	a1	0.895565174240297	0.775035094549254	1.15551564121253	0.247879331199867	-0.623475697830837	2.41460604631143	1	GO:1905279	4	0.75
23	a1	0.930584998853707	0.823236514400477	1.1303981086546	0.25830851072829	-0.682928920129516	2.54409891783693	1	GO:1904674	2	1
24	a1	0.908638119028066	0.826313649571347	1.09962859684023	0.271493976923029	-0.710906874065625	2.52818311212176	1	GO:0018958	2	1
25	a1	0.786270135823844	0.756362017705856	1.03954206771078	0.298552703922558	-0.69617217815368	2.26871244980137	1	GO:0018193	5	0.8
26	a1	0.785451282510949	0.75654105218206	1.03821369672605	0.299170577378783	-0.697341932591926	2.26824449761382	1	GO:0007006	5	0.8
27	a1	0.826085944383638	0.838127397328898	0.985632908572568	0.32431328316326	-0.816613568837294	2.46878545760457	1	GO:0002554	2	1
28	a1	0.625144245820537	0.742292651700463	0.842180296933347	0.399687040744777	-0.829722617501104	2.08001110914218	1	GO:0061298	8	0.75
29	a1	0.63922010361656	0.824219454566744	0.775546003039409	0.438017093165835	-0.976220342691505	2.25466054992463	1	GO:0071226	4	0.75
30	a1	0.63922010361656	0.824219454566744	0.775546003039409	0.438017093165835	-0.976220342691505	2.25466054992463	1	GO:0002366	4	0.75
31	a1	0.525716429867234	0.734717627840367	0.715535343030393	0.474278309936737	-0.914303659506589	1.96573651924106	1	GO:0042775	10	0.7
32	a1	0.507451570835756	0.792561696080182	0.640267594744344	0.52199864437714	-1.04594080900738	2.06084395067889	1	GO:0045428	7	0.714285714285714
33	a1	0.440447533620504	0.7433581913824	0.592510499953484	0.553508791717969	-1.01650774910183	1.89740281634284	1	GO:0070613	10	0.8
34	a1	0.087248273017637	0.955352488610435	0.0913257400360573	0.927233765855992	-1.78520819719953	1.9597047432348	1	GO:1905448	4	0.75
35	a1	0.0271016170285007	0.99828822970598	0.0271480883196257	0.978341619945648	-1.92950735938547	1.98371059344247	0	GO:0006392	1	1
36	a1	0.00177638853978803	0.999928858714721	0.001776514923343	0.99858254691621	-1.9580481616433	1.96160093872288	0	GO:0006581	2	1
37	a1	0.00167769404950044	0.999928873736599	0.00167781338609728	0.998661299231411	-1.95814688557593	1.96150227367493	0	GO:0031937	1	1
38	a1	0.00167769372151551	0.999928873750519	0.00167781305806566	0.998661299493142	-1.9581468859312	1.96150227337423	0	GO:0045186	1	1
39	a1	0.00167769372151552	0.999928873750519	0.00167781305806567	0.998661299493142	-1.9581468859312	1.96150227337423	0	GO:2000706	1	1
40	a1	0.00167769372151552	0.999928873750519	0.00167781305806567	0.998661299493142	-1.9581468859312	1.96150227337423	0	GO:2000798	1	1
41	a1	0.00167769372151551	0.999928873750519	0.00167781305806566	0.998661299493142	-1.9581468859312	1.96150227337423	0	GO:0000097	1	1
42	a1	0.00167769372151551	0.999928873750519	0.00167781305806566	0.998661299493142	-1.9581468859312	1.96150227337423	0	GO:0010849	1	1
43	a1	0.00167769372151551	0.999928873750519	0.00167781305806566	0.998661299493142	-1.9581468859312	1.96150227337423	0	GO:0010939	1	1
44	a1	0.00167769372151551	0.999928873750519	0.00167781305806566	0.998661299493142	-1.9581468859312	1.96150227337423	0	GO:2000689	1	1
45	a1	0.00167769372151551	0.999928873750519	0.00167781305806566	0.998661299493142	-1.9581468859312	1.96150227337423	0	GO:2000983	1	1
46	a1	0.00167769372151551	0.999928873750519	0.00167781305806566	0.998661299493142	-1.9581468859312	1.96150227337423	0	GO:0036119	1	1
47	a1	0.00167769347834301	0.999928873758334	0.00167781281486275	0.99866129968719	-1.95814688618969	1.96150227314637	0	GO:0000461	1	1
48	a1	0.00167769336509408	0.99992887376563	0.00167781270159352	0.998661299777565	-1.95814688631724	1.96150227304743	0	GO:0061586	1	1
49	a1	0.00167769336509408	0.99992887376563	0.00167781270159352	0.998661299777565	-1.95814688631724	1.96150227304743	0	GO:0099156	1	1
50	a1	0.00167769334448085	0.999928873759244	0.00167781268098954	0.998661299794005	-1.95814688632534	1.9615022730143	0	GO:0060697	1	1
51	a1	0.00167769240807695	0.999928873747804	0.00167781174453823	0.998661300541184	-1.95814688723932	1.96150227205547	0	GO:0045887	1	1
52	a1	0.00167769176137148	0.999928873733977	0.00167781109780996	0.998661301057198	-1.95814688785892	1.96150227138167	0	GO:0036292	1	1
53	a1	0.00167769140255504	0.999928873749292	0.0016778107389423	0.998661301343532	-1.95814688824775	1.96150227105286	0	GO:0032223	1	1
54	a1	0.00167769134953086	0.999928873736261	0.00167781068593622	0.998661301385825	-1.95814688827524	1.9615022709743	0	GO:0035789	1	1
55	a1	0.00167769134953086	0.999928873736261	0.00167781068593622	0.998661301385825	-1.95814688827524	1.9615022709743	0	GO:0060981	1	1
56	a1	0.00167769134953086	0.999928873736261	0.00167781068593622	0.998661301385825	-1.95814688827524	1.9615022709743	0	GO:0072262	1	1
57	a1	0.00167769134953086	0.999928873736261	0.00167781068593622	0.998661301385825	-1.95814688827524	1.9615022709743	0	GO:0072275	1	1
58	a1	0.00167768831756617	0.999928873758374	0.00167780765371875	0.998661303805181	-1.95814689135055	1.96150226798568	0	GO:0003175	1	1
59	a1	0.00167768831756617	0.999928873758374	0.00167780765371875	0.998661303805181	-1.95814689135055	1.96150226798568	0	GO:0035922	1	1
60	a1	0.00167768831756617	0.999928873758374	0.00167780765371875	0.998661303805181	-1.95814689135055	1.96150226798568	0	GO:0036306	1	1
61	a1	0.00167768831756617	0.999928873758374	0.00167780765371875	0.998661303805181	-1.95814689135055	1.96150226798568	0	GO:0048370	1	1
62	a1	0.00167768831756617	0.999928873758374	0.00167780765371875	0.998661303805181	-1.95814689135055	1.96150226798568	0	GO:0060577	1	1
63	a1	0.00167766121255761	0.999928873747804	0.00167778054679991	0.998661325433343	-1.95814691843484	1.96150224085995	0	GO:0010517	1	1
64	a1	0.00167766121255761	0.999928873747804	0.00167778054679991	0.998661325433343	-1.95814691843484	1.96150224085995	0	GO:0032769	1	1
65	a1	0.00167766121255761	0.999928873747804	0.00167778054679991	0.998661325433343	-1.95814691843484	1.96150224085995	0	GO:0035543	1	1
66	a1	0.00167766121255761	0.999928873747804	0.00167778054679991	0.998661325433343	-1.95814691843484	1.96150224085995	0	GO:0051585	1	1
67	a1	0.00167766121255761	0.999928873747804	0.00167778054679991	0.998661325433343	-1.95814691843484	1.96150224085995	0	GO:0051622	1	1
68	a1	0.00167766121255761	0.999928873747804	0.00167778054679991	0.998661325433343	-1.95814691843484	1.96150224085995	0	GO:1903284	1	1
69	a1	0.00167766121255761	0.999928873747804	0.00167778054679991	0.998661325433343	-1.95814691843484	1.96150224085995	0	GO:1903285	1	1
70	a1	0.00167766121255761	0.999928873747804	0.00167778054679991	0.998661325433343	-1.95814691843484	1.96150224085995	0	GO:0006638	1	1
71	a1	0.00167766121255761	0.999928873747804	0.00167778054679991	0.998661325433343	-1.95814691843484	1.96150224085995	0	GO:0050812	1	1
72	a1	0.00167765403314244	0.999928873759624	0.00167777336685423	0.998661331162103	-1.95814692563742	1.9615022337037	0	GO:1904414	1	1
73	a1	0.00167765403314244	0.999928873759624	0.00167777336685423	0.998661331162103	-1.95814692563742	1.9615022337037	0	GO:1905285	1	1
74	a1	0.00167765403314244	0.999928873759624	0.00167777336685423	0.998661331162103	-1.95814692563742	1.9615022337037	0	GO:0021998	1	1
75	a1	0.00167765403314244	0.999928873759624	0.00167777336685423	0.998661331162103	-1.95814692563742	1.9615022337037	0	GO:0048352	1	1
76	a1	0.00167765403314244	0.999928873759624	0.00167777336685423	0.998661331162103	-1.95814692563742	1.9615022337037	0	GO:0048378	1	1
77	a1	0.00167765403314244	0.999928873759624	0.00167777336685423	0.998661331162103	-1.95814692563742	1.9615022337037	0	GO:0060896	1	1
78	a1	0.00167761557740583	0.999928873760695	0.00167773490838042	0.998661361847482	-1.95814696409525	1.96150219525007	0	GO:0010813	1	1
79	a1	0.00167761557740583	0.999928873760695	0.00167773490838042	0.998661361847482	-1.95814696409525	1.96150219525007	0	GO:0060448	1	1
80	a1	0.00167712348129657	0.99992887390928	0.00167724277701849	0.998661754510945	-1.95814745648258	1.96150170344518	0	GO:1904877	1	1
81	a1	0.00167708141102348	0.999928873905013	0.00167720070376005	0.998661788080501	-1.9581474985445	1.96150166136654	0	GO:2001233	1	1
82	a1	0.00167707753414264	0.999928873917077	0.00167719682658321	0.998661791174036	-1.95814750244502	1.96150165751331	0	GO:1902153	1	1
83	a1	0.00167707753414264	0.999928873917077	0.00167719682658321	0.998661791174036	-1.95814750244502	1.96150165751331	0	GO:1903301	1	1
84	a1	0.00167699796024945	0.999928873930897	0.00167711724700666	0.998661854669262	-1.958147582046	1.9615015779665	0	GO:0010900	1	1
85	a1	0.00167699796024945	0.999928873930897	0.00167711724700666	0.998661854669262	-1.958147582046	1.9615015779665	0	GO:0034369	1	1
86	a1	0.00167686343207532	0.99992887405915	0.00167698270904829	0.998661962014871	-1.95814771682555	1.9615014436897	0	GO:1904708	1	1
87	a1	0.00167655077750159	0.999928874584109	0.00167667003135488	0.998662211495225	-1.95814803050902	1.96150113206402	0	GO:0015790	1	1
88	a1	0.00167627629988066	0.999928875986993	0.00167639553185827	0.998662430513827	-1.95814830773624	1.961500860336	0	GO:0050783	1	1
89	a1	0.00167611175142209	0.999928877518188	0.00167623096912871	0.998662561815704	-1.95814847528579	1.96150069878863	0	GO:0120034	1	1
90	a1	0.00166388591084825	0.999929351297547	0.00166400347053432	0.998672317934443	-1.95816162971684	1.96148940153854	0	GO:1904677	1	1
91	a1	0.00166388591084825	0.999929351297547	0.00166400347053432	0.998672317934443	-1.95816162971684	1.96148940153854	0	GO:2000103	1	1
92	a1	0.00164665186591583	0.999930108980296	0.00164676696013789	0.998686070661127	-1.95818034879268	1.96147365252451	0	GO:1900046	1	1
93	a1	0.0016311134974395	0.999930798079698	0.00163122638143754	0.998698470232283	-1.95819723777116	1.96145946476604	0	GO:0009309	1	1
94	a1	0.00156259602242386	0.999933742936857	0.00156269956230743	0.998753146653537	-1.95827152706015	1.961396719105	0	GO:0035581	1	1
95	a1	0.0015546676678499	0.999934078826443	0.00155477016012347	0.99875947339343	-1.95828011374621	1.96138944908191	0	GO:0001820	1	1
96	a1	0.0015546676678499	0.999934078826443	0.00155477016012347	0.99875947339343	-1.95828011374621	1.96138944908191	0	GO:0002696	1	1
97	a1	0.0015546676678499	0.999934078826443	0.00155477016012347	0.99875947339343	-1.95828011374621	1.96138944908191	0	GO:0032752	1	1
98	a1	0.0015546676678499	0.999934078826443	0.00155477016012347	0.99875947339343	-1.95828011374621	1.96138944908191	0	GO:0032928	1	1
99	a1	0.0015546676678499	0.999934078826443	0.00155477016012347	0.99875947339343	-1.95828011374621	1.96138944908191	0	GO:0090237	1	1
100	a1	0.00149114259946575	0.999936770757483	0.00149123688924467	0.998810165550562	-1.95834891490248	1.96133120010142	0	GO:1901622	1	1
101	a1	0.00147827198582738	0.999937316242092	0.00147836465527953	0.998820436095984	-1.95836285464631	1.96131939861797	0	GO:0070861	1	1
102	a1	0.00147486859731122	0.999937460485753	0.00147496084064572	0.998823151944167	-1.95836654074721	1.96131627794183	0	GO:0010948	1	1
103	a1	0.00147486859731122	0.999937460485753	0.00147496084064572	0.998823151944167	-1.95836654074721	1.96131627794183	0	GO:0030264	1	1
104	a1	0.00144841628148003	0.999938581554697	0.00144850524642027	0.998844260431795	-1.95839519031779	1.96129202288075	0	GO:0061078	1	1
105	a1	0.00144841628148003	0.999938581554697	0.00144850524642027	0.998844260431795	-1.95839519031779	1.96129202288075	0	GO:0061081	1	1
