Parameter	Estimate	SE	z	pval	CI_Leftlim	CI_Rightlim	CONVERGED	GO_term	term_size	prop_rep
1	a1	0.991190697906909	0.816757796932283	1.21356747573123	0.224912933200026	-0.609625168172646	2.59200656398646	1	GO:0072393	2	1
2	a1	0.991189431594215	0.816757967793118	1.2135656714466	0.224913622554902	-0.609626769366423	2.59200563255485	1	GO:0097359	2	1
3	a1	0.991189101621201	0.816758012351178	1.21356520123738	0.22491380220586	-0.609627186671628	2.59200538991403	1	GO:1904956	2	1
4	a1	0.991189101621201	0.816758012351178	1.21356520123738	0.22491380220586	-0.609627186671628	2.59200538991403	1	GO:2000041	2	1
5	a1	0.990872854330204	0.816800694936617	1.21311460736097	0.225086005931571	-0.610027090292853	2.59177279895326	1	GO:1902957	2	1
6	a1	0.990872854330204	0.816800694936617	1.21311460736097	0.225086005931571	-0.610027090292853	2.59177279895326	1	GO:0051621	2	1
7	a1	0.983935717999578	0.817738972346297	1.20323936032598	0.228883707486459	-0.618803216553958	2.58667465255311	1	GO:0061944	2	1
8	a1	0.974739353339881	0.818988382830215	1.19017482271413	0.233977686699527	-0.630448380764043	2.57992708744381	1	GO:0071878	2	1
9	a1	0.912216897504881	0.774993024901485	1.17706465502814	0.239169701157258	-0.606741519571784	2.43117531458154	1	GO:0051142	4	0.75
10	a1	0.960027499279634	0.820999184441817	1.16934038117509	0.242266519760828	-0.649101333563085	2.56915633212235	1	GO:1904674	2	1
11	a1	0.917131930440398	0.791274816207017	1.15905613530919	0.24643330418835	-0.633738211198905	2.4680020720797	1	GO:0038028	4	0.75
12	a1	0.949536713665556	0.822441463994626	1.15453409784767	0.248281267504999	-0.662418935156306	2.56149236248742	1	GO:0006581	2	1
13	a1	0.934068559871544	0.809999813997625	1.15317132637549	0.248840070163395	-0.653501903047944	2.52163902279103	1	GO:1990048	3	1
14	a1	0.934068559871544	0.809999813997625	1.15317132637549	0.248840070163395	-0.653501903047944	2.52163902279103	1	GO:1990049	4	0.75
15	a1	0.803703409342617	0.756395107328513	1.06254443154873	0.287988598381963	-0.678803759103578	2.28621057778881	1	GO:0051984	5	0.8
16	a1	0.802992903627875	0.756548158026286	1.06139033597379	0.288512546965543	-0.679814238673763	2.28580004592951	1	GO:0007006	5	0.8
17	a1	0.822978309622086	0.791399554228386	1.03990241746407	0.298385239224087	-0.728136314046604	2.37409293329077	1	GO:1903659	4	0.75
18	a1	0.683397241728583	0.751356673361894	0.909551037419776	0.363059330277079	-0.789234777604555	2.15602926106172	1	GO:0010032	7	0.714285714285714
19	a1	0.68624537496352	0.782259204530561	0.877260850353741	0.38034497144057	-0.84695449249133	2.21944524241837	1	GO:0031664	4	1
20	a1	0.628340023486232	0.869558946255735	0.722596238232984	0.469927980037256	-1.07596419360961	2.33264424058207	1	GO:0046370	2	1
21	a1	0.478810806330875	0.731244293952182	0.654789118070281	0.512603537817363	-0.954401673715823	1.91202328637757	1	GO:0042775	10	0.8
22	a1	0.476031730709322	0.732145159865626	0.650187636010174	0.515571026513345	-0.958946414082624	1.91100987550127	1	GO:0070613	10	0.8
23	a1	0.462059070430906	0.783972105105695	0.589382029566742	0.555605028710067	-1.07449802046031	1.99861616132212	1	GO:1905146	8	0.75
24	a1	0.106962048047156	0.92635557723753	0.115465433226111	0.908076217475426	-1.70866152021621	1.92258561631053	1	GO:0072307	6	0.833333333333333
25	a1	0.0199284145903204	0.9626892463223	0.0207007761501976	0.983484349875148	-1.8669078365054	1.90676466568604	1	GO:0001919	5	1
26	a1	0.0018665940010347	0.999920379034442	0.00186674263288558	0.998510555739279	-1.95794133631411	1.96167452431618	0	GO:0045186	1	1
27	a1	0.0018665940010347	0.999920379034442	0.00186674263288558	0.998510555739279	-1.95794133631411	1.96167452431618	0	GO:0006392	1	1
28	a1	0.0018665940010347	0.999920379034442	0.00186674263288558	0.998510555739279	-1.95794133631411	1.96167452431618	0	GO:0015850	1	1
29	a1	0.0018665940010347	0.999920379034442	0.00186674263288558	0.998510555739279	-1.95794133631411	1.96167452431618	0	GO:0051608	1	1
30	a1	0.0018665940010347	0.999920379034442	0.00186674263288558	0.998510555739279	-1.95794133631411	1.96167452431618	0	GO:2000706	1	1
31	a1	0.0018665940010347	0.999920379034442	0.00186674263288558	0.998510555739279	-1.95794133631411	1.96167452431618	0	GO:2000798	1	1
32	a1	0.0018665940010347	0.999920379034442	0.00186674263288558	0.998510555739279	-1.95794133631411	1.96167452431618	0	GO:2000689	1	1
33	a1	0.0018665940010347	0.999920379034442	0.00186674263288558	0.998510555739279	-1.95794133631411	1.96167452431618	0	GO:2000983	1	1
34	a1	0.0018665940010347	0.999920379034442	0.00186674263288558	0.998510555739279	-1.95794133631411	1.96167452431618	0	GO:0036119	1	1
35	a1	0.0018665940010347	0.999920379034442	0.00186674263288558	0.998510555739279	-1.95794133631411	1.96167452431618	0	GO:0034729	1	1
36	a1	0.00186659397500221	0.999920379035409	0.00186674260684921	0.998510555760054	-1.95794133634204	1.96167452429204	0	GO:0031937	1	1
37	a1	0.00186659397208103	0.999920379035677	0.0018667426039273	0.998510555762385	-1.95794133634549	1.96167452428965	0	GO:1901346	1	1
38	a1	0.00186659364243713	0.999920379049739	0.0018667422742309	0.998510556025444	-1.95794133670269	1.96167452398756	0	GO:1905090	1	1
39	a1	0.00186659352927794	0.999920379048766	0.00186674216106451	0.998510556115738	-1.95794133681394	1.9616745238725	0	GO:0044345	1	1
40	a1	0.00186659352927794	0.999920379048766	0.00186674216106451	0.998510556115738	-1.95794133681394	1.9616745238725	0	GO:0090246	1	1
41	a1	0.00186659352927794	0.999920379048766	0.00186674216106451	0.998510556115738	-1.95794133681394	1.9616745238725	0	GO:2000080	1	1
42	a1	0.0018665934291969	0.999920379056224	0.00186674206096158	0.998510556195608	-1.95794133692864	1.96167452378704	0	GO:0061586	1	1
43	a1	0.0018665934291969	0.999920379056224	0.00186674206096158	0.998510556195608	-1.95794133692864	1.96167452378704	0	GO:0099156	1	1
44	a1	0.00186659338175959	0.999920379059075	0.00186674201351517	0.998510556233465	-1.95794133698167	1.96167452374519	0	GO:0060697	1	1
45	a1	0.00186659331279974	0.9999203790638	0.00186674194454101	0.998510556288498	-1.95794133705989	1.96167452368549	0	GO:0000097	1	1
46	a1	0.00186659328384069	0.999920379065036	0.00186674191557734	0.998510556311608	-1.95794133709127	1.96167452365895	0	GO:0021503	1	1
47	a1	0.00186659187606381	0.999920379035438	0.00186674050774363	0.998510557434894	-1.95794133844103	1.96167452219316	0	GO:0045887	1	1
48	a1	0.00186659088056482	0.999920379036838	0.00186673951216275	0.998510558229252	-1.95794133943928	1.96167452120041	0	GO:0003175	1	1
49	a1	0.00186659088056482	0.999920379036838	0.00186673951216275	0.998510558229252	-1.95794133943928	1.96167452120041	0	GO:0035922	1	1
50	a1	0.00186659088056482	0.999920379036838	0.00186673951216275	0.998510558229252	-1.95794133943928	1.96167452120041	0	GO:0036306	1	1
51	a1	0.00186659088056482	0.999920379036838	0.00186673951216275	0.998510558229252	-1.95794133943928	1.96167452120041	0	GO:0048370	1	1
52	a1	0.00186659088056482	0.999920379036838	0.00186673951216275	0.998510558229252	-1.95794133943928	1.96167452120041	0	GO:0060577	1	1
53	a1	0.00186656658014312	0.999920379049535	0.00186671520978237	0.998510577619712	-1.95794136376459	1.96167449692487	0	GO:0010517	1	1
54	a1	0.00186656658014312	0.999920379049535	0.00186671520978237	0.998510577619712	-1.95794136376459	1.96167449692487	0	GO:0032769	1	1
55	a1	0.00186656658014312	0.999920379049535	0.00186671520978237	0.998510577619712	-1.95794136376459	1.96167449692487	0	GO:0035543	1	1
56	a1	0.00186656658014312	0.999920379049535	0.00186671520978237	0.998510577619712	-1.95794136376459	1.96167449692487	0	GO:0051585	1	1
57	a1	0.00186656658014312	0.999920379049535	0.00186671520978237	0.998510577619712	-1.95794136376459	1.96167449692487	0	GO:0051622	1	1
