Parameter	Estimate	SE	z	pval	CI_Leftlim	CI_Rightlim	CONVERGED	GO_term	term_size	prop_rep
1	a1	1.36499804065032	0.6680034464297	2.04339969792951	0.0410128873578226	0.0557353440994759	2.67426073720116	1	GO:1905146	8	0.75
2	a1	1.26335043571012	0.633778187523236	1.99336370449606	0.0462216352795536	0.0211680139775023	2.50553285744273	1	GO:0070613	10	0.8
3	a1	1.06745796698439	0.81679305771785	1.30688912803312	0.191250369005025	-0.533427008964943	2.66834294293372	1	GO:0072393	2	1
4	a1	1.06745796698439	0.81679305771785	1.30688912803312	0.191250369005026	-0.533427008964944	2.66834294293372	1	GO:0043933	2	1
5	a1	1.06745796698439	0.81679305771785	1.30688912803312	0.191250369005026	-0.533427008964944	2.66834294293372	1	GO:0014866	2	1
6	a1	1.06745758879822	0.816793106013155	1.30688858774602	0.191250552526202	-0.533427481808171	2.66834265940461	1	GO:0090230	2	1
7	a1	1.06745666193101	0.816793224489838	1.30688726341692	0.191251002366171	-0.533428640885414	2.66834196474743	1	GO:0071878	2	1
8	a1	1.06394334667565	0.817242723504972	1.30186946432834	0.192961012563965	-0.537822958021518	2.66570965137282	1	GO:0006545	2	1
9	a1	1.00373402784462	0.775046506802324	1.29506296594486	0.195298509137113	-0.515329211831511	2.52279726752076	1	GO:1902731	4	0.75
10	a1	1.00373402779626	0.775046506814552	1.29506296586203	0.195298509165686	-0.515329211903842	2.52279726749636	1	GO:0051142	4	0.75
11	a1	1.00373402578495	0.775046507078604	1.29506296282573	0.195298510213025	-0.51532921443268	2.52279726600258	1	GO:0001865	3	1
12	a1	1.00373389955413	0.775046528483062	1.29506276419128	0.195298578729959	-0.515329382615467	2.52279718172373	1	GO:0051823	4	0.75
13	a1	1.00121595462102	0.775472976975775	1.29110360302381	0.196667754872116	-0.518683151235555	2.5211150604776	1	GO:0043084	4	0.75
14	a1	1.02798120913167	0.821896658723635	1.25074265507792	0.211028382700251	-0.582906640980458	2.63886905924381	1	GO:1903518	2	1
