Parameter	Estimate	SE	z	pval	CI_Leftlim	CI_Rightlim	CONVERGED	GO_term	term_size	prop_rep
1	a1	1.49534515318998	0.677444781500567	2.20733142246329	0.0272909135660044	0.16757777993426	2.8231125264457	1	GO:0043067	7	0.714285714285714
2	a1	1.15714777603671	0.675821581035142	1.71220897424484	0.0868581642046579	-0.167438182767092	2.4817337348405	1	GO:0046620	9	0.777777777777778
3	a1	1.07001943514147	0.703053529713199	1.52196012098534	0.128019073316524	-0.307940162300161	2.4479790325831	1	GO:0070613	10	0.7
4	a1	1.07783483910711	0.816391788958081	1.3202421358043	0.186754188036086	-0.522263664524951	2.67793334273918	1	GO:0070105	4	0.75
5	a1	1.05900583077686	0.816668456187551	1.29673899212493	0.194721008263802	-0.541634930660663	2.65964659221439	1	GO:0044334	2	1
6	a1	1.05900583077686	0.816668456187551	1.29673899212493	0.194721008263802	-0.541634930660663	2.65964659221439	1	GO:0044336	2	1
7	a1	1.05900583077686	0.816668456187551	1.29673899212493	0.194721008263802	-0.541634930660663	2.65964659221439	1	GO:0045976	2	1
8	a1	1.05900583077686	0.816668456187551	1.29673899212493	0.194721008263802	-0.541634930660663	2.65964659221439	1	GO:0044093	2	1
9	a1	1.05900583077686	0.816668456187551	1.29673899212493	0.194721008263802	-0.541634930660663	2.65964659221439	1	GO:0051884	2	1
10	a1	1.05900583077702	0.816668456188294	1.29673899212394	0.194721008264141	-0.541634930661962	2.659646592216	1	GO:1903305	2	1
11	a1	1.05900583077627	0.81666845618844	1.29673899212278	0.194721008264539	-0.541634930663003	2.65964659221553	1	GO:0014866	2	1
12	a1	1.05900582366737	0.816668457076998	1.29673898200714	0.194721011746255	-0.54163493951344	2.65964658684818	1	GO:0031649	2	1
13	a1	1.05900521767398	0.81666853560145	1.29673811529185	0.194721310062384	-0.541635699411931	2.65964613475989	1	GO:1903518	2	1
14	a1	1.05860735153215	0.816720076227489	1.29616913107115	0.194917222019537	-0.542134583324536	2.65934928638884	1	GO:1904666	2	1
15	a1	1.05750262681386	0.81686324288231	1.29458956077207	0.195461855480301	-0.54351990953006	2.65852516315779	1	GO:0044727	2	1
16	a1	1.05572881372206	0.817093294815504	1.2920541882068	0.196338379375266	-0.545744616125494	2.65720224356962	1	GO:0106030	2	1
17	a1	0.993573912263689	0.774857495983446	1.282266632786	0.199749128771407	-0.525118873014756	2.51226669754213	1	GO:0051142	4	0.75
18	a1	0.993573912263564	0.774857495983561	1.28226663278565	0.199749128771529	-0.525118873015104	2.51226669754223	1	GO:0031048	3	1
19	a1	0.993573912263564	0.774857495983561	1.28226663278565	0.199749128771529	-0.525118873015104	2.51226669754223	1	GO:0007228	3	1
20	a1	0.993573899367327	0.774857498176926	1.28226661251262	0.199749135880779	-0.525118890210258	2.51226668894491	1	GO:0002025	4	0.75
21	a1	0.993568156855722	0.774858482841565	1.28225757200477	0.199752306179957	-0.525126562629093	2.51226287634054	1	GO:0048563	4	0.75
22	a1	0.993431961485858	0.774881837547688	1.28204316238696	0.199827505497365	-0.525308532381828	2.51217245535354	1	GO:0061092	4	0.75
23	a1	0.993115599864264	0.774936091042036	1.28154516397455	0.200002246938947	-0.525731228898378	2.51196242862691	1	GO:0015842	4	0.75
24	a1	1.03830965195479	0.819362992653925	1.26721570447269	0.205078171886149	-0.567612303911856	2.64423160782144	1	GO:0090649	2	1
25	a1	0.980580922700627	0.777090355866776	1.26186216994918	0.206998386585268	-0.542488187531667	2.50365003293292	1	GO:0140447	3	1
26	a1	1.03082391969973	0.820343762971549	1.25657555555217	0.20890737084152	-0.577020310666565	2.63866815006603	1	GO:0072393	2	1
27	a1	0.992793865475497	0.797347912550303	1.24512004088662	0.213087628442477	-0.56997932627129	2.55556705722228	1	GO:0071034	4	0.75
28	a1	1.00137437582259	0.808288237377231	1.23888277660936	0.215388912944812	-0.582841458564149	2.58559021020932	1	GO:0016553	4	0.75
29	a1	0.965551506943401	0.779684923026925	1.23838678731262	0.215572677424979	-0.562602861478257	2.49370587536506	1	GO:0031664	4	0.75
30	a1	0.965551506943401	0.779684923026925	1.23838678731262	0.215572677424979	-0.562602861478257	2.49370587536506	1	GO:1903659	4	0.75
31	a1	0.94337070874248	0.783535920867824	1.20399165324498	0.228592804659942	-0.592331476751881	2.47907289423684	1	GO:0009994	4	0.75
32	a1	0.890840761833638	0.756235724394372	1.17799349210468	0.238799200710691	-0.59135402180189	2.37303554546917	1	GO:0090175	5	0.8
33	a1	0.890453884284095	0.756314034410049	1.17735999038902	0.23905185196804	-0.591894384161788	2.37280215272998	1	GO:0021884	5	0.8
34	a1	0.865325547524188	0.761420997848762	1.13646136627304	0.255763525578428	-0.627032185331936	2.35768328038031	1	GO:0045636	5	0.8
35	a1	0.796037813389545	0.745690573970204	1.0675176020414	0.28573816949341	-0.665488855203055	2.25756448198215	1	GO:0019511	7	0.714285714285714
36	a1	0.796037648902802	0.745690611632661	1.06751732754139	0.285738293379581	-0.665489093506859	2.25756439131246	1	GO:0051649	7	0.714285714285714
37	a1	0.795983381112298	0.745703017456811	1.06742679388232	0.285779154624308	-0.665567676265895	2.25753443849049	1	GO:0006266	7	0.714285714285714
38	a1	0.791863656827217	0.746645489456125	1.06056176325934	0.288889107253362	-0.671534611726068	2.2552619253805	1	GO:0003176	6	0.833333333333333
39	a1	0.746588126925824	0.818787721541101	0.91182135159601	0.361862768613325	-0.858206318278345	2.35138257212999	1	GO:0002753	4	0.75
40	a1	0.574792444148625	0.730676985276521	0.786657381758231	0.431482458718652	-0.857308131325658	2.00689301962291	1	GO:0002260	11	0.727272727272727
41	a1	0.384142650383213	0.827854379848102	0.464022006447194	0.642631979075091	-1.23842211856281	2.00670741932923	1	GO:0050667	7	0.857142857142857
42	a1	0.0271778751270825	0.998347122810621	0.0272228711899017	0.978281973892846	-1.92954652965092	1.98390227990509	0	GO:0010849	1	1
43	a1	0.0271778751270825	0.998347122810621	0.0272228711899017	0.978281973892846	-1.92954652965092	1.98390227990509	0	GO:0010939	1	1
44	a1	0.00219034064742475	0.999903070134617	0.00219055297742997	0.998252192997503	-1.95758366484745	1.9619643461423	0	GO:0051794	1	1
45	a1	0.00219034064742475	0.999903070134617	0.00219055297742997	0.998252192997503	-1.95758366484745	1.9619643461423	0	GO:1902256	1	1
46	a1	0.00219034064742475	0.999903070134617	0.00219055297742997	0.998252192997503	-1.95758366484745	1.9619643461423	0	GO:1903701	1	1
47	a1	0.00189557458862828	0.999917371538362	0.0018957312299835	0.998487426226145	-1.95790646114252	1.96169761031977	0	GO:1901622	1	1
48	a1	0.00118752622379915	0.999956395579592	0.00118757800744986	0.999052450065835	-1.95869099522269	1.96106604767029	0	GO:0071279	4	0.75
49	a1	0.0010938229895531	0.999956334733862	0.00109387075371069	0.999127217588156	-1.95878457920149	1.9609722251806	0	GO:1904877	1	1
50	a1	0.00109382293706479	0.999956334737038	0.0010938707012166	0.99912721763004	-1.95878457926021	1.96097222513434	0	GO:0015850	1	1
51	a1	0.00109382293706479	0.999956334737038	0.0010938707012166	0.99912721763004	-1.95878457926021	1.96097222513434	0	GO:0051608	1	1
52	a1	0.00109382293663729	0.999956334737055	0.00109387070078906	0.999127217630381	-1.95878457926067	1.96097222513394	0	GO:0061324	1	1
53	a1	0.00109382293663729	0.999956334737055	0.00109387070078906	0.999127217630381	-1.95878457926067	1.96097222513394	0	GO:0072497	1	1
54	a1	0.00109382293663729	0.999956334737055	0.00109387070078906	0.999127217630381	-1.95878457926067	1.96097222513394	0	GO:0001840	1	1
55	a1	0.00109382293663729	0.999956334737055	0.00109387070078906	0.999127217630381	-1.95878457926067	1.96097222513394	0	GO:0007403	1	1
56	a1	0.00109382293663729	0.999956334737055	0.00109387070078906	0.999127217630381	-1.95878457926067	1.96097222513394	0	GO:0060479	1	1
57	a1	0.00109382293663729	0.999956334737055	0.00109387070078906	0.999127217630381	-1.95878457926067	1.96097222513394	0	GO:0061550	1	1
58	a1	0.00109382293663729	0.999956334737055	0.00109387070078906	0.999127217630381	-1.95878457926067	1.96097222513394	0	GO:1904796	1	1
59	a1	0.00109382276000932	0.999956334740852	0.00109387052414923	0.999127217771319	-1.95878457944474	1.96097222496476	0	GO:0032056	1	1
60	a1	0.0010938225415491	0.999956334746923	0.00109387030567283	0.999127217945638	-1.9587845796751	1.9609722247582	0	GO:0034263	1	1
61	a1	0.00109382231996837	0.999956334761673	0.00109387008406629	0.999127218122454	-1.95878457992559	1.96097222456553	0	GO:0055006	1	1
62	a1	0.00109382231996837	0.999956334761673	0.00109387008406629	0.999127218122454	-1.95878457992559	1.96097222456553	0	GO:1904690	1	1
63	a1	0.00109382229243719	0.999956334762772	0.0010938700565327	0.999127218144423	-1.95878457995527	1.96097222454015	0	GO:1901346	1	1
64	a1	0.00109382229243433	0.999956334762773	0.00109387005652985	0.999127218144425	-1.95878457995528	1.96097222454015	0	GO:0045186	1	1
65	a1	0.00109382229243433	0.999956334762773	0.00109387005652985	0.999127218144425	-1.95878457995528	1.96097222454015	0	GO:0071344	1	1
66	a1	0.00109382229243433	0.999956334762773	0.00109387005652985	0.999127218144425	-1.95878457995528	1.96097222454015	0	GO:0072237	1	1
67	a1	0.00109382229243433	0.999956334762773	0.00109387005652985	0.999127218144425	-1.95878457995528	1.96097222454015	0	GO:0072287	1	1
68	a1	0.00109382229243433	0.999956334762773	0.00109387005652985	0.999127218144425	-1.95878457995528	1.96097222454015	0	GO:2000689	1	1
69	a1	0.00109382229243433	0.999956334762773	0.00109387005652985	0.999127218144425	-1.95878457995528	1.96097222454015	0	GO:2000983	1	1
70	a1	0.00109382229243433	0.999956334762773	0.00109387005652985	0.999127218144425	-1.95878457995528	1.96097222454015	0	GO:0035822	1	1
71	a1	0.00109382229243433	0.999956334762773	0.00109387005652985	0.999127218144425	-1.95878457995528	1.96097222454015	0	GO:0060382	1	1
72	a1	0.00109382229243433	0.999956334762773	0.00109387005652985	0.999127218144425	-1.95878457995528	1.96097222454015	0	GO:1990968	1	1
73	a1	0.00109382229243433	0.999956334762773	0.00109387005652985	0.999127218144425	-1.95878457995528	1.96097222454015	0	GO:1990969	1	1
74	a1	0.00109382226490258	0.999956334763872	0.00109387002899569	0.999127218166394	-1.95878457998496	1.96097222451477	0	GO:0021503	1	1
75	a1	0.0010938216524771	0.999956334766379	0.00109386941654072	0.999127218655062	-1.9587845806023	1.96097222390726	0	GO:0060829	1	1
76	a1	0.0010938216524771	0.999956334766379	0.00109386941654072	0.999127218655062	-1.9587845806023	1.96097222390726	0	GO:0060930	1	1
77	a1	0.00109382141482361	0.999956334745017	0.00109386917890022	0.999127218844672	-1.95878458079809	1.96097222362773	0	GO:0048698	1	1
78	a1	0.00109382022864984	0.999956334754106	0.00109386799266471	0.99912721979115	-1.95878458200207	1.96097222245937	0	GO:0097699	1	1
79	a1	0.00109381883052221	0.99995633475537	0.00109386659447465	0.999127220906744	-1.95878458340268	1.96097222106373	0	GO:1901557	1	1
80	a1	0.001093817414222	0.999956334756969	0.00109386517811084	0.999127222036838	-1.95878458482212	1.96097221965056	0	GO:0036292	1	1
81	a1	0.00109381516250128	0.999956334760281	0.00109386292628818	0.999127223833531	-1.95878458708033	1.96097221740533	0	GO:0035752	1	1
82	a1	0.00109381516250128	0.999956334760281	0.00109386292628818	0.999127223833531	-1.95878458708033	1.96097221740533	0	GO:0090384	1	1
83	a1	0.00109381516250128	0.999956334760281	0.00109386292628818	0.999127223833531	-1.95878458708033	1.96097221740533	0	GO:0106049	1	1
84	a1	0.00109381516250128	0.999956334760281	0.00109386292628818	0.999127223833531	-1.95878458708033	1.96097221740533	0	GO:1900079	1	1
85	a1	0.00109381026758181	0.999956334748614	0.00109385803116773	0.99912722773927	-1.95878459195238	1.96097221248754	0	GO:0106134	1	1
86	a1	0.00109380540204336	0.999956334734514	0.00109385316543223	0.999127231621563	-1.95878459679028	1.96097220759437	0	GO:0046838	1	1
87	a1	0.00109379741083697	0.999956334756444	0.0010938451738529	0.999127237997917	-1.95878460482447	1.96097219964614	0	GO:0010611	1	1
88	a1	0.00109378904803853	0.999956334758441	0.00109383681068709	0.999127244670754	-1.95878461319118	1.96097219128726	0	GO:0071036	1	1
89	a1	0.00109378904803853	0.999956334758441	0.00109383681068709	0.999127244670754	-1.95878461319118	1.96097219128726	0	GO:0071037	1	1
90	a1	0.00109378904803853	0.999956334758441	0.00109383681068709	0.999127244670754	-1.95878461319118	1.96097219128726	0	GO:0071039	1	1
91	a1	0.00109378904803853	0.999956334758441	0.00109383681068709	0.999127244670754	-1.95878461319118	1.96097219128726	0	GO:0071040	1	1
92	a1	0.00109378580642282	0.999956334759322	0.00109383356892887	0.999127247257301	-1.95878461643453	1.96097218804737	0	GO:0048297	1	1
93	a1	0.00109375511926596	0.999956334776977	0.00109380288041267	0.99912727174318	-1.95878464715628	1.96097215739482	0	GO:0003175	1	1
