Parameter	Estimate	SE	z	pval	CI_Leftlim	CI_Rightlim	CONVERGED	GO_term	term_size	prop_rep
1	a1	1.31412605553729	0.674705339656451	1.9477036541706	0.0514504326244462	-0.00827211036622022	2.6365242214408	1	GO:2000270	7	0.714285714285714
2	a1	1.40316270675094	0.774833003478845	1.81092274135332	0.0701528117788535	-0.115482074100596	2.92180748760247	1	GO:0035583	4	0.75
3	a1	1.116828390497	0.642305434065188	1.738780852948	0.0820733177643106	-0.142067127345134	2.37572390833913	1	GO:0044598	10	0.7
4	a1	1.18690889245286	0.696642373082212	1.7037563867979	0.088426608976875	-0.178485068892789	2.55230285379851	1	GO:0015872	7	0.714285714285714
5	a1	1.17371692557308	0.698940247821763	1.67928078148447	0.0930973347085743	-0.196180787503078	2.54361463864923	1	GO:0050667	7	0.714285714285714
6	a1	1.02926680168832	0.633232652924086	1.62541649887362	0.104073842721047	-0.211846391877636	2.27037999525429	1	GO:0002260	11	0.727272727272727
7	a1	0.950938631762016	0.626220523623277	1.51853635562747	0.128879241679485	-0.276431040919422	2.17830830444345	1	GO:0035136	10	0.9
8	a1	0.937890365305299	0.816651965962546	1.14845785523807	0.25077960165526	-0.662718075885122	2.53849880649572	1	GO:0014041	2	1
9	a1	0.937890365303038	0.81665196596352	1.14845785523393	0.250779601656967	-0.662718075889291	2.53849880649537	1	GO:0043933	2	1
10	a1	0.937890365303038	0.81665196596352	1.14845785523393	0.250779601656967	-0.662718075889291	2.53849880649537	1	GO:0097355	2	1
11	a1	0.937890365303038	0.81665196596352	1.14845785523393	0.250779601656967	-0.662718075889291	2.53849880649537	1	GO:0046619	2	1
12	a1	0.937890365303038	0.81665196596352	1.14845785523393	0.250779601656967	-0.662718075889291	2.53849880649537	1	GO:0014866	2	1
13	a1	0.937890363119773	0.816651966403623	1.14845785194158	0.250779603015402	-0.662718078935142	2.53849880517469	1	GO:0090222	2	1
14	a1	0.937887106608772	0.816652425257429	1.1484532190217	0.250781514577771	-0.662722234783076	2.53849644800062	1	GO:0006720	2	1
