Parameter	Estimate	SE	z	pval	CI_Leftlim	CI_Rightlim	CONVERGED	GO_term	term_size	prop_rep
1	a1	1.2286298097674	0.775507092123227	1.58429216476098	0.113127248005874	-0.291336160549509	2.74859578008431	1	GO:1905448	4	0.75
2	a1	1.25489714365865	0.817096715304494	1.53580001015059	0.124587437246114	-0.346582990224131	2.85637727754144	1	GO:0090222	2	1
3	a1	1.06661561816133	0.758897969837838	1.40547960404908	0.159878710130502	-0.420797070661392	2.55402830698406	1	GO:0015872	7	0.714285714285714
4	a1	0.0555053273692154	0.996541652301363	0.0556979502472718	0.955582432435298	-1.89768042023549	2.00869107497392	0	GO:0097699	1	1
5	a1	0.00598443938275302	0.999723060154679	0.00598609717157779	0.995223814011814	-1.95343675303459	1.96540563180009	0	GO:1904877	1	1
6	a1	0.00348267218905984	0.999847924592094	0.00348320189840936	0.99722081260294	-1.95618325002856	1.96314859440668	0	GO:0034729	1	1
7	a1	0.00214671386919352	0.999913715134945	0.00214689911409387	0.998287023659165	-1.95764815544294	1.96194158318133	0	GO:0045186	1	1
8	a1	0.00214671386919352	0.999913715134945	0.00214689911409387	0.998287023659165	-1.95764815544294	1.96194158318133	0	GO:2000689	1	1
9	a1	0.00214671386919352	0.999913715134945	0.00214689911409387	0.998287023659165	-1.95764815544294	1.96194158318133	0	GO:2000983	1	1
10	a1	0.00214660854355628	0.999913715156741	0.00214679377932104	0.99828710770396	-1.9576482608113	1.96194147789841	0	GO:1904414	1	1
11	a1	0.00214660854355628	0.999913715156741	0.00214679377932104	0.99828710770396	-1.9576482608113	1.96194147789841	0	GO:1905285	1	1
12	a1	0.00214660854355628	0.999913715156741	0.00214679377932104	0.99828710770396	-1.9576482608113	1.96194147789841	0	GO:0021998	1	1
13	a1	0.00214660854355628	0.999913715156741	0.00214679377932104	0.99828710770396	-1.9576482608113	1.96194147789841	0	GO:0048352	1	1
14	a1	0.00214660854355628	0.999913715156741	0.00214679377932104	0.99828710770396	-1.9576482608113	1.96194147789841	0	GO:0048378	1	1
15	a1	0.00214660854355628	0.999913715156741	0.00214679377932104	0.99828710770396	-1.9576482608113	1.96194147789841	0	GO:0060896	1	1
16	a1	0.00214612072340346	0.999913715276846	0.0021463059168153	0.998287496961024	-1.95764874886685	1.96194099031366	0	GO:1902153	1	1
17	a1	0.00214612072340346	0.999913715276846	0.0021463059168153	0.998287496961024	-1.95764874886685	1.96194099031366	0	GO:1903301	1	1
18	a1	0.00214604061949452	0.999913715303591	0.00214622580593661	0.99828756088011	-1.95764882902318	1.96194091026217	0	GO:0009309	1	1
19	a1	0.00214383589072008	0.999913736912304	0.00214402084057787	0.99828932018388	-1.95765107610425	1.96193874788569	0	GO:1902866	1	1
20	a1	0.00213479815734393	0.999914070163631	0.00213498161596484	0.998296532425133	-1.95766076699823	1.96193036331292	0	GO:0070861	1	1
21	a1	0.00213184085742858	0.999914189922667	0.0021320238065563	0.998298892410223	-1.95766395902154	1.9619276407364	0	GO:0061078	1	1
22	a1	0.00213184085742858	0.999914189922667	0.0021320238065563	0.998298892410223	-1.95766395902154	1.9619276407364	0	GO:0061081	1	1
23	a1	0.00193755594926133	0.99992207763742	0.00193770693996408	0.998453934516746	-1.95787370356655	1.96174881546507	0	GO:1902553	1	1
24	a1	0.0017476773584455	0.999929058406705	0.00174780135025805	0.998605456997289	-1.95807726421374	1.96157261893064	0	GO:0031937	1	1
25	a1	-0.00118154078223839	0.999913676820022	-0.00118164278540122	0.99905718568455	-1.9609763349985	1.95861325343403	0	GO:0070613	10	0.7
26	a1	-0.00115488080511691	0.999913677869536	-0.00115498050549479	0.999078459091524	-1.96094967707839	1.95863991546816	0	GO:1905146	8	0.75
27	a1	-0.00112335258423477	0.999913679373254	-0.001123449561105	0.999103617128913	-1.96091815180474	1.95867144663627	0	GO:0043549	6	0.833333333333333
28	a1	-0.00112335258423477	0.999913679373254	-0.001123449561105	0.999103617128913	-1.96091815180474	1.95867144663627	0	GO:0010032	7	0.714285714285714
29	a1	-0.00108476934479172	0.999913681631832	-0.00108486298839457	0.999134404740764	-1.96087957299203	1.95871003430245	0	GO:0001919	5	0.8
30	a1	-0.00108476934479172	0.999913681631832	-0.00108486298839457	0.999134404740764	-1.96087957299203	1.95871003430245	0	GO:0018057	5	0.8
31	a1	-0.00108476934479172	0.999913681631832	-0.00108486298839457	0.999134404740764	-1.96087957299203	1.95871003430245	0	GO:0031664	4	1
32	a1	-0.00108476934479172	0.999913681631832	-0.00108486298839457	0.999134404740764	-1.96087957299203	1.95871003430245	0	GO:0036101	5	0.8
