Parameter	Estimate	SE	z	pval	CI_Leftlim	CI_Rightlim	CONVERGED	GO_term	term_size	prop_rep
1	a1	2.10824764232145	0.75395164951206	2.79626371755517	0.00516971972437077	0.630529563193245	3.58596572144965	1	GO:0046456	6	0.833333333333333
2	a1	2.1220101854056	0.765583278876701	2.77175618114219	0.00557547809535747	0.621494531641186	3.62252583917002	1	GO:0071073	4	1
3	a1	2.04482701557869	0.820956429108349	2.49078628667249	0.012746076255465	0.435781981649719	3.65387204950767	1	GO:0043933	2	1
4	a1	1.94588084857628	0.782887100870521	2.48551910794364	0.0129362642214714	0.411450326909083	3.48031137024348	1	GO:0046500	4	1
5	a1	2.02761135665346	0.821329758186376	2.46869340413373	0.0135607349856095	0.417834611177172	3.63738810212975	1	GO:0032365	2	1
6	a1	1.9325977469547	0.784257070208702	2.4642401329457	0.0137304088061509	0.395482134724741	3.46971335918465	1	GO:0033299	5	0.8
7	a1	1.76640918248808	0.788929876940624	2.23899390062144	0.0251563130230445	0.220135037356842	3.31268332761932	1	GO:0017145	7	0.714285714285714
8	a1	1.01285418557448	0.83100746088055	1.21882682557536	0.222909927584419	-0.615890508635472	2.64159887978444	1	GO:0006622	18	0.777777777777778
9	a1	0.468227657961122	0.951924386090252	0.491874843005366	0.62280782352385	-1.39750985478117	2.33396517070342	1	GO:0030997	2	1
10	a1	0.00153541561640862	0.999950440177143	0.00153549171510602	0.998774855348704	-1.95833143345577	1.96140226468858	0	GO:2000689	1	1
11	a1	0.00153541561640862	0.999950440177143	0.00153549171510602	0.998774855348704	-1.95833143345577	1.96140226468858	0	GO:2000983	1	1
12	a1	0.00153157692577133	0.999950440351307	0.0015316528339477	0.998777918329109	-1.95833527248776	1.9613984263393	0	GO:0140214	1	1
13	a1	0.00153157692577133	0.999950440351307	0.0015316528339477	0.998777918329109	-1.95833527248776	1.9613984263393	0	GO:2001245	1	1
14	a1	0.00149769314615673	0.99995147196499	0.00149776582978936	0.99880495621552	-1.95837117819304	1.96136656448535	0	GO:1901052	1	1
15	a1	0.00131806199664854	0.999957077299626	0.00131811857385715	0.998948293845157	-1.95856179559655	1.96119791958985	0	GO:1902954	1	1
16	a1	-0.000567225548488654	0.99995042639014	-0.000567253669300748	0.999547397079479	-1.96043404759863	1.95929959650166	0	GO:0071539	21	0.714285714285714
17	a1	-0.000545062321303175	0.999950426635047	-0.000545089343216119	0.999565081650327	-1.96041188485146	1.95932176020885	0	GO:0051403	16	0.75
18	a1	-0.000536422087585397	0.999950426749306	-0.00053644868109035	0.999571975900224	-1.96040324484168	1.95933040066651	0	GO:0009083	13	0.846153846153846
19	a1	-0.000526958912143009	0.999950426884515	-0.000526985036433079	0.999579526795118	-1.96039378193124	1.95933986410696	0	GO:0051315	11	0.909090909090909
20	a1	-0.000526958912143009	0.999950426884515	-0.000526985036433079	0.999579526795118	-1.96039378193124	1.95933986410696	0	GO:0046039	14	0.714285714285714
21	a1	-0.000516499101369159	0.999950427046839	-0.000516524707024266	0.999587872929318	-1.96038332243862	1.95935032423588	0	GO:0009086	12	0.75
22	a1	-0.000504807316738163	0.999950427254674	-0.000504832342663318	0.999597202085104	-1.96037163106134	1.95936201642786	0	GO:0051561	11	0.727272727272727
23	a1	-0.000504807316738163	0.999950427254674	-0.000504832342663318	0.999597202085104	-1.96037163106134	1.95936201642786	0	GO:2000035	10	0.8
24	a1	-0.000504807316738163	0.999950427254674	-0.000504832342663318	0.999597202085104	-1.96037163106134	1.95936201642786	0	GO:0036010	10	0.8
25	a1	-0.000504807316738163	0.999950427254674	-0.000504832342663318	0.999597202085104	-1.96037163106134	1.95936201642786	0	GO:0006734	11	0.727272727272727
26	a1	-0.000504807316738163	0.999950427254674	-0.000504832342663318	0.999597202085104	-1.96037163106134	1.95936201642786	0	GO:0000722	11	0.727272727272727
27	a1	-0.000504807316738163	0.999950427254674	-0.000504832342663318	0.999597202085104	-1.96037163106134	1.95936201642786	0	GO:0003214	10	0.8
28	a1	-0.000491553823274798	0.999950427514319	-0.000491578192027684	0.99960777736595	-1.96035837807677	1.95937527043022	0	GO:1901030	9	0.777777777777778
29	a1	-0.000491553823274798	0.999950427514319	-0.000491578192027684	0.99960777736595	-1.96035837807677	1.95937527043022	0	GO:0097091	9	0.777777777777778
30	a1	-0.000491553823274798	0.999950427514319	-0.000491578192027684	0.99960777736595	-1.96035837807677	1.95937527043022	0	GO:0006069	9	0.777777777777778
31	a1	-0.000491553823274798	0.999950427514319	-0.000491578192027684	0.99960777736595	-1.96035837807677	1.95937527043022	0	GO:0031062	7	1
32	a1	-0.000491553823274798	0.999950427514319	-0.000491578192027684	0.99960777736595	-1.96035837807677	1.95937527043022	0	GO:0002011	10	0.7
33	a1	-0.000491553823274798	0.999950427514319	-0.000491578192027684	0.99960777736595	-1.96035837807677	1.95937527043022	0	GO:0034454	10	0.7
34	a1	-0.000491553823274798	0.999950427514319	-0.000491578192027684	0.99960777736595	-1.96035837807677	1.95937527043022	0	GO:0043031	10	0.7
35	a1	-0.000491553823274798	0.999950427514319	-0.000491578192027684	0.99960777736595	-1.96035837807677	1.95937527043022	0	GO:0030212	10	0.7
36	a1	-0.000491553823274798	0.999950427514319	-0.000491578192027684	0.99960777736595	-1.96035837807677	1.95937527043022	0	GO:0034551	9	0.777777777777778
37	a1	-0.000491553823274798	0.999950427514319	-0.000491578192027684	0.99960777736595	-1.96035837807677	1.95937527043022	0	GO:0009134	9	0.777777777777778
38	a1	-0.000491553823274798	0.999950427514319	-0.000491578192027684	0.99960777736595	-1.96035837807677	1.95937527043022	0	GO:0046685	10	0.7
39	a1	-0.000491553823274798	0.999950427514319	-0.000491578192027684	0.99960777736595	-1.96035837807677	1.95937527043022	0	GO:0014824	9	0.777777777777778
40	a1	-0.000491553823274798	0.999950427514319	-0.000491578192027684	0.99960777736595	-1.96035837807677	1.95937527043022	0	GO:0032872	10	0.7
41	a1	-0.000491553823274798	0.999950427514319	-0.000491578192027684	0.99960777736595	-1.96035837807677	1.95937527043022	0	GO:0033194	7	1
42	a1	-0.000491553823274798	0.999950427514319	-0.000491578192027684	0.99960777736595	-1.96035837807677	1.95937527043022	0	GO:2000234	10	0.7
43	a1	-0.000491553823274798	0.999950427514319	-0.000491578192027684	0.99960777736595	-1.96035837807677	1.95937527043022	0	GO:0008611	7	1
44	a1	-0.000491553823274798	0.999950427514319	-0.000491578192027684	0.99960777736595	-1.96035837807677	1.95937527043022	0	GO:0030071	10	0.7
45	a1	-0.000491553823274798	0.999950427514319	-0.000491578192027684	0.99960777736595	-1.96035837807677	1.95937527043022	0	GO:0042058	10	0.7
46	a1	-0.000491553823274798	0.999950427514319	-0.000491578192027684	0.99960777736595	-1.96035837807677	1.95937527043022	0	GO:0009268	9	0.777777777777778
47	a1	-0.000491553823274798	0.999950427514319	-0.000491578192027684	0.99960777736595	-1.96035837807677	1.95937527043022	0	GO:0021532	7	1
48	a1	-0.000476255376128542	0.999950427869201	-0.000476278986292747	0.999619984364569	-1.96034308032518	1.95939056957292	0	GO:0009113	8	0.75
49	a1	-0.000476255376128542	0.999950427869201	-0.000476278986292747	0.999619984364569	-1.96034308032518	1.95939056957292	0	GO:0060840	8	0.75
50	a1	-0.000476255376128542	0.999950427869201	-0.000476278986292747	0.999619984364569	-1.96034308032518	1.95939056957292	0	GO:0034656	8	0.75
51	a1	-0.000476255376128542	0.999950427869201	-0.000476278986292747	0.999619984364569	-1.96034308032518	1.95939056957292	0	GO:0060440	6	1
52	a1	-0.000476255376128542	0.999950427869201	-0.000476278986292747	0.999619984364569	-1.96034308032518	1.95939056957292	0	GO:0006616	8	0.75
53	a1	-0.000476255376128542	0.999950427869201	-0.000476278986292747	0.999619984364569	-1.96034308032518	1.95939056957292	0	GO:0003356	7	0.857142857142857
54	a1	-0.000476255376128542	0.999950427869201	-0.000476278986292747	0.999619984364569	-1.96034308032518	1.95939056957292	0	GO:0050861	8	0.75
55	a1	-0.000476255376128542	0.999950427869201	-0.000476278986292747	0.999619984364569	-1.96034308032518	1.95939056957292	0	GO:1905146	8	0.75
56	a1	-0.000476255376128542	0.999950427869201	-0.000476278986292747	0.999619984364569	-1.96034308032518	1.95939056957292	0	GO:0051383	6	1
57	a1	-0.000476255376128542	0.999950427869201	-0.000476278986292747	0.999619984364569	-1.96034308032518	1.95939056957292	0	GO:0045743	8	0.75
58	a1	-0.000476255376128542	0.999950427869201	-0.000476278986292747	0.999619984364569	-1.96034308032518	1.95939056957292	0	GO:0071651	7	0.857142857142857
59	a1	-0.000476255376128542	0.999950427869201	-0.000476278986292747	0.999619984364569	-1.96034308032518	1.95939056957292	0	GO:0017185	8	0.75
60	a1	-0.000476255376128542	0.999950427869201	-0.000476278986292747	0.999619984364569	-1.96034308032518	1.95939056957292	0	GO:0006552	6	1
61	a1	-0.000476255376128542	0.999950427869201	-0.000476278986292747	0.999619984364569	-1.96034308032518	1.95939056957292	0	GO:0033135	7	0.857142857142857
62	a1	-0.000476255376128542	0.999950427869201	-0.000476278986292747	0.999619984364569	-1.96034308032518	1.95939056957292	0	GO:1902732	8	0.75
63	a1	-0.000476255376128542	0.999950427869201	-0.000476278986292747	0.999619984364569	-1.96034308032518	1.95939056957292	0	GO:0051490	6	1
64	a1	-0.000458163101458387	0.999950428359308	-0.000458185814480953	0.999634420625438	-1.9603249890111	1.95940866280818	0	GO:0090244	6	0.833333333333333
65	a1	-0.000458163101458387	0.999950428359308	-0.000458185814480953	0.999634420625438	-1.9603249890111	1.95940866280818	0	GO:1901098	7	0.714285714285714
66	a1	-0.000458163101458387	0.999950428359308	-0.000458185814480953	0.999634420625438	-1.9603249890111	1.95940866280818	0	GO:0031497	7	0.714285714285714
67	a1	-0.000458163101458387	0.999950428359308	-0.000458185814480953	0.999634420625438	-1.9603249890111	1.95940866280818	0	GO:0072383	6	0.833333333333333
68	a1	-0.000458163101458387	0.999950428359308	-0.000458185814480953	0.999634420625438	-1.9603249890111	1.95940866280818	0	GO:0006085	6	0.833333333333333
69	a1	-0.000458163101458387	0.999950428359308	-0.000458185814480953	0.999634420625438	-1.9603249890111	1.95940866280818	0	GO:0035723	6	0.833333333333333
70	a1	-0.000458163101458387	0.999950428359308	-0.000458185814480953	0.999634420625438	-1.9603249890111	1.95940866280818	0	GO:0010991	5	1
71	a1	-0.000458163101458387	0.999950428359308	-0.000458185814480953	0.999634420625438	-1.9603249890111	1.95940866280818	0	GO:0006760	6	0.833333333333333
72	a1	-0.000458163101458387	0.999950428359308	-0.000458185814480953	0.999634420625438	-1.9603249890111	1.95940866280818	0	GO:0003337	7	0.714285714285714
