Parameter	Estimate	SE	z	pval	CI_Leftlim	CI_Rightlim	CONVERGED	GO_term	term_size	prop_rep
1	a1	2.16656423291843	0.762469597744748	2.84150901141075	0.00449005829887415	0.672151282031986	3.66097718380488	1	GO:1903944	4	1
2	a1	2.18661394511607	0.780089333941389	2.80303017869536	0.0050624931966938	0.657666945867113	3.71556094436503	1	GO:0006642	4	0.75
3	a1	2.18430937776397	0.780137742922156	2.79990219365905	0.00511180923560086	0.655267498656174	3.71335125687176	1	GO:0010876	4	0.75
4	a1	2.18430937776397	0.780137742922156	2.79990219365905	0.00511180923560086	0.655267498656174	3.71335125687176	1	GO:0010565	4	0.75
5	a1	2.13338258635783	0.76467284360894	2.78992853504401	0.00527196769402167	0.634651352928476	3.63211381978718	1	GO:0046320	5	0.8
6	a1	2.13338258635783	0.76467284360894	2.78992853504401	0.00527196769402167	0.634651352928476	3.63211381978718	1	GO:0071073	4	1
7	a1	2.07033476840084	0.745988921208416	2.77528889443444	0.00551526920713386	0.608223349966462	3.53244618683523	1	GO:2000641	8	0.75
8	a1	2.06732321846282	0.746148969454449	2.77065747336535	0.005594324183439	0.604898111230425	3.52974832569522	1	GO:0032099	8	0.75
9	a1	2.01588456363617	0.741725392681613	2.71783140165662	0.00657113125075793	0.562129507561385	3.46963961971096	1	GO:0061052	10	0.7
10	a1	2.01588456363617	0.741725392681613	2.71783140165662	0.00657113125075793	0.562129507561385	3.46963961971096	1	GO:0010883	8	0.875
11	a1	2.08781880381856	0.787635983016271	2.65074075948537	0.00803154618274511	0.544080644178865	3.63155696345825	1	GO:0051049	3	1
12	a1	1.87927118298085	0.734053228307276	2.56012930739974	0.01046332233201	0.440553292763228	3.31798907319846	1	GO:0045820	12	0.833333333333333
13	a1	2.05564169746248	0.82013294321733	2.50647375460658	0.0121942110236069	0.448210666221684	3.66307272870328	1	GO:0043933	2	1
14	a1	2.05564169746248	0.82013294321733	2.50647375460658	0.0121942110236069	0.448210666221684	3.66307272870328	1	GO:0014866	2	1
15	a1	1.15565213082333	0.891977909205622	1.29560622398432	0.19511118373608	-0.592592446225029	2.90389670787168	1	GO:0036316	2	1
16	a1	0.961793568019663	0.908457939706211	1.05871006898866	0.28973184081515	-0.818751275273971	2.7423384113133	1	GO:0030997	2	1
17	a1	0.00177462105360229	0.999616380079476	0.00177530209485082	0.998583514611813	-1.95743748225847	1.96098672436568	1	GO:0014901	2	1
18	a1	0.00136369664538349	0.999956361622879	0.00136375615748899	0.998911880354526	-1.95851475824717	1.96124215153794	0	GO:2000689	1	1
19	a1	0.00136369664538349	0.999956361622879	0.00136375615748899	0.998911880354526	-1.95851475824717	1.96124215153794	0	GO:2000983	1	1
20	a1	0.00136362039065014	0.999956361623759	0.00136367989942667	0.9989119411996	-1.95851483450363	1.96124207528493	0	GO:1902954	1	1
21	a1	0.00136355762553178	0.999956361623176	0.00136361713157001	0.998911991281057	-1.9585148972676	1.96124201251867	0	GO:1900148	1	1
22	a1	0.00136355762553178	0.999956361623176	0.00136361713157001	0.998911991281057	-1.9585148972676	1.96124201251867	0	GO:1905045	1	1
23	a1	0.0013633051080787	0.999956361623788	0.00136336460309616	0.99891219276944	-1.95851514978626	1.96124176000241	0	GO:2000191	1	1
24	a1	0.00136067323031068	0.999956362094843	0.00136073260983125	0.998914292794283	-1.95851778258727	1.9612391290479	0	GO:0140214	1	1
25	a1	0.00136067323031068	0.999956362094843	0.00136073260983125	0.998914292794283	-1.95851778258727	1.9612391290479	0	GO:2001245	1	1
26	a1	0.00136054292557088	0.999956362438114	0.0013606022989379	0.998914396767236	-1.95851791356481	1.96123899941596	0	GO:0061400	1	1
27	a1	-0.000569526793339253	0.999956350562362	-0.000569551653948654	0.999545563553304	-1.96044796000768	1.959308906421	0	GO:0007029	42	0.714285714285714
28	a1	-0.000524824004124707	0.999956350819217	-0.000524846913262508	0.999581232770349	-1.96040325772189	1.95935360971364	0	GO:0045022	24	0.75
29	a1	-0.00051452333935501	0.999956350900955	-0.000514545798815546	0.999589451869415	-1.96039295721732	1.95936391053861	0	GO:0090141	22	0.727272727272727
30	a1	-0.000508880095711624	0.999956350939267	-0.000508902308819409	0.999593954722362	-1.96038731404877	1.95936955385735	0	GO:0048278	21	0.714285714285714
31	a1	-0.000502847836665817	0.999956350993466	-0.00050286978643241	0.999598767978222	-1.96038128189595	1.95937558622262	0	GO:2000251	20	0.7
32	a1	-0.000502847836665817	0.999956350993466	-0.00050286978643241	0.999598767978222	-1.96038128189595	1.95937558622262	0	GO:0006801	20	0.7
33	a1	-0.000502847836665817	0.999956350993466	-0.00050286978643241	0.999598767978222	-1.96038128189595	1.95937558622262	0	GO:0046328	19	0.736842105263158
34	a1	-0.000496368934410579	0.999956351059688	-0.000496390601334308	0.999603937619333	-1.96037480312349	1.95938206525467	0	GO:0051403	16	0.8125
35	a1	-0.000489371927382299	0.999956351130766	-0.000489393288845968	0.999609520666256	-1.96036780625577	1.95938906240101	0	GO:0043171	16	0.75
36	a1	-0.000481766407396045	0.999956351220925	-0.000481787436829436	0.999615589257437	-1.96036020091249	1.9593966680977	0	GO:0046039	14	0.785714285714286
37	a1	-0.000481766407396045	0.999956351220925	-0.000481787436829436	0.999615589257437	-1.96036020091249	1.9593966680977	0	GO:0043069	15	0.733333333333333
38	a1	-0.000481766407396045	0.999956351220925	-0.000481787436829436	0.999615589257437	-1.96036020091249	1.9593966680977	0	GO:0055086	13	0.846153846153846
39	a1	-0.000473436329728269	0.999956351325236	-0.00047345699549868	0.999622235987201	-1.96035187103927	1.95940499837982	0	GO:0090110	14	0.714285714285714
40	a1	-0.000473436329728269	0.999956351325236	-0.00047345699549868	0.999622235987201	-1.96035187103927	1.95940499837982	0	GO:0007175	14	0.714285714285714
