Parameter	Estimate	SE	z	pval	CI_Leftlim	CI_Rightlim	CONVERGED	GO_term	term_size	prop_rep
1	a1	2.14955987894817	0.782576421574807	2.74677311977089	0.00601847520851004	0.615738277511313	3.68338148038502	1	GO:0002522	4	0.75
2	a1	0.00211438673798508	0.999930048703492	0.00211453465242553	0.99831284670483	-1.95771249578024	1.96194126925621	0	GO:2000689	1	1
3	a1	0.00211438673798508	0.999930048703492	0.00211453465242553	0.99831284670483	-1.95771249578024	1.96194126925621	0	GO:2000983	1	1
4	a1	-0.000715253154441226	0.99993002193754	-0.000715303209973931	0.999429270661139	-1.96054208321237	1.95911157690348	0	GO:0097502	15	0.733333333333333
5	a1	-0.000670611022534801	0.99993002293999	-0.000670657953206639	0.99946489241367	-1.96049744304522	1.95915622100015	0	GO:0071985	11	0.727272727272727
6	a1	-0.000670611022534801	0.99993002293999	-0.000670657953206639	0.99946489241367	-1.96049744304522	1.95915622100015	0	GO:0006241	11	0.727272727272727
7	a1	-0.000651897073272798	0.99993002347208	-0.000651942693958924	0.99947982502681	-1.96047873013884	1.95917493599229	0	GO:0097345	9	0.777777777777778
8	a1	-0.000651897073272798	0.99993002347208	-0.000651942693958924	0.99947982502681	-1.96047873013884	1.95917493599229	0	GO:0034551	9	0.777777777777778
9	a1	-0.000651897073272798	0.99993002347208	-0.000651942693958924	0.99947982502681	-1.96047873013884	1.95917493599229	0	GO:0006228	10	0.7
10	a1	-0.000630296423253517	0.999930024170222	-0.000630340531855276	0.99949706105489	-1.96045713085715	1.95919653801065	0	GO:0034656	8	0.75
11	a1	-0.000630296423253517	0.999930024170222	-0.000630340531855276	0.99949706105489	-1.96045713085715	1.95919653801065	0	GO:0034329	8	0.75
12	a1	-0.000604751645838189	0.999930025141934	-0.000604793966210134	0.999517444261312	-1.96043158798426	1.95922208469258	0	GO:0003356	7	0.714285714285714
13	a1	-0.000604751645838189	0.999930025141934	-0.000604793966210134	0.999517444261312	-1.96043158798426	1.95922208469258	0	GO:0090267	7	0.714285714285714
14	a1	-0.000604751645838189	0.999930025141934	-0.000604793966210134	0.999517444261312	-1.96043158798426	1.95922208469258	0	GO:0051223	7	0.714285714285714
15	a1	-0.000604751645838189	0.999930025141934	-0.000604793966210134	0.999517444261312	-1.96043158798426	1.95922208469258	0	GO:0021532	7	0.714285714285714
16	a1	-0.000604751645838189	0.999930025141934	-0.000604793966210134	0.999517444261312	-1.96043158798426	1.95922208469258	0	GO:0045661	6	0.833333333333333
17	a1	-0.000573491063920209	0.999930026613422	-0.00057353119584029	0.999542388338788	-1.9604003302864	1.95925334815856	0	GO:0061732	5	0.8
18	a1	-0.000573491063920209	0.999930026613422	-0.00057353119584029	0.999542388338788	-1.9604003302864	1.95925334815856	0	GO:0031063	5	0.8
19	a1	-0.000573491063920209	0.999930026613422	-0.00057353119584029	0.999542388338788	-1.9604003302864	1.95925334815856	0	GO:0031670	5	0.8
20	a1	-0.000573491063920209	0.999930026613422	-0.00057353119584029	0.999542388338788	-1.9604003302864	1.95925334815856	0	GO:0019509	5	0.8
21	a1	-0.000573491063920209	0.999930026613422	-0.00057353119584029	0.999542388338788	-1.9604003302864	1.95925334815856	0	GO:0090611	5	0.8
22	a1	-0.000573491063920209	0.999930026613422	-0.00057353119584029	0.999542388338788	-1.9604003302864	1.95925334815856	0	GO:0051900	5	0.8
23	a1	-0.000573491063920209	0.999930026613422	-0.00057353119584029	0.999542388338788	-1.9604003302864	1.95925334815856	0	GO:2000303	5	0.8
24	a1	-0.000573491063920209	0.999930026613422	-0.00057353119584029	0.999542388338788	-1.9604003302864	1.95925334815856	0	GO:0018406	5	0.8
25	a1	-0.000573491063920209	0.999930026613422	-0.00057353119584029	0.999542388338788	-1.9604003302864	1.95925334815856	0	GO:0097053	4	1
26	a1	-0.000533193535162085	0.9999300290646	-0.000533230845823151	0.999574543360936	-1.96036003756187	1.95929365049154	0	GO:0072537	4	0.75
27	a1	-0.000533193535162085	0.9999300290646	-0.000533230845823151	0.999574543360936	-1.96036003756187	1.95929365049154	0	GO:0072108	4	0.75
28	a1	-0.000533193535162085	0.9999300290646	-0.000533230845823151	0.999574543360936	-1.96036003756187	1.95929365049154	0	GO:0035722	4	0.75
29	a1	-0.000533193535162085	0.9999300290646	-0.000533230845823151	0.999574543360936	-1.96036003756187	1.95929365049154	0	GO:0051464	4	0.75
30	a1	-0.000533193535162085	0.9999300290646	-0.000533230845823151	0.999574543360936	-1.96036003756187	1.95929365049154	0	GO:0090234	3	1
31	a1	-0.000533193535162085	0.9999300290646	-0.000533230845823151	0.999574543360936	-1.96036003756187	1.95929365049154	0	GO:0032324	4	0.75
32	a1	-0.000533193535162085	0.9999300290646	-0.000533230845823151	0.999574543360936	-1.96036003756187	1.95929365049154	0	GO:0071395	4	0.75
33	a1	-0.000533193535162085	0.9999300290646	-0.000533230845823151	0.999574543360936	-1.96036003756187	1.95929365049154	0	GO:0090043	4	0.75
34	a1	-0.000533193535162085	0.9999300290646	-0.000533230845823151	0.999574543360936	-1.96036003756187	1.95929365049154	0	GO:0006490	4	0.75
35	a1	-0.000533193535162085	0.9999300290646	-0.000533230845823151	0.999574543360936	-1.96036003756187	1.95929365049154	0	GO:0071731	4	0.75
36	a1	-0.000533193535162085	0.9999300290646	-0.000533230845823151	0.999574543360936	-1.96036003756187	1.95929365049154	0	GO:0044878	4	0.75
37	a1	-0.000533193535162085	0.9999300290646	-0.000533230845823151	0.999574543360936	-1.96036003756187	1.95929365049154	0	GO:0009298	4	0.75
38	a1	-0.000533193535162085	0.9999300290646	-0.000533230845823151	0.999574543360936	-1.96036003756187	1.95929365049154	0	GO:0006272	4	0.75
39	a1	-0.000533193535162085	0.9999300290646	-0.000533230845823151	0.999574543360936	-1.96036003756187	1.95929365049154	0	GO:1902990	3	1
40	a1	-0.000533193535162085	0.9999300290646	-0.000533230845823151	0.999574543360936	-1.96036003756187	1.95929365049154	0	GO:1905342	4	0.75
41	a1	-0.000533193535162085	0.9999300290646	-0.000533230845823151	0.999574543360936	-1.96036003756187	1.95929365049154	0	GO:1901533	3	1
42	a1	-0.000533193535162085	0.9999300290646	-0.000533230845823151	0.999574543360936	-1.96036003756187	1.95929365049154	0	GO:0072719	4	0.75
43	a1	-0.000533193535162085	0.9999300290646	-0.000533230845823151	0.999574543360936	-1.96036003756187	1.95929365049154	0	GO:1905517	4	0.75
44	a1	-0.000533193535162085	0.9999300290646	-0.000533230845823151	0.999574543360936	-1.96036003756187	1.95929365049154	0	GO:0031296	4	0.75
45	a1	-0.000533193535162085	0.9999300290646	-0.000533230845823151	0.999574543360936	-1.96036003756187	1.95929365049154	0	GO:0050912	3	1
46	a1	-0.000533193535162085	0.9999300290646	-0.000533230845823151	0.999574543360936	-1.96036003756187	1.95929365049154	0	GO:0044752	4	0.75
47	a1	-0.000533193535162085	0.9999300290646	-0.000533230845823151	0.999574543360936	-1.96036003756187	1.95929365049154	0	GO:0051409	4	0.75
48	a1	-0.000533193535162085	0.9999300290646	-0.000533230845823151	0.999574543360936	-1.96036003756187	1.95929365049154	0	GO:0051797	3	1
49	a1	-0.000533193535162085	0.9999300290646	-0.000533230845823151	0.999574543360936	-1.96036003756187	1.95929365049154	0	GO:0051461	4	0.75
50	a1	-0.000533193535162085	0.9999300290646	-0.000533230845823151	0.999574543360936	-1.96036003756187	1.95929365049154	0	GO:0017187	4	0.75
51	a1	-0.000533193535162085	0.9999300290646	-0.000533230845823151	0.999574543360936	-1.96036003756187	1.95929365049154	0	GO:0032079	4	0.75
52	a1	-0.000533193535162085	0.9999300290646	-0.000533230845823151	0.999574543360936	-1.96036003756187	1.95929365049154	0	GO:0006231	4	0.75
53	a1	-0.000533193535162085	0.9999300290646	-0.000533230845823151	0.999574543360936	-1.96036003756187	1.95929365049154	0	GO:0007089	4	0.75
54	a1	-0.000533193535162085	0.9999300290646	-0.000533230845823151	0.999574543360936	-1.96036003756187	1.95929365049154	0	GO:0006546	4	0.75
