Parameter	Estimate	SE	z	pval	CI_Leftlim	CI_Rightlim	CONVERGED	GO_term	term_size	prop_rep
1	a1	2.12519463545036	0.781941516867091	2.71784345709781	0.00657089184498937	0.592617424374239	3.65777184652648	1	GO:0071464	4	0.75
2	a1	1.89155496698449	0.828677836915294	2.28261802442514	0.0224528782973663	0.267376251843958	3.51573368212502	1	GO:0046498	2	1
3	a1	0.00201658749428063	0.999933144566673	0.00201672232312544	0.998390889485706	-1.95781636280428	1.96184953779284	0	GO:2000689	1	1
4	a1	0.00201658749428063	0.999933144566673	0.00201672232312544	0.998390889485706	-1.95781636280428	1.96184953779284	0	GO:2000983	1	1
5	a1	0.00201251612928254	0.999933144586522	0.00201265068587633	0.998394138175611	-1.95782043420818	1.96184546646675	0	GO:0032023	1	1
6	a1	0.00195005378557371	0.999935067198894	0.0019501804162508	0.998443982141402	-1.9578866648029	1.96178677237404	0	GO:1901052	1	1
7	a1	0.0017964295584285	0.999940168645674	0.00179653704767316	0.998566571597827	-1.958050287682	1.96164314679886	0	GO:0042023	1	1
8	a1	0.0017964295584285	0.999940168645674	0.00179653704767316	0.998566571597827	-1.958050287682	1.96164314679886	0	GO:1990261	1	1
9	a1	-0.000656430853787298	0.99993312104057	-0.000656474758136014	0.999476208963549	-1.96048933504204	1.95917647333446	0	GO:0042136	10	0.8
10	a1	-0.000638545770207569	0.999933121522864	-0.000638588478032497	0.999490480147301	-1.96047145090373	1.95919435936332	0	GO:0006000	10	0.7
11	a1	-0.000638545770207569	0.999933121522864	-0.000638588478032497	0.999490480147301	-1.96047145090373	1.95919435936332	0	GO:0003014	10	0.7
12	a1	-0.000638545770207569	0.999933121522864	-0.000638588478032497	0.999490480147301	-1.96047145090373	1.95919435936332	0	GO:0030388	9	0.777777777777778
13	a1	-0.000617901781252809	0.999933122157942	-0.000617943107954383	0.999506952766087	-1.96045080815951	1.959215004597	0	GO:0051096	7	0.857142857142857
14	a1	-0.000593488214430853	0.999933123051057	-0.000593527907766437	0.999526433273792	-1.96042639634316	1.9592394199143	0	GO:0090267	7	0.714285714285714
15	a1	-0.000593488214430853	0.999933123051057	-0.000593527907766437	0.999526433273792	-1.96042639634316	1.9592394199143	0	GO:0051223	7	0.714285714285714
16	a1	-0.000593488214430853	0.999933123051057	-0.000593527907766437	0.999526433273792	-1.96042639634316	1.9592394199143	0	GO:0060628	6	0.833333333333333
17	a1	-0.000593488214430853	0.999933123051057	-0.000593527907766437	0.999526433273792	-1.96042639634316	1.9592394199143	0	GO:0017183	7	0.714285714285714
18	a1	-0.000593488214430853	0.999933123051057	-0.000593527907766437	0.999526433273792	-1.96042639634316	1.9592394199143	0	GO:0032210	6	0.833333333333333
19	a1	-0.000593488214430853	0.999933123051057	-0.000593527907766437	0.999526433273792	-1.96042639634316	1.9592394199143	0	GO:0006552	6	0.833333333333333
20	a1	-0.000593488214430853	0.999933123051057	-0.000593527907766437	0.999526433273792	-1.96042639634316	1.9592394199143	0	GO:0016240	7	0.714285714285714
21	a1	-0.000593488214430853	0.999933123051057	-0.000593527907766437	0.999526433273792	-1.96042639634316	1.9592394199143	0	GO:2000736	7	0.714285714285714
22	a1	-0.000563611964800707	0.999933124393913	-0.000563649659213287	0.999550272663025	-1.96039652272548	1.95926929879588	0	GO:0019556	5	0.8
23	a1	-0.000563611964800707	0.999933124393913	-0.000563649659213287	0.999550272663025	-1.96039652272548	1.95926929879588	0	GO:0019557	5	0.8
24	a1	-0.000563611964800707	0.999933124393913	-0.000563649659213287	0.999550272663025	-1.96039652272548	1.95926929879588	0	GO:0006565	5	0.8
25	a1	-0.000563611964800707	0.999933124393913	-0.000563649659213287	0.999550272663025	-1.96039652272548	1.95926929879588	0	GO:0061732	5	0.8
26	a1	-0.000563611964800707	0.999933124393913	-0.000563649659213287	0.999550272663025	-1.96039652272548	1.95926929879588	0	GO:1902527	5	0.8
27	a1	-0.000563611964800707	0.999933124393913	-0.000563649659213287	0.999550272663025	-1.96039652272548	1.95926929879588	0	GO:0019509	5	0.8
28	a1	-0.000563611964800707	0.999933124393913	-0.000563649659213287	0.999550272663025	-1.96039652272548	1.95926929879588	0	GO:0030242	5	0.8
29	a1	-0.000563611964800707	0.999933124393913	-0.000563649659213287	0.999550272663025	-1.96039652272548	1.95926929879588	0	GO:0006104	5	0.8
30	a1	-0.000563611964800707	0.999933124393913	-0.000563649659213287	0.999550272663025	-1.96039652272548	1.95926929879588	0	GO:0006105	5	0.8
31	a1	-0.000563611964800707	0.999933124393913	-0.000563649659213287	0.999550272663025	-1.96039652272548	1.95926929879588	0	GO:0019439	5	0.8
32	a1	-0.000563611964800707	0.999933124393913	-0.000563649659213287	0.999550272663025	-1.96039652272548	1.95926929879588	0	GO:0048368	4	1
33	a1	-0.000563611964800707	0.999933124393913	-0.000563649659213287	0.999550272663025	-1.96039652272548	1.95926929879588	0	GO:0018119	5	0.8
34	a1	-0.000563611964800707	0.999933124393913	-0.000563649659213287	0.999550272663025	-1.96039652272548	1.95926929879588	0	GO:0015911	4	1
35	a1	-0.000563611964800707	0.999933124393913	-0.000563649659213287	0.999550272663025	-1.96039652272548	1.95926929879588	0	GO:0071681	5	0.8
36	a1	-0.000563611964800707	0.999933124393913	-0.000563649659213287	0.999550272663025	-1.96039652272548	1.95926929879588	0	GO:1903566	4	1
37	a1	-0.000563611964800707	0.999933124393913	-0.000563649659213287	0.999550272663025	-1.96039652272548	1.95926929879588	0	GO:0007006	5	0.8
38	a1	-0.000563611964800707	0.999933124393913	-0.000563649659213287	0.999550272663025	-1.96039652272548	1.95926929879588	0	GO:0015811	5	0.8
39	a1	-0.000563611964800707	0.999933124393913	-0.000563649659213287	0.999550272663025	-1.96039652272548	1.95926929879588	0	GO:1904354	5	0.8
40	a1	-0.000563611964800707	0.999933124393913	-0.000563649659213287	0.999550272663025	-1.96039652272548	1.95926929879588	0	GO:1903307	5	0.8
41	a1	-0.000563611964800707	0.999933124393913	-0.000563649659213287	0.999550272663025	-1.96039652272548	1.95926929879588	0	GO:2001294	4	1
42	a1	-0.000563611964800707	0.999933124393913	-0.000563649659213287	0.999550272663025	-1.96039652272548	1.95926929879588	0	GO:0031591	4	1
43	a1	-0.000525098825863606	0.999933126633913	-0.000525133943338044	0.999581003753515	-1.96035801397686	1.95930781632513	0	GO:0032507	4	0.75
44	a1	-0.000525098825863606	0.999933126633913	-0.000525133943338044	0.999581003753515	-1.96035801397686	1.95930781632513	0	GO:0009301	4	0.75
