Parameter	Estimate	SE	z	pval	CI_Leftlim	CI_Rightlim	CONVERGED	GO_term	term_size	prop_rep
1	a1	1.25787910780821	0.860690241594369	1.46147713430337	0.143884546152332	-0.429042767561827	2.94480098317825	1	GO:0045103	3	1
2	a1	0.00150933441374074	0.999950376039806	0.00150940931660858	0.998795666067655	-1.95835738895156	1.96137605777904	0	GO:0061400	1	1
3	a1	-0.000666016745244481	0.999950292724418	-0.000666049852768064	0.999468569145044	-1.96053257681539	1.9592005433249	0	GO:0007029	42	0.761904761904762
4	a1	-0.000550124174640892	0.999950293739275	-0.000550151520615814	0.999561042617741	-1.96041668623387	1.95931643788459	0	GO:0043928	13	0.769230769230769
5	a1	-0.000550124174640892	0.999950293739275	-0.000550151520615814	0.999561042617741	-1.96041668623387	1.95931643788459	0	GO:0006287	14	0.714285714285714
6	a1	-0.000550124174640892	0.999950293739275	-0.000550151520615814	0.999561042617741	-1.96041668623387	1.95931643788459	0	GO:0009083	13	0.769230769230769
7	a1	-0.000539637161682659	0.999950293909001	-0.000539663986269869	0.999569410458235	-1.96040619955357	1.9593269252302	0	GO:0034101	12	0.75
8	a1	-0.000539637161682659	0.999950293909001	-0.000539663986269869	0.999569410458235	-1.96040619955357	1.9593269252302	0	GO:0010591	11	0.818181818181818
9	a1	-0.000539637161682659	0.999950293909001	-0.000539663986269869	0.999569410458235	-1.96040619955357	1.9593269252302	0	GO:0010762	12	0.75
10	a1	-0.000527914974721812	0.999950294112555	-0.000527941216508497	0.999578763873904	-1.96039447776556	1.95933864781612	0	GO:0009235	10	0.8
11	a1	-0.000527914974721812	0.999950294112555	-0.000527941216508497	0.999578763873904	-1.96039447776556	1.95933864781612	0	GO:0006625	11	0.727272727272727
12	a1	-0.000527914974721812	0.999950294112555	-0.000527941216508497	0.999578763873904	-1.96039447776556	1.95933864781612	0	GO:0007042	11	0.727272727272727
13	a1	-0.000527914974721812	0.999950294112555	-0.000527941216508497	0.999578763873904	-1.96039447776556	1.95933864781612	0	GO:0046685	10	0.8
14	a1	-0.000527914974721812	0.999950294112555	-0.000527941216508497	0.999578763873904	-1.96039447776556	1.95933864781612	0	GO:0000338	10	0.8
15	a1	-0.000527914974721812	0.999950294112555	-0.000527941216508497	0.999578763873904	-1.96039447776556	1.95933864781612	0	GO:0000722	11	0.727272727272727
16	a1	-0.000527914974721812	0.999950294112555	-0.000527941216508497	0.999578763873904	-1.96039447776556	1.95933864781612	0	GO:0090385	11	0.727272727272727
17	a1	-0.000527914974721812	0.999950294112555	-0.000527941216508497	0.999578763873904	-1.96039447776556	1.95933864781612	0	GO:0048280	9	0.888888888888889
18	a1	-0.000527914974721812	0.999950294112555	-0.000527941216508497	0.999578763873904	-1.96039447776556	1.95933864781612	0	GO:0000467	9	0.888888888888889
19	a1	-0.000514626761360198	0.99995029437753	-0.000514652342475236	0.999589366859885	-1.96038119007154	1.95935193654882	0	GO:0046474	10	0.7
20	a1	-0.000514626761360198	0.99995029437753	-0.000514652342475236	0.999589366859885	-1.96038119007154	1.95935193654882	0	GO:1900242	9	0.777777777777778
21	a1	-0.000514626761360198	0.99995029437753	-0.000514652342475236	0.999589366859885	-1.96038119007154	1.95935193654882	0	GO:2001241	10	0.7
22	a1	-0.000514626761360198	0.99995029437753	-0.000514652342475236	0.999589366859885	-1.96038119007154	1.95935193654882	0	GO:0061744	10	0.7
23	a1	-0.000514626761360198	0.99995029437753	-0.000514652342475236	0.999589366859885	-1.96038119007154	1.95935193654882	0	GO:0030212	10	0.7
24	a1	-0.000514626761360198	0.99995029437753	-0.000514652342475236	0.999589366859885	-1.96038119007154	1.95935193654882	0	GO:0034551	9	0.777777777777778
25	a1	-0.000514626761360198	0.99995029437753	-0.000514652342475236	0.999589366859885	-1.96038119007154	1.95935193654882	0	GO:0044598	10	0.7
26	a1	-0.000514626761360198	0.99995029437753	-0.000514652342475236	0.999589366859885	-1.96038119007154	1.95935193654882	0	GO:1900264	9	0.777777777777778
27	a1	-0.000514626761360198	0.99995029437753	-0.000514652342475236	0.999589366859885	-1.96038119007154	1.95935193654882	0	GO:0043304	10	0.7
28	a1	-0.000514626761360198	0.99995029437753	-0.000514652342475236	0.999589366859885	-1.96038119007154	1.95935193654882	0	GO:0032872	10	0.7
29	a1	-0.000514626761360198	0.99995029437753	-0.000514652342475236	0.999589366859885	-1.96038119007154	1.95935193654882	0	GO:0070493	9	0.777777777777778
30	a1	-0.000514626761360198	0.99995029437753	-0.000514652342475236	0.999589366859885	-1.96038119007154	1.95935193654882	0	GO:2000234	10	0.7
31	a1	-0.000514626761360198	0.99995029437753	-0.000514652342475236	0.999589366859885	-1.96038119007154	1.95935193654882	0	GO:0016559	10	0.7
32	a1	-0.000514626761360198	0.99995029437753	-0.000514652342475236	0.999589366859885	-1.96038119007154	1.95935193654882	0	GO:0008611	7	1
33	a1	-0.000514626761360198	0.99995029437753	-0.000514652342475236	0.999589366859885	-1.96038119007154	1.95935193654882	0	GO:0030071	10	0.7
34	a1	-0.000514626761360198	0.99995029437753	-0.000514652342475236	0.999589366859885	-1.96038119007154	1.95935193654882	0	GO:0071044	10	0.7
35	a1	-0.000499288062555848	0.999950294738066	-0.000499312881033386	0.999601605977768	-1.96036585207938	1.95936727595427	0	GO:0031062	7	0.857142857142857
36	a1	-0.000499288062555848	0.999950294738066	-0.000499312881033386	0.999601605977768	-1.96036585207938	1.95936727595427	0	GO:0006999	8	0.75
37	a1	-0.000499288062555848	0.999950294738066	-0.000499312881033386	0.999601605977768	-1.96036585207938	1.95936727595427	0	GO:0005980	8	0.75
38	a1	-0.000499288062555848	0.999950294738066	-0.000499312881033386	0.999601605977768	-1.96036585207938	1.95936727595427	0	GO:0044829	8	0.75
39	a1	-0.000499288062555848	0.999950294738066	-0.000499312881033386	0.999601605977768	-1.96036585207938	1.95936727595427	0	GO:0045143	8	0.75
40	a1	-0.000499288062555848	0.999950294738066	-0.000499312881033386	0.999601605977768	-1.96036585207938	1.95936727595427	0	GO:0070072	7	0.857142857142857
41	a1	-0.000499288062555848	0.999950294738066	-0.000499312881033386	0.999601605977768	-1.96036585207938	1.95936727595427	0	GO:0045428	7	0.857142857142857
42	a1	-0.000499288062555848	0.999950294738066	-0.000499312881033386	0.999601605977768	-1.96036585207938	1.95936727595427	0	GO:0010923	8	0.75
43	a1	-0.000499288062555848	0.999950294738066	-0.000499312881033386	0.999601605977768	-1.96036585207938	1.95936727595427	0	GO:0006552	6	1
44	a1	-0.000499288062555848	0.999950294738066	-0.000499312881033386	0.999601605977768	-1.96036585207938	1.95936727595427	0	GO:0016240	7	0.857142857142857
45	a1	-0.000499288062555848	0.999950294738066	-0.000499312881033386	0.999601605977768	-1.96036585207938	1.95936727595427	0	GO:1901137	8	0.75
46	a1	-0.000481148094833347	0.999950295222042	-0.000481172011381332	0.999616080295843	-1.96034771306023	1.95938541687056	0	GO:0070291	6	0.833333333333333
47	a1	-0.000481148094833347	0.999950295222042	-0.000481172011381332	0.999616080295843	-1.96034771306023	1.95938541687056	0	GO:0007185	7	0.714285714285714
48	a1	-0.000481148094833347	0.999950295222042	-0.000481172011381332	0.999616080295843	-1.96034771306023	1.95938541687056	0	GO:0072383	6	0.833333333333333
49	a1	-0.000481148094833347	0.999950295222042	-0.000481172011381332	0.999616080295843	-1.96034771306023	1.95938541687056	0	GO:0031063	5	1
50	a1	-0.000481148094833347	0.999950295222042	-0.000481172011381332	0.999616080295843	-1.96034771306023	1.95938541687056	0	GO:0006004	7	0.714285714285714
51	a1	-0.000481148094833347	0.999950295222042	-0.000481172011381332	0.999616080295843	-1.96034771306023	1.95938541687056	0	GO:0009249	6	0.833333333333333
52	a1	-0.000481148094833347	0.999950295222042	-0.000481172011381332	0.999616080295843	-1.96034771306023	1.95938541687056	0	GO:0061179	7	0.714285714285714
