Parameter	Estimate	SE	z	pval	CI_Leftlim	CI_Rightlim	CONVERGED	GO_term	term_size	prop_rep
1	a1	2.03619878823394	0.832765629605081	2.44510425964572	0.0144810273264013	0.404008146645156	3.66838942982272	1	GO:0002522	4	0.75
2	a1	1.9736312188536	0.810576829980171	2.43484780943206	0.0148980543022732	0.384929825389817	3.56233261231738	1	GO:0003356	7	0.857142857142857
3	a1	2.0249208232751	0.851925117616259	2.37687653692024	0.0174599310611103	0.355178275222182	3.69466337132802	1	GO:0043933	2	1
4	a1	0.00270351012189579	0.99991633158437	0.00270373633923158	0.997842733146784	-1.95709648733688	1.96250350758067	0	GO:0071501	1	1
5	a1	0.00269616585782445	0.999916550784637	0.00269639086952682	0.99784859396229	-1.95710426122558	1.96249659294123	0	GO:1903300	1	1
6	a1	0.0026343335334362	0.999918435677252	0.00263454841859371	0.997897936923799	-1.95716978787161	1.96243845493848	0	GO:2000689	1	1
7	a1	0.0026343335334362	0.999918435677252	0.00263454841859371	0.997897936923799	-1.95716978787161	1.96243845493848	0	GO:2000983	1	1
8	a1	0.00252248381412607	0.99992188615021	0.00252268087044066	0.997987194016532	-1.95728840039364	1.9623333680219	0	GO:1902954	1	1
9	a1	-0.000511778673647714	0.999914787819717	-0.000511822287140719	0.999591624917045	-1.9603087504093	1.95928519306201	0	GO:0042796	8	0.75
10	a1	-0.000442575177109759	0.999914791452452	-0.000442612891511371	0.999646846018982	-1.9602395540328	1.95935440367858	0	GO:0006627	5	0.8
11	a1	-0.000442575177109759	0.999914791452452	-0.000442612891511371	0.999646846018982	-1.9602395540328	1.95935440367858	0	GO:0140467	4	1
12	a1	-0.000442575177109759	0.999914791452452	-0.000442612891511371	0.999646846018982	-1.9602395540328	1.95935440367858	0	GO:0030242	5	0.8
13	a1	-0.000442575177109759	0.999914791452452	-0.000442612891511371	0.999646846018982	-1.9602395540328	1.95935440367858	0	GO:0019439	5	0.8
14	a1	-0.000442575177109759	0.999914791452452	-0.000442612891511371	0.999646846018982	-1.9602395540328	1.95935440367858	0	GO:0097021	5	0.8
15	a1	-0.000393492562800302	0.999914795082276	-0.000393526093158692	0.9996860116141	-1.96019047853281	1.95940349340721	0	GO:0014005	4	0.75
16	a1	-0.000393492562800302	0.999914795082276	-0.000393526093158692	0.9996860116141	-1.96019047853281	1.95940349340721	0	GO:0072674	4	0.75
17	a1	-0.000393492562800302	0.999914795082276	-0.000393526093158692	0.9996860116141	-1.96019047853281	1.95940349340721	0	GO:0019448	3	1
18	a1	-0.000393492562800302	0.999914795082276	-0.000393526093158692	0.9996860116141	-1.96019047853281	1.95940349340721	0	GO:0036071	4	0.75
19	a1	-0.000393492562800302	0.999914795082276	-0.000393526093158692	0.9996860116141	-1.96019047853281	1.95940349340721	0	GO:0071395	4	0.75
20	a1	-0.000393492562800302	0.999914795082276	-0.000393526093158692	0.9996860116141	-1.96019047853281	1.95940349340721	0	GO:0110053	4	0.75
21	a1	-0.000393492562800302	0.999914795082276	-0.000393526093158692	0.9996860116141	-1.96019047853281	1.95940349340721	0	GO:0015860	4	0.75
22	a1	-0.000393492562800302	0.999914795082276	-0.000393526093158692	0.9996860116141	-1.96019047853281	1.95940349340721	0	GO:0035696	4	0.75
23	a1	-0.000393492562800302	0.999914795082276	-0.000393526093158692	0.9996860116141	-1.96019047853281	1.95940349340721	0	GO:0140468	3	1
24	a1	-0.000393492562800302	0.999914795082276	-0.000393526093158692	0.9996860116141	-1.96019047853281	1.95940349340721	0	GO:0015709	4	0.75
25	a1	-0.000393492562800302	0.999914795082276	-0.000393526093158692	0.9996860116141	-1.96019047853281	1.95940349340721	0	GO:0071423	4	0.75
26	a1	-0.000393492562800302	0.999914795082276	-0.000393526093158692	0.9996860116141	-1.96019047853281	1.95940349340721	0	GO:1902356	4	0.75
27	a1	-0.000393492562800302	0.999914795082276	-0.000393526093158692	0.9996860116141	-1.96019047853281	1.95940349340721	0	GO:0032057	4	0.75
28	a1	-0.000393492562800302	0.999914795082276	-0.000393526093158692	0.9996860116141	-1.96019047853281	1.95940349340721	0	GO:0051280	3	1
29	a1	-0.000393492562800302	0.999914795082276	-0.000393526093158692	0.9996860116141	-1.96019047853281	1.95940349340721	0	GO:1905517	4	0.75
30	a1	-0.000393492562800302	0.999914795082276	-0.000393526093158692	0.9996860116141	-1.96019047853281	1.95940349340721	0	GO:0110032	3	1
31	a1	-0.000393492562800302	0.999914795082276	-0.000393526093158692	0.9996860116141	-1.96019047853281	1.95940349340721	0	GO:1905037	4	0.75
32	a1	-0.000393492562800302	0.999914795082276	-0.000393526093158692	0.9996860116141	-1.96019047853281	1.95940349340721	0	GO:0071603	4	0.75
33	a1	-0.000393492562800302	0.999914795082276	-0.000393526093158692	0.9996860116141	-1.96019047853281	1.95940349340721	0	GO:0097176	3	1
34	a1	-0.000393492562800302	0.999914795082276	-0.000393526093158692	0.9996860116141	-1.96019047853281	1.95940349340721	0	GO:2000676	3	1
35	a1	-0.000393492562800302	0.999914795082276	-0.000393526093158692	0.9996860116141	-1.96019047853281	1.95940349340721	0	GO:1903566	4	0.75
36	a1	-0.000393492562800302	0.999914795082276	-0.000393526093158692	0.9996860116141	-1.96019047853281	1.95940349340721	0	GO:0014048	3	1
37	a1	-0.000393492562800302	0.999914795082276	-0.000393526093158692	0.9996860116141	-1.96019047853281	1.95940349340721	0	GO:0016476	3	1
38	a1	-0.000393492562800302	0.999914795082276	-0.000393526093158692	0.9996860116141	-1.96019047853281	1.95940349340721	0	GO:0010510	4	0.75
