Parameter	Estimate	SE	z	pval	CI_Leftlim	CI_Rightlim	CONVERGED	GO_term	term_size	prop_rep
1	a1	2.61712458584027	0.809163753735247	3.23435716659224	0.00121916885276462	1.03119277092395	4.2030564007566	1	GO:0010847	4	0.75
2	a1	2.21176776044562	0.82673727179639	2.67529702107145	0.00746630696061076	0.59139248304779	3.83214303784344	1	GO:0006436	2	1
3	a1	2.00722681482153	0.84104598533886	2.386583908385	0.0170057261747926	0.358806974215363	3.6556466554277	1	GO:0030997	2	1
4	a1	1.53846646732536	0.840469333678355	1.83048495129761	0.0671774550181978	-0.108823156794592	3.18575609144531	1	GO:1904781	7	0.714285714285714
5	a1	0.00158320084021716	0.999951648328834	0.00158327739432509	0.998736727939388	-1.95828601616576	1.96145241784619	0	GO:0021999	1	1
6	a1	-0.000466534566901091	0.999951635267182	-0.000466557131812115	0.9996277412813	-1.96033572597251	1.95940265683871	0	GO:0000712	18	0.722222222222222
7	a1	-0.000430914855473868	0.999951635745116	-0.000430935697357773	0.999656163071021	-1.96030010719782	1.95943827748687	0	GO:0009086	12	0.75
8	a1	-0.000419508841061692	0.999951635946016	-0.000419529131191241	0.999665264193235	-1.96028870157716	1.95944968389504	0	GO:0051315	11	0.727272727272727
9	a1	-0.000419508841061692	0.999951635946016	-0.000419529131191241	0.999665264193235	-1.96028870157716	1.95944968389504	0	GO:0009268	9	0.888888888888889
10	a1	-0.000406579335063028	0.999951636189628	-0.000406598999739949	0.999675580944609	-1.96027577254863	1.95946261387851	0	GO:0097345	9	0.777777777777778
11	a1	-0.000406579335063028	0.999951636189628	-0.000406598999739949	0.999675580944609	-1.96027577254863	1.95946261387851	0	GO:0050650	9	0.777777777777778
12	a1	-0.000406579335063028	0.999951636189628	-0.000406598999739949	0.999675580944609	-1.96027577254863	1.95946261387851	0	GO:0051058	7	1
13	a1	-0.000406579335063028	0.999951636189628	-0.000406598999739949	0.999675580944609	-1.96027577254863	1.95946261387851	0	GO:0017185	8	0.875
14	a1	-0.000406579335063028	0.999951636189628	-0.000406598999739949	0.999675580944609	-1.96027577254863	1.95946261387851	0	GO:0006283	9	0.777777777777778
15	a1	-0.000391654822973216	0.999951636531648	-0.000391673765674986	0.999687489557487	-1.96026084870689	1.95947753906094	0	GO:0031062	7	0.857142857142857
16	a1	-0.000391654822973216	0.999951636531648	-0.000391673765674986	0.999687489557487	-1.96026084870689	1.95947753906094	0	GO:0034656	8	0.75
17	a1	-0.000391654822973216	0.999951636531648	-0.000391673765674986	0.999687489557487	-1.96026084870689	1.95947753906094	0	GO:0050667	7	0.857142857142857
18	a1	-0.000391654822973216	0.999951636531648	-0.000391673765674986	0.999687489557487	-1.96026084870689	1.95947753906094	0	GO:0090158	7	0.857142857142857
19	a1	-0.000391654822973216	0.999951636531648	-0.000391673765674986	0.999687489557487	-1.96026084870689	1.95947753906094	0	GO:0006924	6	1
20	a1	-0.000391654822973216	0.999951636531648	-0.000391673765674986	0.999687489557487	-1.96026084870689	1.95947753906094	0	GO:0006616	8	0.75
21	a1	-0.000391654822973216	0.999951636531648	-0.000391673765674986	0.999687489557487	-1.96026084870689	1.95947753906094	0	GO:0051223	7	0.857142857142857
22	a1	-0.000391654822973216	0.999951636531648	-0.000391673765674986	0.999687489557487	-1.96026084870689	1.95947753906094	0	GO:1990542	8	0.75
23	a1	-0.000391654822973216	0.999951636531648	-0.000391673765674986	0.999687489557487	-1.96026084870689	1.95947753906094	0	GO:0009437	8	0.75
24	a1	-0.000391654822973216	0.999951636531648	-0.000391673765674986	0.999687489557487	-1.96026084870689	1.95947753906094	0	GO:0032288	7	0.857142857142857
25	a1	-0.000391654822973216	0.999951636531648	-0.000391673765674986	0.999687489557487	-1.96026084870689	1.95947753906094	0	GO:2000253	8	0.75
26	a1	-0.000391654822973216	0.999951636531648	-0.000391673765674986	0.999687489557487	-1.96026084870689	1.95947753906094	0	GO:1901018	7	0.857142857142857
27	a1	-0.000374004877682957	0.999951636994849	-0.000374022966557615	0.999701572856556	-1.96024319966946	1.95949518991409	0	GO:0051791	6	0.833333333333333
