Parameter	Estimate	SE	z	pval	CI_Leftlim	CI_Rightlim	CONVERGED	GO_term	term_size	prop_rep
1	a1	2.07062781490665	0.762410407224756	2.71589657654848	0.00660965623195267	0.576330875307608	3.56492475450568	1	GO:0015936	5	0.8
2	a1	2.07062766158212	0.762410413077218	2.71589635459557	0.00660966066296058	0.576330710512466	3.56492461265177	1	GO:0038027	5	0.8
3	a1	2.05278160043398	0.763421667339064	2.68892237181194	0.00716830868285137	0.556502627431901	3.54906057343607	1	GO:0031581	5	0.8
4	a1	2.08613532747389	0.780414037946856	2.67311353465934	0.00751508114113214	0.556551920068574	3.6157187348792	1	GO:0010454	4	0.75
5	a1	2.08023021482921	0.780721486281847	2.66449720083435	0.00771035080676563	0.550044219760212	3.61041620989822	1	GO:0016569	3	1
6	a1	2.0715508570094	0.781278617329064	2.65148797248714	0.00801379671757424	0.540272905153182	3.60282880886561	1	GO:0140285	3	1
7	a1	1.98549659565134	0.755076186186599	2.62953147241843	0.00855026171361624	0.505574465141745	3.46541872616093	1	GO:0044387	7	0.714285714285714
8	a1	1.98549659565134	0.755076186186599	2.62953147241843	0.00855026171361624	0.505574465141745	3.46541872616093	1	GO:0090148	5	1
9	a1	1.96907196048827	0.820379842953036	2.40019544288217	0.0163863201988544	0.361157014657691	3.57698690631884	1	GO:0043933	2	1
10	a1	1.96368612240088	0.820615892487987	2.39294186278464	0.0167138892333015	0.355308527983234	3.57206371681853	1	GO:0097750	2	1
11	a1	1.95282089822386	0.82124725635147	2.37787205146912	0.0174128667818983	0.343205853372643	3.56243594307507	1	GO:0048250	2	1
12	a1	1.88411606313675	0.826498860362243	2.27963540362411	0.0226293213752035	0.264208063563351	3.50402406271014	1	GO:0030997	2	1
13	a1	1.72597021502166	0.783983689275701	2.20153842309683	0.027697929706305	0.189390419574446	3.26255001046888	1	GO:1904781	7	0.714285714285714
14	a1	0.031366427736786	0.998628171245861	0.0314095162142824	0.974942952055365	-1.9259088218522	1.98864167732577	0	GO:0034377	1	1
15	a1	0.00169851300883248	0.999943900937438	0.00169860829916572	0.998644707314975	-1.95815551938903	1.9615525454067	0	GO:0021999	1	1
16	a1	0.00169851295606947	0.999943900938321	0.00169860824639825	0.998644707357077	-1.95815551944353	1.96155254535567	0	GO:0023061	1	1
17	a1	0.00169621114164884	0.999943900960265	0.00169630630280352	0.998646544039685	-1.95815782130096	1.96155024358426	0	GO:2000689	1	1
18	a1	0.00169621114164884	0.999943900960265	0.00169630630280352	0.998646544039685	-1.95815782130096	1.96155024358426	0	GO:2000983	1	1
19	a1	-0.000652492641876924	0.999943883293494	-0.000652529259669875	0.999479357015185	-1.96050649045825	1.95920150517449	0	GO:0031929	19	0.789473684210526
20	a1	-0.000644734175979283	0.999943883376607	-0.000644770358314656	0.999485547721483	-1.96049873215525	1.95920926380329	0	GO:0030050	20	0.7
21	a1	-0.000617621275281371	0.999943883746066	-0.000617655935818709	0.999507181896257	-1.96047161997868	1.95923637742811	0	GO:0080009	15	0.733333333333333
22	a1	-0.000595067385481273	0.999943884127994	-0.000595100780080479	0.999525178303478	-1.96044906683744	1.95925893206648	0	GO:0006625	11	0.818181818181818
23	a1	-0.000595067385481273	0.999943884127994	-0.000595100780080479	0.999525178303478	-1.96044906683744	1.95925893206648	0	GO:0018026	12	0.75
24	a1	-0.000595067385481273	0.999943884127994	-0.000595100780080479	0.999525178303478	-1.96044906683744	1.95925893206648	0	GO:0071786	11	0.818181818181818
25	a1	-0.000595067385481273	0.999943884127994	-0.000595100780080479	0.999525178303478	-1.96044906683744	1.95925893206648	0	GO:0048208	12	0.75
26	a1	-0.000581831737452118	0.999943884390864	-0.000581864389126748	0.999535739413632	-1.96043583170463	1.95927216822972	0	GO:0051013	11	0.727272727272727
27	a1	-0.000581831737452118	0.999943884390864	-0.000581864389126748	0.999535739413632	-1.96043583170463	1.95927216822972	0	GO:0045945	11	0.727272727272727
28	a1	-0.000566828190260611	0.999943884720591	-0.000566859999767884	0.999547711182271	-1.96042082880369	1.95928717242317	0	GO:1904153	10	0.7
29	a1	-0.000566828190260611	0.999943884720591	-0.000566859999767884	0.999547711182271	-1.96042082880369	1.95928717242317	0	GO:0014029	9	0.777777777777778
30	a1	-0.000566828190260611	0.999943884720591	-0.000566859999767884	0.999547711182271	-1.96042082880369	1.95928717242317	0	GO:0002084	10	0.7
31	a1	-0.000566828190260611	0.999943884720591	-0.000566859999767884	0.999547711182271	-1.96042082880369	1.95928717242317	0	GO:2001241	10	0.7
