Parameter	Estimate	SE	z	pval	CI_Leftlim	CI_Rightlim	CONVERGED	GO_term	term_size	prop_rep
1	a1	2.08703771953816	0.779867844186705	2.67614280431661	0.00744749047422911	0.558524832231325	3.615550606845	1	GO:0002522	4	0.75
2	a1	2.0868593192053	0.779872858204363	2.67589684299341	0.00745295808599599	0.558336604604441	3.61538203380617	1	GO:0070105	4	0.75
3	a1	1.78174280555732	0.807989307881419	2.20515641503862	0.0274431204466504	0.198112862216296	3.36537274889835	1	GO:0017187	4	0.75
4	a1	0.385157877025955	0.974801941923725	0.395113982093495	0.692758770441938	-1.52541882120425	2.29573457525616	0	GO:1902954	1	1
5	a1	0.00157959842127184	0.999948007666617	0.00157968055254976	0.998739597800319	-1.95828248301788	1.96144167986042	0	GO:2000689	1	1
6	a1	0.00157959842127184	0.999948007666617	0.00157968055254976	0.998739597800319	-1.95828248301788	1.96144167986042	0	GO:2000983	1	1
7	a1	0.00157568982396619	0.999948011315189	0.00157577174626684	0.998742716572622	-1.95828639876625	1.96143777841419	0	GO:0032023	1	1
8	a1	-0.000549364628565291	0.999947993453442	-0.000549393200608357	0.999561647669476	-1.96041141821041	1.95931268895327	0	GO:0006625	11	0.727272727272727
9	a1	-0.000549364628565291	0.999947993453442	-0.000549393200608357	0.999561647669476	-1.96041141821041	1.95931268895327	0	GO:0034551	9	0.888888888888889
10	a1	-0.000549364628565291	0.999947993453442	-0.000549393200608357	0.999561647669476	-1.96041141821041	1.95931268895327	0	GO:0036289	9	0.888888888888889
11	a1	-0.000535460100710445	0.999947993745458	-0.000535487949433048	0.999572742453071	-1.96039751425489	1.95932659405347	0	GO:0002011	10	0.7
12	a1	-0.000535460100710445	0.999947993745458	-0.000535487949433048	0.999572742453071	-1.96039751425489	1.95932659405347	0	GO:0032872	10	0.7
13	a1	-0.000535460100710445	0.999947993745458	-0.000535487949433048	0.999572742453071	-1.96039751425489	1.95932659405347	0	GO:0042770	10	0.7
14	a1	-0.000535460100710445	0.999947993745458	-0.000535487949433048	0.999572742453071	-1.96039751425489	1.95932659405347	0	GO:0009268	9	0.777777777777778
15	a1	-0.000535460100710445	0.999947993745458	-0.000535487949433048	0.999572742453071	-1.96039751425489	1.95932659405347	0	GO:0006283	9	0.777777777777778
16	a1	-0.000535460100710445	0.999947993745458	-0.000535487949433048	0.999572742453071	-1.96039751425489	1.95932659405347	0	GO:0071044	10	0.7
17	a1	-0.000519410238368052	0.999947994133631	-0.000519437252152375	0.999585549054839	-1.96038146515335	1.95934264467662	0	GO:0051096	7	0.857142857142857
18	a1	-0.000519410238368052	0.999947994133631	-0.000519437252152375	0.999585549054839	-1.96038146515335	1.95934264467662	0	GO:0033615	8	0.75
19	a1	-0.000519410238368052	0.999947994133631	-0.000519437252152375	0.999585549054839	-1.96038146515335	1.95934264467662	0	GO:0045143	8	0.75
20	a1	-0.000519410238368052	0.999947994133631	-0.000519437252152375	0.999585549054839	-1.96038146515335	1.95934264467662	0	GO:1905146	8	0.75
21	a1	-0.000519410238368052	0.999947994133631	-0.000519437252152375	0.999585549054839	-1.96038146515335	1.95934264467662	0	GO:0007127	8	0.75
22	a1	-0.000519410238368052	0.999947994133631	-0.000519437252152375	0.999585549054839	-1.96038146515335	1.95934264467662	0	GO:0009437	8	0.75
23	a1	-0.000519410238368052	0.999947994133631	-0.000519437252152375	0.999585549054839	-1.96038146515335	1.95934264467662	0	GO:0051683	8	0.75
24	a1	-0.000500429231095246	0.999947994676148	-0.000500455257432982	0.99960069449339	-1.9603624852094	1.9593616267472	0	GO:0048254	7	0.714285714285714
25	a1	-0.000500429231095246	0.999947994676148	-0.000500455257432982	0.99960069449339	-1.9603624852094	1.9593616267472	0	GO:0060043	6	0.833333333333333
26	a1	-0.000500429231095246	0.999947994676148	-0.000500455257432982	0.99960069449339	-1.9603624852094	1.9593616267472	0	GO:0050667	7	0.714285714285714
27	a1	-0.000500429231095246	0.999947994676148	-0.000500455257432982	0.99960069449339	-1.9603624852094	1.9593616267472	0	GO:0003337	7	0.714285714285714
28	a1	-0.000500429231095246	0.999947994676148	-0.000500455257432982	0.99960069449339	-1.9603624852094	1.9593616267472	0	GO:0044571	7	0.714285714285714
29	a1	-0.000500429231095246	0.999947994676148	-0.000500455257432982	0.99960069449339	-1.9603624852094	1.9593616267472	0	GO:0071312	6	0.833333333333333
30	a1	-0.000500429231095246	0.999947994676148	-0.000500455257432982	0.99960069449339	-1.9603624852094	1.9593616267472	0	GO:0043631	7	0.714285714285714
31	a1	-0.000500429231095246	0.999947994676148	-0.000500455257432982	0.99960069449339	-1.9603624852094	1.9593616267472	0	GO:0030913	6	0.833333333333333
32	a1	-0.000500429231095246	0.999947994676148	-0.000500455257432982	0.99960069449339	-1.9603624852094	1.9593616267472	0	GO:0071651	7	0.714285714285714
33	a1	-0.000500429231095246	0.999947994676148	-0.000500455257432982	0.99960069449339	-1.9603624852094	1.9593616267472	0	GO:0006685	7	0.714285714285714
34	a1	-0.000500429231095246	0.999947994676148	-0.000500455257432982	0.99960069449339	-1.9603624852094	1.9593616267472	0	GO:0045162	6	0.833333333333333
35	a1	-0.000500429231095246	0.999947994676148	-0.000500455257432982	0.99960069449339	-1.9603624852094	1.9593616267472	0	GO:0007198	7	0.714285714285714
36	a1	-0.000500429231095246	0.999947994676148	-0.000500455257432982	0.99960069449339	-1.9603624852094	1.9593616267472	0	GO:0045661	6	0.833333333333333
37	a1	-0.000500429231095246	0.999947994676148	-0.000500455257432982	0.99960069449339	-1.9603624852094	1.9593616267472	0	GO:0016240	7	0.714285714285714
38	a1	-0.000500429231095246	0.999947994676148	-0.000500455257432982	0.99960069449339	-1.9603624852094	1.9593616267472	0	GO:0035520	6	0.833333333333333
39	a1	-0.000500429231095246	0.999947994676148	-0.000500455257432982	0.99960069449339	-1.9603624852094	1.9593616267472	0	GO:0071638	6	0.833333333333333
40	a1	-0.000477200670635592	0.999947995476225	-0.000477225488519856	0.999619229165141	-1.96033925821706	1.95938485687579	0	GO:0051304	5	0.8
41	a1	-0.000477200670635592	0.999947995476225	-0.000477225488519856	0.999619229165141	-1.96033925821706	1.95938485687579	0	GO:1990116	5	0.8
42	a1	-0.000477200670635592	0.999947995476225	-0.000477225488519856	0.999619229165141	-1.96033925821706	1.95938485687579	0	GO:0061732	5	0.8
43	a1	-0.000477200670635592	0.999947995476225	-0.000477225488519856	0.999619229165141	-1.96033925821706	1.95938485687579	0	GO:0019509	5	0.8
44	a1	-0.000477200670635592	0.999947995476225	-0.000477225488519856	0.999619229165141	-1.96033925821706	1.95938485687579	0	GO:0010543	5	0.8
45	a1	-0.000477200670635592	0.999947995476225	-0.000477225488519856	0.999619229165141	-1.96033925821706	1.95938485687579	0	GO:0035617	5	0.8
46	a1	-0.000477200670635592	0.999947995476225	-0.000477225488519856	0.999619229165141	-1.96033925821706	1.95938485687579	0	GO:0140467	4	1
47	a1	-0.000477200670635592	0.999947995476225	-0.000477225488519856	0.999619229165141	-1.96033925821706	1.95938485687579	0	GO:0046836	5	0.8
48	a1	-0.000477200670635592	0.999947995476225	-0.000477225488519856	0.999619229165141	-1.96033925821706	1.95938485687579	0	GO:0051047	5	0.8
49	a1	-0.000477200670635592	0.999947995476225	-0.000477225488519856	0.999619229165141	-1.96033925821706	1.95938485687579	0	GO:0009298	4	1
50	a1	-0.000477200670635592	0.999947995476225	-0.000477225488519856	0.999619229165141	-1.96033925821706	1.95938485687579	0	GO:0006167	5	0.8
51	a1	-0.000477200670635592	0.999947995476225	-0.000477225488519856	0.999619229165141	-1.96033925821706	1.95938485687579	0	GO:0006104	5	0.8
52	a1	-0.000477200670635592	0.999947995476225	-0.000477225488519856	0.999619229165141	-1.96033925821706	1.95938485687579	0	GO:0098535	5	0.8
53	a1	-0.000477200670635592	0.999947995476225	-0.000477225488519856	0.999619229165141	-1.96033925821706	1.95938485687579	0	GO:1905517	4	1
54	a1	-0.000477200670635592	0.999947995476225	-0.000477225488519856	0.999619229165141	-1.96033925821706	1.95938485687579	0	GO:0018406	5	0.8
55	a1	-0.000477200670635592	0.999947995476225	-0.000477225488519856	0.999619229165141	-1.96033925821706	1.95938485687579	0	GO:1905037	4	1
56	a1	-0.000477200670635592	0.999947995476225	-0.000477225488519856	0.999619229165141	-1.96033925821706	1.95938485687579	0	GO:1904179	5	0.8
57	a1	-0.000477200670635592	0.999947995476225	-0.000477225488519856	0.999619229165141	-1.96033925821706	1.95938485687579	0	GO:0016321	4	1
58	a1	-0.000477200670635592	0.999947995476225	-0.000477225488519856	0.999619229165141	-1.96033925821706	1.95938485687579	0	GO:0051969	4	1
59	a1	-0.000477200670635592	0.999947995476225	-0.000477225488519856	0.999619229165141	-1.96033925821706	1.95938485687579	0	GO:1903566	4	1
60	a1	-0.000477200670635592	0.999947995476225	-0.000477225488519856	0.999619229165141	-1.96033925821706	1.95938485687579	0	GO:0016447	5	0.8
61	a1	-0.000477200670635592	0.999947995476225	-0.000477225488519856	0.999619229165141	-1.96033925821706	1.95938485687579	0	GO:0007006	5	0.8
62	a1	-0.000477200670635592	0.999947995476225	-0.000477225488519856	0.999619229165141	-1.96033925821706	1.95938485687579	0	GO:0090168	4	1
63	a1	-0.000477200670635592	0.999947995476225	-0.000477225488519856	0.999619229165141	-1.96033925821706	1.95938485687579	0	GO:0051084	4	1
64	a1	-0.000477200670635592	0.999947995476225	-0.000477225488519856	0.999619229165141	-1.96033925821706	1.95938485687579	0	GO:2000112	4	1
65	a1	-0.000477200670635592	0.999947995476225	-0.000477225488519856	0.999619229165141	-1.96033925821706	1.95938485687579	0	GO:1904354	5	0.8
66	a1	-0.000477200670635592	0.999947995476225	-0.000477225488519856	0.999619229165141	-1.96033925821706	1.95938485687579	0	GO:0046500	4	1
67	a1	-0.000477200670635592	0.999947995476225	-0.000477225488519856	0.999619229165141	-1.96033925821706	1.95938485687579	0	GO:0036114	4	1
68	a1	-0.000477200670635592	0.999947995476225	-0.000477225488519856	0.999619229165141	-1.96033925821706	1.95938485687579	0	GO:1900024	5	0.8
69	a1	-0.000477200670635592	0.999947995476225	-0.000477225488519856	0.999619229165141	-1.96033925821706	1.95938485687579	0	GO:0014827	4	1
70	a1	-0.000447256063858605	0.999947996835634	-0.000447279323798798	0.999643122745074	-1.96030931627467	1.95941480414696	0	GO:0033076	4	0.75
71	a1	-0.000447256063858605	0.999947996835634	-0.000447279323798798	0.999643122745074	-1.96030931627467	1.95941480414696	0	GO:0090297	4	0.75
72	a1	-0.000447256063858605	0.999947996835634	-0.000447279323798798	0.999643122745074	-1.96030931627467	1.95941480414696	0	GO:0071659	4	0.75
73	a1	-0.000447256063858605	0.999947996835634	-0.000447279323798798	0.999643122745074	-1.96030931627467	1.95941480414696	0	GO:0097581	4	0.75
74	a1	-0.000447256063858605	0.999947996835634	-0.000447279323798798	0.999643122745074	-1.96030931627467	1.95941480414696	0	GO:0097068	3	1
75	a1	-0.000447256063858605	0.999947996835634	-0.000447279323798798	0.999643122745074	-1.96030931627467	1.95941480414696	0	GO:0032507	4	0.75
76	a1	-0.000447256063858605	0.999947996835634	-0.000447279323798798	0.999643122745074	-1.96030931627467	1.95941480414696	0	GO:0032970	4	0.75
77	a1	-0.000447256063858605	0.999947996835634	-0.000447279323798798	0.999643122745074	-1.96030931627467	1.95941480414696	0	GO:1903053	4	0.75
78	a1	-0.000447256063858605	0.999947996835634	-0.000447279323798798	0.999643122745074	-1.96030931627467	1.95941480414696	0	GO:0009994	4	0.75
