Parameter	Estimate	SE	z	pval	CI_Leftlim	CI_Rightlim	CONVERGED	GO_term	term_size	prop_rep
1	a1	2.59626933962264	0.711642958695509	3.64827517493011	0.000264006788236076	1.20147477072792	3.99106390851736	1	GO:0036109	10	0.7
2	a1	2.19373178689054	0.752319293674783	2.91595843059537	0.00354597742500803	0.719213066413353	3.66825050736772	1	GO:0034121	7	0.714285714285714
3	a1	2.19368875496847	0.75232072835901	2.91589567092406	0.00354669076726962	0.719167222561874	3.66821028737507	1	GO:0048261	7	0.714285714285714
4	a1	2.2505066640178	0.780041839596456	2.88511019509167	0.00391276678432529	0.721652751974376	3.77936057606122	1	GO:0071931	3	1
5	a1	2.2505066640178	0.780041839596456	2.88511019509167	0.00391276678432529	0.721652751974376	3.77936057606122	1	GO:2000672	4	0.75
6	a1	2.2504681562095	0.780042302719941	2.88505911584835	0.00391340169569255	0.721613336460729	3.77932297595828	1	GO:0070105	4	0.75
7	a1	2.25027550331348	0.780044699622293	2.88480327397018	0.00391658320038267	0.72141598572242	3.77913502090454	1	GO:0006664	3	1
8	a1	2.09305161848826	0.741433563583514	2.82297932180474	0.00475796402616481	0.639868536935385	3.54623470004114	1	GO:0042355	9	0.777777777777778
9	a1	2.08891677461445	0.761541208360427	2.74301213339699	0.0060878435971273	0.596323433484903	3.581510115744	1	GO:0032376	6	0.833333333333333
10	a1	2.14227992101529	0.788250430870704	2.71776562005671	0.00657243772806719	0.597337465710532	3.68722237632005	1	GO:0051049	3	1
11	a1	1.96433625342943	0.723997235019072	2.7131819824943	0.00666404983491489	0.545327747885472	3.38334475897339	1	GO:0006622	18	0.777777777777778
12	a1	1.9204096716219	0.731992346725459	2.62353791021557	0.00870217599750621	0.485731035081046	3.35508830816276	1	GO:0036065	13	0.846153846153846
13	a1	1.88460484155613	0.730608792549776	2.57949926249722	0.00989436698207235	0.452637921370276	3.31657176174199	1	GO:0060236	17	0.705882352941177
14	a1	2.10904801186415	0.820101357104574	2.571691893439	0.0101202912810278	0.501678888266765	3.71641713546154	1	GO:0001834	2	1
15	a1	2.08968843751433	0.820698834227937	2.54623054202359	0.0108893245257997	0.481148280273562	3.69822859475509	1	GO:0021691	2	1
16	a1	1.94663797315146	0.789640414132502	2.46522079963452	0.0136928843325277	0.398971200714459	3.49430474558845	1	GO:0043489	4	1
17	a1	1.83960682646779	0.753389098142677	2.44177521416617	0.0146152436653294	0.362991327763034	3.31622232517255	1	GO:1903238	11	0.818181818181818
18	a1	1.70345555533822	0.726095835468061	2.34604782472017	0.0189736727370337	0.2803338684963	3.12657724218014	1	GO:0046835	24	0.75
19	a1	1.63124973776266	0.756845953861535	2.15532596751002	0.0311363351319752	0.147858926349185	3.11464054917613	1	GO:0018146	16	0.8125
20	a1	1.16884365650162	0.770198121314303	1.51758829858874	0.129118218544847	-0.340716922234828	2.67840423523806	1	GO:0030488	37	0.810810810810811
21	a1	0.960319673961617	0.910959847919475	1.05418441455447	0.291798494149273	-0.825128819322638	2.74576816724587	1	GO:0071955	2	1
22	a1	0.820137000169742	0.92280251312718	0.888745954310932	0.374139627666255	-0.988522690402582	2.62879669074207	1	GO:0030997	2	1
23	a1	0.1449044992822	0.966032451323577	0.149999618629441	0.88076491614513	-1.74848431320895	2.03829331177335	1	GO:0006893	27	0.703703703703704
24	a1	0.0815055875862084	0.986851539801095	0.0825915391515084	0.93417632906908	-1.85268788851183	2.01569906368425	1	GO:0046456	6	0.833333333333333
25	a1	0.0323909843538191	0.988980145118349	0.0327519056006356	0.973872431386462	-1.90597448150334	1.97075645021098	1	GO:0043001	30	0.7
