Parameter	Estimate	SE	z	pval	CI_Leftlim	CI_Rightlim	CONVERGED	GO_term	term_size	prop_rep
1	a1	2.27846290306825	0.754262938183642	3.02078066907949	0.00252123918643729	0.800134709354947	3.75679109678155	1	GO:0060335	6	0.833333333333333
2	a1	2.22545238573931	0.748333086782981	2.9738794462588	0.00294060580352553	0.758746487204978	3.69215828427364	1	GO:0090267	7	0.857142857142857
3	a1	1.994714272323	0.732230274544452	2.72416252327725	0.00644647751265147	0.559569305826004	3.42985923882001	1	GO:0018146	16	0.75
4	a1	1.5034412006579	0.853816875303649	1.76084737154348	0.078264239522577	-0.17000912432978	3.17689152564558	1	GO:0010956	3	1
5	a1	0.00109312358013361	0.999966487520353	0.00109316021464305	0.999127784515969	-1.95880517770678	1.96099142486705	0	GO:2000689	1	1
6	a1	0.00109312358013361	0.999966487520353	0.00109316021464305	0.999127784515969	-1.95880517770678	1.96099142486705	0	GO:2000983	1	1
7	a1	0.00109312356307478	0.999966487520907	0.00109316019758304	0.99912778452958	-1.95880517772492	1.96099142485107	0	GO:0035623	1	1
8	a1	0.00109149532947544	0.999966487521018	0.00109153190941561	0.999129083714795	-1.95880680595874	1.96098979661769	0	GO:0060330	1	1
9	a1	-0.000385288815459597	0.99996648119094	-0.000385301730314726	0.999692573705738	-1.96028357769695	1.95951300006603	0	GO:0000038	22	0.727272727272727
10	a1	-0.000380956727512212	0.999966481222105	-0.000380969497144172	0.999696030327445	-1.96027924567009	1.95951733221506	0	GO:0043046	20	0.75
11	a1	-0.000376326081734686	0.999966481250192	-0.000376338696137284	0.999699725171807	-1.96027461507936	1.95952196291589	0	GO:0000712	18	0.777777777777778
12	a1	-0.000371352394729019	0.99996648129228	-0.000371364842398629	0.999703693732636	-1.96026964147484	1.95952693668539	0	GO:1903146	17	0.764705882352941
13	a1	-0.000365980947124406	0.999966481328451	-0.000365993214730759	0.999707979671127	-1.96026427009813	1.95953230820388	0	GO:0008272	17	0.705882352941177
14	a1	-0.000353746976001833	0.999966481448683	-0.000353758833485447	0.999717741294402	-1.96025203636266	1.95954454241066	0	GO:0048745	14	0.714285714285714
15	a1	-0.000353746976001833	0.999966481448683	-0.000353758833485447	0.999717741294402	-1.96025203636266	1.95954454241066	0	GO:1902018	13	0.769230769230769
16	a1	-0.000353746976001833	0.999966481448683	-0.000353758833485447	0.999717741294402	-1.96025203636266	1.95954454241066	0	GO:0019985	14	0.714285714285714
17	a1	-0.000353746976001833	0.999966481448683	-0.000353758833485447	0.999717741294402	-1.96025203636266	1.95954454241066	0	GO:0061462	14	0.714285714285714
18	a1	-0.000353746976001833	0.999966481448683	-0.000353758833485447	0.999717741294402	-1.96025203636266	1.95954454241066	0	GO:0043928	13	0.769230769230769
19	a1	-0.000353746976001833	0.999966481448683	-0.000353758833485447	0.999717741294402	-1.96025203636266	1.95954454241066	0	GO:0018022	14	0.714285714285714
20	a1	-0.000346678014756029	0.999966481521371	-0.000346689635265159	0.999723381698173	-1.96024496754388	1.95955161151437	0	GO:0044598	10	0.9
21	a1	-0.000346678014756029	0.999966481521371	-0.000346689635265159	0.999723381698173	-1.96024496754388	1.95955161151437	0	GO:2000234	10	0.9
22	a1	-0.000346678014756029	0.999966481521371	-0.000346689635265159	0.999723381698173	-1.96024496754388	1.95955161151437	0	GO:0048208	12	0.75
23	a1	-0.000338776171052951	0.999966481611252	-0.000338787526664973	0.999729686668252	-1.96023706587634	1.95955951353424	0	GO:0033314	11	0.727272727272727
24	a1	-0.000338776171052951	0.999966481611252	-0.000338787526664973	0.999729686668252	-1.96023706587634	1.95955951353424	0	GO:0000076	11	0.727272727272727
