Parameter	Estimate	SE	z	pval	CI_Leftlim	CI_Rightlim	CONVERGED	GO_term	term_size	prop_rep
1	a1	2.15128756790136	0.760880250924368	2.82736681007008	0.00469325342661917	0.659989679541795	3.64258545626092	1	GO:0031581	5	0.8
2	a1	2.10394520056116	0.750750965805869	2.80245420437489	0.00507154161457977	0.632500346222999	3.57539005489933	1	GO:2001140	7	0.714285714285714
3	a1	2.1697795954912	0.778813160515391	2.78600787132991	0.00533615759338164	0.643333850195225	3.69622534078718	1	GO:0035621	4	0.75
4	a1	2.16977959322265	0.778813160587139	2.78600786816041	0.00533615764555733	0.643333847786047	3.69622533865925	1	GO:0002522	4	0.75
5	a1	2.16977959322265	0.778813160587139	2.78600786816041	0.00533615764555733	0.643333847786047	3.69622533865925	1	GO:0071464	4	0.75
6	a1	2.16974690920736	0.77881421082713	2.78596214481373	0.00533691038318765	0.643299105338203	3.69619471307652	1	GO:0009750	4	0.75
7	a1	2.08103599124404	0.752450193103047	2.76567939023579	0.0056804352104841	0.606260712601854	3.55581126988622	1	GO:0051645	6	0.833333333333333
8	a1	2.10871982370369	0.783380999106045	2.6918189566891	0.00710635101556934	0.573321279282843	3.64411836812455	1	GO:0043489	4	0.75
9	a1	2.01182062065919	0.773925300691144	2.59950232776026	0.00933590453100925	0.494954904580215	3.52868633673816	1	GO:1900024	5	0.8
10	a1	1.86279592188091	0.731760004477372	2.5456377917393	0.0109078304617189	0.428572667778397	3.29701917598343	1	GO:0071498	14	0.714285714285714
11	a1	2.04101260789231	0.819284895398313	2.4912122991112	0.0127308024623293	0.435243719833952	3.64678149595067	1	GO:0014866	2	1
12	a1	2.03133235870862	0.819589925209644	2.47847404687047	0.013194570990849	0.424965623205837	3.63769909421139	1	GO:0021691	2	1
13	a1	1.61469763408926	0.852606109175513	1.89383774841903	0.0582465494545831	-0.0563796328935684	3.28577490107209	1	GO:0006436	2	1
14	a1	1.4633453462436	0.777714670627122	1.88159668514882	0.0598907966519733	-0.0609473984339897	2.98763809092119	1	GO:0010633	14	0.785714285714286
15	a1	1.43283060656752	0.771412608216059	1.85741144402739	0.0632526395523002	-0.0791103227560574	2.94477153589111	1	GO:0006622	18	0.722222222222222
16	a1	1.34144233262238	0.857081789741355	1.5651275627116	0.117553001955433	-0.338407107075805	3.02129177232057	1	GO:0033600	4	0.75
17	a1	0.614703443684219	0.918519501907352	0.66923287138461	0.503346940597132	-1.18556169915186	2.4149685865203	1	GO:0043009	5	1
