Parameter	Estimate	SE	z	pval	CI_Leftlim	CI_Rightlim	CONVERGED	GO_term	term_size	prop_rep
1	a1	2.28461161231678	0.781338904455541	2.92397012268161	0.00345597916365825	0.75321549986394	3.81600772476963	1	GO:0034088	4	0.75
2	a1	2.18264844559051	0.747630967327233	2.91941952778312	0.00350683923050432	0.717318675902289	3.64797821527873	1	GO:0035520	6	1
3	a1	2.28034393706067	0.78135219004948	2.91845849554254	0.00351766700361134	0.748921785322195	3.81176608879915	1	GO:0043988	3	1
4	a1	2.28034393706067	0.78135219004948	2.91845849554254	0.00351766700361134	0.748921785322195	3.81176608879915	1	GO:0044878	4	0.75
5	a1	2.27680766790986	0.781412679919628	2.91370709283095	0.00357164850578133	0.745266958204466	3.80834837761526	1	GO:0019388	4	0.75
6	a1	2.17605798347169	0.747843297644254	2.90977801141815	0.00361685551079657	0.710312054009283	3.64180391293409	1	GO:0036089	7	0.857142857142857
7	a1	2.26713416790209	0.781759216406706	2.90004149656565	0.00373113261118752	0.734914259162694	3.79935407664149	1	GO:0070105	4	0.75
8	a1	2.26713416790209	0.781759216406706	2.90004149656565	0.00373113261118752	0.734914259162694	3.79935407664149	1	GO:0010957	4	0.75
9	a1	2.15379241393287	0.749219220177231	2.87471591215103	0.00404391172127292	0.685349725860313	3.62223510200543	1	GO:0034121	7	0.857142857142857
10	a1	2.12004532724211	0.743847176825634	2.85010872298985	0.00437042868585563	0.662131650662072	3.57795900382215	1	GO:0006012	9	0.777777777777778
11	a1	2.00171885762257	0.735496026448991	2.72159030863424	0.0064968630896218	0.560173135010226	3.44326458023491	1	GO:0042769	12	0.833333333333333
12	a1	1.9173048657512	0.733246420180686	2.61481653777285	0.00892753945122093	0.480168290404132	3.35444144109827	1	GO:0007051	17	0.705882352941177
13	a1	1.92201870061758	0.742933040040641	2.58706854727102	0.00967963338322769	0.465896699213073	3.37814070202209	1	GO:0000028	14	0.714285714285714
14	a1	1.79935189775334	0.707121994827477	2.54461310907511	0.0109398874549006	0.413418255215369	3.18528554029132	1	GO:0030488	37	0.756756756756757
15	a1	2.05385875198267	0.82582627782755	2.48703487298277	0.0128812771510942	0.435268989953904	3.67244851401144	1	GO:0021691	2	1
16	a1	1.89239642926529	0.814634677176828	2.32300009106355	0.0201791475466634	0.295741801441298	3.48905105708929	1	GO:0017187	4	0.75
17	a1	1.9171392844758	0.836237727801685	2.29257688422598	0.0218723764694635	0.278143455470889	3.55613511348071	1	GO:0036416	2	1
18	a1	0.970511398369943	0.891798031212141	1.08826367002719	0.276478723934607	-0.77738062428958	2.71840342102947	1	GO:0009298	4	1
19	a1	0.75961948983186	0.88126667873602	0.861963249219141	0.388707741669486	-0.967631461265968	2.48687044092969	1	GO:0006622	18	0.722222222222222
20	a1	0.408000638635148	0.91854245599639	0.44418266784693	0.656910522170613	-1.39230949338874	2.20831077065904	1	GO:0042073	31	0.709677419354839
21	a1	0.0481981221652789	0.985827545999238	0.0488910280108121	0.961006138923242	-1.88398836296073	1.98038460729129	1	GO:0043001	30	0.7
22	a1	0.00119318480183174	0.999962866188581	0.00119322911097653	0.999047941140774	-1.95869801880523	1.96108438840889	0	GO:0042023	1	1
23	a1	0.00119318480183174	0.999962866188581	0.00119322911097653	0.999047941140774	-1.95869801880523	1.96108438840889	0	GO:1990261	1	1
24	a1	0.00119243113133265	0.999962866186845	0.00119247541249181	0.999048542504731	-1.95869877247233	1.961083634735	0	GO:1905116	1	1
25	a1	0.00119189769312916	0.999962866187891	0.00119194195447774	0.999048968142342	-1.95869930591258	1.96108310129884	0	GO:0019402	1	1
26	a1	0.00119189769312916	0.999962866187891	0.00119194195447774	0.999048968142342	-1.95869930591258	1.96108310129884	0	GO:0061623	1	1
27	a1	0.0011701404734519	0.999963448042844	0.00117018324593977	0.999066329067838	-1.95872220354701	1.96106248449392	0	GO:0048852	1	1
28	a1	0.00104636130487071	0.999967304061697	0.001046395517754	0.999165097324253	-1.95885354037367	1.96094626298341	0	GO:0061611	1	1
29	a1	-0.000524577956055363	0.999962858044922	-0.000524597440629937	0.999581431820683	-1.96041576560184	1.95936660968973	0	GO:0032508	79	0.721518987341772
30	a1	-0.000520540610486088	0.99996285804887	-0.000520559945098129	0.999584653275592	-1.96041172826401	1.95937064704304	0	GO:0031398	76	0.710526315789474
31	a1	-0.000499990565402245	0.999962858096274	-0.000500009136693462	0.999601050446195	-1.96039117831184	1.95939119718103	0	GO:0042110	57	0.719298245614035
32	a1	-0.000498149197616179	0.999962858106463	-0.000498167700507875	0.999602519699515	-1.96038933696402	1.95939303856879	0	GO:0051496	56	0.714285714285714
33	a1	-0.000488194746736967	0.999962858137564	-0.00048821287987259	0.999610462496239	-1.9603793825741	1.95940299308062	0	GO:0031122	46	0.760869565217391
34	a1	-0.000488194746736967	0.999962858137564	-0.00048821287987259	0.999610462496239	-1.9603793825741	1.95940299308062	0	GO:0006635	49	0.714285714285714
35	a1	-0.000481516882749863	0.999962858158136	-0.000481534767838062	0.9996157908581	-1.96037270475043	1.95940967098493	0	GO:0010212	44	0.727272727272727
36	a1	-0.000479151420782885	0.999962858165775	-0.000479169218006546	0.999617678293571	-1.96037033930344	1.95941203646187	0	GO:0007029	42	0.738095238095238
37	a1	-0.00047156940133281	0.99996285819591	-0.000471586916921689	0.999623728093858	-1.96036275734305	1.95941961854038	0	GO:0097009	39	0.717948717948718
38	a1	-0.00046886089861407	0.999962858199074	-0.000468878313599053	0.999625889246392	-1.96036004884653	1.9594223270493	0	GO:0036297	36	0.75
39	a1	-0.000466050201142885	0.999962858220592	-0.000466067511719594	0.99962813194157	-1.96035723819124	1.95942513778895	0	GO:0006479	37	0.702702702702703
40	a1	-0.000463129680462398	0.999962858230999	-0.000463146882556923	0.999630462266235	-1.96035431769095	1.95942805833003	0	GO:0032008	35	0.714285714285714
41	a1	-0.000460090214188405	0.999962858241557	-0.000460107303382725	0.999632887499271	-1.96035127824537	1.95943109781699	0	GO:0090503	34	0.705882352941177
42	a1	-0.000457787942926402	0.999962858337816	-0.000457804946563073	0.999634724514038	-1.96034897616277	1.95943340027692	0	GO:1900182	34	0.705882352941177
43	a1	-0.000456921652703331	0.999962858254079	-0.000456938624201612	0.999635415739202	-1.96034810970843	1.95943426640302	0	GO:0006693	32	0.71875
44	a1	-0.000450149581645683	0.999962858297236	-0.000450166301588652	0.9996408192703	-1.96034133772196	1.95944103855867	0	GO:0008652	30	0.7
45	a1	-0.000450149581645683	0.999962858297236	-0.000450166301588652	0.9996408192703	-1.96034133772196	1.95944103855867	0	GO:0032007	29	0.724137931034483
46	a1	-0.000449541277584015	0.99996285828395	-0.000449557974938668	0.999641304644693	-1.96034072939186	1.95944164683669	0	GO:0046488	29	0.724137931034483
47	a1	-0.000446518180558578	0.999962858312646	-0.000446534765613235	0.999643716816496	-1.96033770635107	1.95944466998996	0	GO:0007020	25	0.8
48	a1	-0.000446518180558578	0.999962858312646	-0.000446534765613235	0.999643716816496	-1.96033770635107	1.95944466998996	0	GO:0001510	28	0.714285714285714
49	a1	-0.000446518180558578	0.999962858312646	-0.000446534765613235	0.999643716816496	-1.96033770635107	1.95944466998996	0	GO:0051894	26	0.769230769230769
50	a1	-0.000446518180558578	0.999962858312646	-0.000446534765613235	0.999643716816496	-1.96033770635107	1.95944466998996	0	GO:0090316	26	0.769230769230769
51	a1	-0.000438677293955817	0.999962858358037	-0.000438693587755985	0.999649973170634	-1.96032986555343	1.95945251096552	0	GO:0030050	20	0.9
52	a1	-0.000438677293955817	0.999962858358037	-0.000438693587755985	0.999649973170634	-1.96032986555343	1.95945251096552	0	GO:0045742	23	0.782608695652174
53	a1	-0.000438677293955817	0.999962858358037	-0.000438693587755985	0.999649973170634	-1.96032986555343	1.95945251096552	0	GO:0051016	24	0.75
54	a1	-0.000438677293955817	0.999962858358037	-0.000438693587755985	0.999649973170634	-1.96032986555343	1.95945251096552	0	GO:0010821	22	0.818181818181818
55	a1	-0.000438677293955817	0.999962858358037	-0.000438693587755985	0.999649973170634	-1.96032986555343	1.95945251096552	0	GO:0097352	25	0.72
56	a1	-0.000438677293955817	0.999962858358037	-0.000438693587755985	0.999649973170634	-1.96032986555343	1.95945251096552	0	GO:0043277	22	0.818181818181818
57	a1	-0.000438677293955817	0.999962858358037	-0.000438693587755985	0.999649973170634	-1.96032986555343	1.95945251096552	0	GO:0042098	25	0.72
58	a1	-0.000434424170025861	0.999962858384627	-0.000434440305840603	0.999653366798283	-1.96032561248162	1.95945676414157	0	GO:0070269	24	0.708333333333333
59	a1	-0.000434424170025861	0.999962858384627	-0.000434440305840603	0.999653366798283	-1.96032561248162	1.95945676414157	0	GO:0010613	22	0.772727272727273
60	a1	-0.000434424170025861	0.999962858384627	-0.000434440305840603	0.999653366798283	-1.96032561248162	1.95945676414157	0	GO:0008361	23	0.739130434782609
61	a1	-0.000434424170025861	0.999962858384627	-0.000434440305840603	0.999653366798283	-1.96032561248162	1.95945676414157	0	GO:0035458	23	0.739130434782609
62	a1	-0.000434424170025861	0.999962858384627	-0.000434440305840603	0.999653366798283	-1.96032561248162	1.95945676414157	0	GO:0000038	22	0.772727272727273
63	a1	-0.000434424170025861	0.999962858384627	-0.000434440305840603	0.999653366798283	-1.96032561248162	1.95945676414157	0	GO:0007031	24	0.708333333333333
64	a1	-0.000434424170025861	0.999962858384627	-0.000434440305840603	0.999653366798283	-1.96032561248162	1.95945676414157	0	GO:0031929	19	0.894736842105263
65	a1	-0.000429913514397627	0.999962858416781	-0.000429929482659286	0.99965696591412	-1.96032110188901	1.95946127486022	0	GO:2000251	20	0.8
66	a1	-0.000429913514397627	0.999962858416781	-0.000429929482659286	0.99965696591412	-1.96032110188901	1.95946127486022	0	GO:0032211	22	0.727272727272727
67	a1	-0.000429913514397627	0.999962858416781	-0.000429929482659286	0.99965696591412	-1.96032110188901	1.95946127486022	0	GO:0001825	21	0.761904761904762
68	a1	-0.000429913514397627	0.999962858416781	-0.000429929482659286	0.99965696591412	-1.96032110188901	1.95946127486022	0	GO:0080111	19	0.842105263157895
69	a1	-0.000425112094109718	0.999962858452824	-0.000425127884017078	0.999660797035194	-1.96031630053937	1.95946607635115	0	GO:0042176	19	0.789473684210526
70	a1	-0.000425112094109718	0.999962858452824	-0.000425127884017078	0.999660797035194	-1.96031630053937	1.95946607635115	0	GO:0038096	21	0.714285714285714
71	a1	-0.000425112094109718	0.999962858452824	-0.000425127884017078	0.999660797035194	-1.96031630053937	1.95946607635115	0	GO:0050730	21	0.714285714285714
72	a1	-0.000425112094109718	0.999962858452824	-0.000425127884017078	0.999660797035194	-1.96031630053937	1.95946607635115	0	GO:2000114	20	0.75
73	a1	-0.000425112094109718	0.999962858452824	-0.000425127884017078	0.999660797035194	-1.96031630053937	1.95946607635115	0	GO:0051604	20	0.75
74	a1	-0.000425112094109718	0.999962858452824	-0.000425127884017078	0.999660797035194	-1.96031630053937	1.95946607635115	0	GO:0060135	20	0.75
75	a1	-0.000425112094109718	0.999962858452824	-0.000425127884017078	0.999660797035194	-1.96031630053937	1.95946607635115	0	GO:0006977	21	0.714285714285714
76	a1	-0.000425112094109718	0.999962858452824	-0.000425127884017078	0.999660797035194	-1.96031630053937	1.95946607635115	0	GO:1903146	17	0.882352941176471
77	a1	-0.000419979800151259	0.999962858489782	-0.000419995399414678	0.999664892165051	-1.96031116831785	1.95947120871754	0	GO:0002720	17	0.823529411764706
78	a1	-0.000419979800151259	0.999962858489782	-0.000419995399414678	0.999664892165051	-1.96031116831785	1.95947120871754	0	GO:0048024	20	0.7
79	a1	-0.000419979800151259	0.999962858489782	-0.000419995399414678	0.999664892165051	-1.96031116831785	1.95947120871754	0	GO:0051298	20	0.7
80	a1	-0.000419979800151259	0.999962858489782	-0.000419995399414678	0.999664892165051	-1.96031116831785	1.95947120871754	0	GO:2000145	18	0.777777777777778
81	a1	-0.000419979800151259	0.999962858489782	-0.000419995399414678	0.999664892165051	-1.96031116831785	1.95947120871754	0	GO:0050775	20	0.7
82	a1	-0.000419979800151259	0.999962858489782	-0.000419995399414678	0.999664892165051	-1.96031116831785	1.95947120871754	0	GO:0010165	19	0.736842105263158
83	a1	-0.000419979800151259	0.999962858489782	-0.000419995399414678	0.999664892165051	-1.96031116831785	1.95947120871754	0	GO:0031589	19	0.736842105263158
84	a1	-0.000419979800151259	0.999962858489782	-0.000419995399414678	0.999664892165051	-1.96031116831785	1.95947120871754	0	GO:0006801	20	0.7
85	a1	-0.000419979800151259	0.999962858489782	-0.000419995399414678	0.999664892165051	-1.96031116831785	1.95947120871754	0	GO:0060339	19	0.736842105263158
86	a1	-0.000419979800151259	0.999962858489782	-0.000419995399414678	0.999664892165051	-1.96031116831785	1.95947120871754	0	GO:0046328	19	0.736842105263158
87	a1	-0.000419979800151259	0.999962858489782	-0.000419995399414678	0.999664892165051	-1.96031116831785	1.95947120871754	0	GO:0030837	20	0.7
88	a1	-0.000419979800151259	0.999962858489782	-0.000419995399414678	0.999664892165051	-1.96031116831785	1.95947120871754	0	GO:0007250	18	0.777777777777778
89	a1	-0.000419979800151259	0.999962858489782	-0.000419995399414678	0.999664892165051	-1.96031116831785	1.95947120871754	0	GO:0038084	15	0.933333333333333
90	a1	-0.000419979800151259	0.999962858489782	-0.000419995399414678	0.999664892165051	-1.96031116831785	1.95947120871754	0	GO:0034067	20	0.7
91	a1	-0.000419979800151259	0.999962858489782	-0.000419995399414678	0.999664892165051	-1.96031116831785	1.95947120871754	0	GO:0045190	17	0.823529411764706
