trait	hgnc_symbol
Urate_all	DNAJC13
Urate_all	WNT6
Urate_all	DDX1
Urate_all	NDUFAF6
Urate_all	MUC1
Urate_all	MLXIPL
Urate_all	NAA38
Urate_all	HSP90AA1
Urate_all	SLC15A2
Urate_all	DNAJC16
Urate_all	PLEKHA6
Urate_all	EMILIN2
Urate_all	NTAN1P2
Urate_all	ABHD12
Urate_all	DR1
Urate_all	SCRIB
Urate_all	WBP4
Urate_all	LAYN
Urate_all	ZC3HC1
Urate_all	OPRL1
Urate_all	ARL6IP5
Urate_all	GLIS1
Urate_all	SLC16A9
Urate_all	NFATC3
Urate_all	PARP6
Urate_all	AS3MT
Urate_all	ADO
Urate_all	USP38
Urate_all	RRBP1
Urate_all	RMDN1
Urate_all	ZMIZ2
Urate_all	RGS19
Urate_all	CNTFR-AS1
Urate_all	SHROOM3
Urate_all	APOL6
Urate_all	MLLT3
Urate_all	LSM12
Urate_all	CLHC1
Urate_all	TEX14
Urate_all	ZNF660
Urate_all	ORC4
Urate_all	MRPL45P2
Urate_all	RRAS2
Urate_all	MIR3936HG
Urate_all	KLHL18
Urate_all	SHISA4
Urate_all	PNRC2
Urate_all	CENPS
Urate_all	WDR48
Urate_all	EFCAB13-DT
Urate_all	MLXIP
Urate_all	LINC02985
Urate_all	ELAVL2
Urate_all	NDUFA6-DT
Urate_all	CYB5D1
Urate_all	ZSWIM7
Urate_all	AGMAT
Urate_all	KRT18P63
Urate_all	CCDC144B
Urate_all	SLC12A4
Urate_all	LMF1
Urate_all	ZSCAN9
Urate_all	SAMM50
Urate_all	SPPL2A
Urate_all	LRRC8C-DT
Urate_all	RPL22P24
Urate_all	PYGB
Urate_all	THUMPD3-AS1
Urate_all	NAGA
Urate_all	ACYP2
Urate_all	TRIM13
Urate_all	DZIP1
Urate_all	MCM6
Urate_all	ZNF217
Urate_all	TMEM258
Urate_all	RPL21
Urate_all	LRIT3
Urate_all	TUBAP8
Urate_all	PDE9A
Urate_all	ZCRB1
Urate_all	FAAP20
Urate_all	LCAT
Urate_all	HTR2B
Urate_all	TAF9
Urate_all	SPAG5
Urate_all	DUT
Urate_all	TTC21A
Urate_all	DSCC1
Urate_all	C3orf38
Urate_all	MYO9A
Urate_all	CABLES2
Urate_all	PHETA2
Urate_all	ACVR2A
Urate_all	RN7SL40P
Urate_all	NDUFC2
Urate_all	ZNF816
Urate_all	ZNF197
Urate_all	SMIM1
Urate_all	GATAD2A
Urate_all	USP34
Urate_all	LYST-AS1
Urate_all	PLPP5
Urate_all	LRRC8C
Urate_all	CDCA4P1
Urate_all	CAND1
Urate_all	MPZL2
Urate_all	ZNF90
Urate_all	ZNF558
Urate_all	ZNF321P
Urate_all	PMS2P9
Urate_all	ARMC9
Urate_all	SLC25A21
Urate_all	SWT1
Urate_all	SPRYD7
Urate_all	DCP2
Urate_all	TMEM241
Urate_all	RPS20
Urate_all	CCDC18-AS1
Urate_all	PDGFC
Urate_all	NR2E3
Urate_all	CORT
Urate_all	TSPAN1
Urate_all	HROB
Urate_all	CTRL
Urate_all	OAZ1
Urate_all	MARK3
Urate_all	TRMT61A
Urate_all	RTN4RL2
Urate_all	BCL7B
Urate_all	WDR61
Urate_all	PTPN23-DT
Urate_all	LINC02340
Urate_all	PSRC1
Urate_all	FGFRL1
Urate_all	SH3RF3
Urate_all	CHID1
Urate_all	KDM7A
Urate_all	C20orf204
Urate_all	ZNF276
Urate_all	FARP2
Urate_all	PALS2
Urate_all	AKR1C4
Urate_all	RAI14-DT
Urate_all	PTPN23
Urate_all	ERFE
Urate_all	HSPB2
Urate_all	SLC2A3P4
Urate_all	AANAT
Urate_all	SUN1
Urate_all	DYNC2H1
Urate_all	KIF9
Urate_all	TNK2
Urate_all	ARHGEF26
Urate_all	RMI1
Urate_all	UGGT2
Urate_all	TRIM8-DT
Urate_all	ZNF852
Urate_all	GLUD1
Urate_all	CCNL1
Urate_all	KLHL2P1
Urate_all	TSNAXIP1
Urate_all	KCNRG
Urate_all	TSEN2
Urate_all	MYOCD
Urate_all	CENPE
Urate_all	GAS8
Urate_all	C4orf3
Urate_all	TMEM151A
Urate_all	EIF3M
Urate_all	SLC22A3
Urate_all	TRIM8
Urate_all	RANBP10
Urate_all	ESRP2
Urate_all	LSM1
Urate_all	PDE6D
Urate_all	TRIM27
Urate_all	TSNAX
Urate_all	WDR20
Urate_all	CRYAB
Urate_all	HLA-J
Urate_all	NOP58
Urate_all	UBE2D3-AS1
Urate_all	RNF145
Urate_all	FIGNL2-DT
Urate_all	SHLD2
Urate_all	ZSCAN12P1
Urate_all	DDHD2
Urate_all	FADS1
Urate_all	RRH
Urate_all	TMEM69
Urate_all	PPHLN1
Urate_all	SPAG5-AS1
Urate_all	ARMC2
Urate_all	TMED5
Urate_all	B4GALT1-AS1
Urate_all	ZNF710-AS1
Urate_all	BICC1
Urate_all	USP38-DT
Urate_all	SOAT1
Urate_all	FRS3
Urate_all	ICAM5
Urate_all	HERC4
Urate_all	AMPD3
