Trait	Pathway	Core_gene	Implicated_by_intact	Implicated_by_proximity
IGF_1_all	Downstream signaling	AKT3	NO	YES
IGF_1_all	Downstream signaling	FOXO1	YES	NO
IGF_1_all	Downstream signaling	FOXO3	NO	YES
IGF_1_all	Downstream signaling	IGF1R	YES	YES
IGF_1_all	Downstream signaling	IGF2R	YES	YES
IGF_1_all	Downstream signaling	INSR	YES	YES
IGF_1_all	Downstream signaling	IRS1	NO	YES
IGF_1_all	Downstream signaling	IRS2	NO	YES
IGF_1_all	Downstream signaling	PIK3C2B	YES	NO
IGF_1_all	Downstream signaling	PIK3CA	NO	YES
IGF_1_all	Downstream signaling	PIK3R2	YES	NO
IGF_1_all	Downstream signaling	SH2B1	YES	YES
IGF_1_all	Growth hormone secretion	ADCY1	NO	YES
IGF_1_all	Growth hormone secretion	ADCY3	NO	YES
IGF_1_all	Growth hormone secretion	ADCY4	NO	YES
IGF_1_all	Growth hormone secretion	CREB3L2	YES	YES
IGF_1_all	Growth hormone secretion	EP300	NO	YES
IGF_1_all	Growth hormone secretion	FOS	NO	YES
IGF_1_all	Growth hormone secretion	GH1	NO	YES
IGF_1_all	Growth hormone secretion	GH2	NO	YES
IGF_1_all	Growth hormone secretion	GHRHR	YES	YES
IGF_1_all	Growth hormone secretion	GHSR	YES	YES
IGF_1_all	Growth hormone secretion	GNAI3	NO	YES
IGF_1_all	Growth hormone secretion	GNAS	NO	YES
IGF_1_all	Growth hormone secretion	SSTR2	YES	YES
IGF_1_all	Growth hormone secretion	SSTR5	NO	YES
IGF_1_all	IGF-1 secretion	EP300	NO	YES
IGF_1_all	IGF-1 secretion	GHR	NO	YES
IGF_1_all	IGF-1 secretion	JAK1	NO	YES
IGF_1_all	IGF-1 secretion	JAK2	NO	YES
IGF_1_all	IGF-1 secretion	SH2B1	YES	YES
IGF_1_all	IGF-1 secretion	SOCS2	YES	YES
IGF_1_all	IGF-1 secretion	STAT3	NO	YES
IGF_1_all	IGF-1 secretion	STAT5A	NO	YES
IGF_1_all	IGF-1 secretion	STAT5B	NO	YES
IGF_1_all	IGF-1 secretion	TYK2	NO	YES
IGF_1_all	IGF-1 serum balance	IGF1	YES	YES
IGF_1_all	IGF-1 serum balance	IGF2	YES	YES
IGF_1_all	IGF-1 serum balance	IGFALS	YES	YES
IGF_1_all	IGF-1 serum balance	IGFBP1	NO	YES
IGF_1_all	IGF-1 serum balance	IGFBP3	YES	YES
IGF_1_all	IGF-1 serum balance	INS	NO	YES
IGF_1_all	IGF-1 serum balance	INS-IGF2	YES	YES
IGF_1_all	IGF-1 serum balance	INSL4	NO	YES
IGF_1_all	IGF-1 serum balance	INSL6	NO	YES
IGF_1_all	IGF-1 serum balance	PAPPA2	YES	YES
IGF_1_all	Ras signaling	MAP2K1	YES	NO
IGF_1_all	Ras signaling	MAP2K2	YES	NO
