Trait	Tissue	pathway	Estimate	SE	pval	CONVERGED
IGF_1_all	Adipose_Subcutaneous	IGF-1 secretion	1.17964372742154	0.774981850673907	0.127969850454719	1
IGF_1_all	Adipose_Subcutaneous	Downstream signaling	1.16788378198341	0.622404188488917	0.0605993687283736	1
IGF_1_all	Adipose_Subcutaneous	Growth hormone secretion	0.866961158773113	0.77296683996903	0.26203169808157	1
IGF_1_all	Adipose_Subcutaneous	Ras signaling	0.656380713651654	0.481309933665728	0.172649995684539	1
IGF_1_all	Adipose_Subcutaneous	IGF-1 serum balance	-0.00054708374075415	0.999960341854334	0.999563473039712	0
IGF_1_all	Adipose_Visceral_Omentum	IGF-1 secretion	1.20606272780476	0.775015094203916	0.119665376028681	1
IGF_1_all	Adipose_Visceral_Omentum	Ras signaling	0.791831830404721	0.463118836543616	0.0873063605799671	1
IGF_1_all	Adipose_Visceral_Omentum	Downstream signaling	0.627424319616237	0.722956219837517	0.3854713312315	1
IGF_1_all	Adipose_Visceral_Omentum	IGF-1 serum balance	-0.00055850538242903	0.999958907754403	0.99955435888901	0
IGF_1_all	Adipose_Visceral_Omentum	Growth hormone secretion	-0.000600520685740436	0.999958906437984	0.999520834154575	0
IGF_1_all	Adrenal_Gland	IGF-1 serum balance	1.21597666983644	0.775055726439823	0.116673725376597	1
IGF_1_all	Adrenal_Gland	IGF-1 secretion	1.21597666219781	0.775055727570276	0.116673728206742	1
IGF_1_all	Adrenal_Gland	Downstream signaling	0.563288951389192	0.720797298533463	0.434520008042661	1
IGF_1_all	Adrenal_Gland	Ras signaling	0.263600692453754	0.603431132477381	0.662229988099372	1
IGF_1_all	Adrenal_Gland	Growth hormone secretion	-0.000659107532671715	0.999956404923665	0.999474085386565	0
IGF_1_all	Artery_Aorta	Downstream signaling	1.21780270538887	0.610680329598073	0.0461330657706336	1
IGF_1_all	Artery_Aorta	IGF-1 secretion	1.0890534966329	0.756389104248133	0.149922320888104	1
IGF_1_all	Artery_Aorta	Ras signaling	0.132572019406903	0.577898351448243	0.818555161515087	1
IGF_1_all	Artery_Aorta	Growth hormone secretion	0	1	1	1
IGF_1_all	Artery_Aorta	IGF-1 serum balance	-0.000520145308562126	0.999959885268421	0.999584967458721	0
IGF_1_all	Artery_Coronary	IGF-1 serum balance	1.28433304197096	0.816839863001094	0.115876530512873	1
IGF_1_all	Artery_Coronary	IGF-1 secretion	0.0100276782052645	0.991706614848375	0.991932298158654	1
IGF_1_all	Artery_Coronary	Downstream signaling	0	1	1	1
IGF_1_all	Artery_Coronary	Ras signaling	0	1	1	1
IGF_1_all	Artery_Coronary	Growth hormone secretion	-0.000633954835196878	0.999955198565691	0.999494154596035	0
IGF_1_all	Artery_Tibial	Downstream signaling	1.22517631620785	0.645200218479932	0.0575764796077497	1
IGF_1_all	Artery_Tibial	IGF-1 secretion	1.14772564577338	0.774967392354792	0.138606938768144	1
IGF_1_all	Artery_Tibial	IGF-1 serum balance	1.05603426150843	0.756364958877234	0.162655269422169	1
IGF_1_all	Artery_Tibial	Ras signaling	0	1	1	1
IGF_1_all	Artery_Tibial	Growth hormone secretion	-0.000623346757516322	0.999959221129282	0.999502620995809	0
IGF_1_all	Brain_Amygdala	IGF-1 serum balance	1.21857755844437	0.756684064111568	0.107306656307938	1
IGF_1_all	Brain_Amygdala	Downstream signaling	0.462624394651114	0.820144641268071	0.572702007440277	1
IGF_1_all	Brain_Amygdala	Ras signaling	0.22419138611885	0.685382742119323	0.743589282100811	1
IGF_1_all	Brain_Amygdala	Growth hormone secretion	-0.000651381666077825	0.999948611264655	0.9994802459527	0
IGF_1_all	Brain_Amygdala	IGF-1 secretion	-0.000680977213808897	0.99994860991766	0.999456630913059	0
IGF_1_all	Brain_Anterior_cingulate_cortex_BA24	Growth hormone secretion	1.23015807377229	0.756669190825988	0.104001966552449	1
IGF_1_all	Brain_Anterior_cingulate_cortex_BA24	IGF-1 secretion	1.1079482033474	0.753299894794809	0.141347109259624	1
IGF_1_all	Brain_Anterior_cingulate_cortex_BA24	Downstream signaling	0.95224952872478	0.745653438002363	0.201578532801948	1
IGF_1_all	Brain_Anterior_cingulate_cortex_BA24	Ras signaling	0.810452674188639	0.513442226924645	0.114457888482129	1
IGF_1_all	Brain_Anterior_cingulate_cortex_BA24	IGF-1 serum balance	-0.000617628723109673	0.99995151167541	0.999507179712826	0
IGF_1_all	Brain_Caudate_basal_ganglia	IGF-1 serum balance	1.23576643124033	0.775066287684701	0.110846258103917	1
IGF_1_all	Brain_Caudate_basal_ganglia	Growth hormone secretion	-0.000608721290044788	0.999956173043783	0.999514289423622	0
IGF_1_all	Brain_Caudate_basal_ganglia	IGF-1 secretion	-0.000608721290044788	0.999956173043783	0.999514289423622	0
IGF_1_all	Brain_Caudate_basal_ganglia	Downstream signaling	-0.000697479975067069	0.999956171209814	0.999443467149389	0
IGF_1_all	Brain_Caudate_basal_ganglia	Ras signaling	-0.160330015617631	0.710440417951609	0.821452698968748	1
IGF_1_all	Brain_Cerebellar_Hemisphere	IGF-1 secretion	0.518800823443973	0.888601375814401	0.559328118083646	1
IGF_1_all	Brain_Cerebellar_Hemisphere	Ras signaling	0.266475280336658	0.586946048376016	0.649826650943049	1
IGF_1_all	Brain_Cerebellar_Hemisphere	Downstream signaling	0	1	1	1
IGF_1_all	Brain_Cerebellar_Hemisphere	IGF-1 serum balance	-0.000535121962991168	0.999957378820705	0.999573016269412	0
IGF_1_all	Brain_Cerebellar_Hemisphere	Growth hormone secretion	-0.000653401396155696	0.999957374736057	0.999478638927946	0
IGF_1_all	Brain_Cerebellum	Downstream signaling	1.03529769252709	0.685272916376262	0.130844111802221	1
IGF_1_all	Brain_Cerebellum	IGF-1 secretion	0.267561503865806	0.909123172907517	0.768523164309735	1
IGF_1_all	Brain_Cerebellum	Ras signaling	0.167119158989228	0.590958856677752	0.77733535061405	1
IGF_1_all	Brain_Cerebellum	IGF-1 serum balance	-0.000521817499824109	0.999959201175495	0.999583632904942	0
IGF_1_all	Brain_Cerebellum	Growth hormone secretion	-0.000624129212518618	0.999959197601224	0.999501996649987	0
IGF_1_all	Brain_Cortex	IGF-1 serum balance	1.23259668912606	0.775053109852656	0.111758557091727	1
IGF_1_all	Brain_Cortex	IGF-1 secretion	0	1	1	1
IGF_1_all	Brain_Cortex	Growth hormone secretion	-0.000625969025814139	0.99995766389809	0.999500527865679	0
IGF_1_all	Brain_Cortex	Downstream signaling	-0.000644426012411195	0.999958922872869	0.999485801347905	0
IGF_1_all	Brain_Cortex	Ras signaling	-0.000810747304498391	0.999958350352765	0.999353090370343	0
IGF_1_all	Brain_Frontal_Cortex_BA9	Ras signaling	0.335374585903471	0.610955266160593	0.583050218602661	1
IGF_1_all	Brain_Frontal_Cortex_BA9	IGF-1 secretion	-0.000621389692468405	0.999954348320898	0.999504180155039	0
IGF_1_all	Brain_Frontal_Cortex_BA9	IGF-1 serum balance	-0.000621389692468405	0.999954348320898	0.999504180155039	0
IGF_1_all	Brain_Frontal_Cortex_BA9	Growth hormone secretion	-0.000672530714972328	0.999954347000224	0.99946337366771	0
IGF_1_all	Brain_Frontal_Cortex_BA9	Downstream signaling	-0.000742208968012365	0.999954346040312	0.999407775940536	0
