Trait	Tissue	pathway	Estimate	SE	pval	CONVERGED
IGF_1_all	Liver	IGF-1 serum balance	0.98938368050015	0.745893213254406	0.184693514507858	1
IGF_1_all	Liver	Growth hormone secretion	-0.000649343287707269	0.999955694742347	0.999481876096877	0
IGF_1_all	Liver	IGF-1 secretion	-0.000649343287707269	0.999955694742347	0.999481876096877	0
IGF_1_all	Liver	Downstream signaling	-0.00074068524528174	0.999955693242582	0.999408992546793	0
IGF_1_all	Liver	Ras signaling	-0.121530868495463	0.82632307997118	0.883073394057497	1
IGF_1_all	Pituitary	Downstream signaling	1.22936092692254	0.610622407202002	0.0440839677866719	1
IGF_1_all	Pituitary	IGF-1 secretion	1.09698206648199	0.756367516892066	0.146966677100692	1
IGF_1_all	Pituitary	Ras signaling	0.944549642428842	0.410496803648804	0.0213921134023718	1
IGF_1_all	Pituitary	IGF-1 serum balance	-0.000496095042216545	0.999961940264942	0.999604158375735	0
IGF_1_all	Pituitary	Growth hormone secretion	-0.000601707241829655	0.99996193703535	0.999519888836139	0
Testosterone_female	Adrenal_Gland	Serum homeostasis	1.70149702543005	0.775710820237875	0.028273662479133	1
Testosterone_female	Adrenal_Gland	HPG signaling	0	1	1	1
Testosterone_female	Brain_Hypothalamus	HPG signaling	1.62441842496436	0.729111728378001	0.0258844028341765	1
Testosterone_female	Brain_Hypothalamus	Serum homeostasis	0.0010137951498894	0.99996684080542	0.999191081817581	0
Testosterone_female	Liver	HPG signaling	1.66757027377658	0.750243817705664	0.0262357355028425	1
Testosterone_female	Liver	Serum homeostasis	-0.000320539192536036	0.999967118829933	0.99974423832178	0
Testosterone_female	Ovary	HPG signaling	1.78373542871523	0.753923611595087	0.0179845263414061	1
Testosterone_female	Ovary	Serum homeostasis	-0.000340296335969019	0.999969361843211	0.999728474493632	0
Testosterone_female	Pituitary	Serum homeostasis	1.79454207838287	0.817629395850266	0.0281771505107975	1
Testosterone_female	Pituitary	HPG signaling	0	1	1	1
Testosterone_male	Brain_Hypothalamus	Serum homeostasis	1.66761227606105	0.817273916683169	0.0413048306569807	1
Testosterone_male	Brain_Hypothalamus	HPG signaling	1.4276409555524	0.731996242225603	0.0511357049762309	1
Testosterone_male	Brain_Hypothalamus	Synthesis and metabolism	0.905012082305544	0.751539416871435	0.228508009952452	1
Testosterone_male	Liver	Synthesis and metabolism	1.1868245636596	0.630847948521569	0.059928897404153	1
Testosterone_male	Liver	Serum homeostasis	-0.000347745712528435	0.999970496696227	0.999722530884225	0
Testosterone_male	Liver	HPG signaling	-0.000371685570498936	0.999970495820348	0.999703429078573	0
Testosterone_male	Pituitary	Serum homeostasis	1.59619456967357	0.775354789233692	0.0395264893529993	1
Testosterone_male	Pituitary	Synthesis and metabolism	0.849427803040178	0.717329798132101	0.236352740139758	1
Testosterone_male	Pituitary	HPG signaling	-0.000368129001280666	0.999974181812667	0.999706267976501	0
Testosterone_male	Testis	Synthesis and metabolism	0.934420080383545	0.71717227635713	0.192601133379959	1
Testosterone_male	Testis	Serum homeostasis	-0.000210159752206633	0.999980044488217	0.999832313433375	0
Testosterone_male	Testis	HPG signaling	-0.000265515818842906	0.99998004271824	0.999788144801932	0
Urate_all	Kidney_Cortex	Solute transport	1.50793570643755	0.775472598462861	0.051830643235342	1
Urate_all	Kidney_Cortex	Purine metabolism	-0.0007147875934896	0.999960395439418	0.999429659475384	0
